date,copper
10/1/1979,2075.90
11/1/1979,2090.00
12/1/1979,2214.00
1/1/1980,2601.00
2/1/1980,2918.00
3/1/1980,2306.00
4/1/1980,2070.00
5/1/1980,2037.00
6/1/1980,2006.00
7/1/1980,2176.00
8/1/1980,2082.10
9/1/1980,2060.00
10/1/1980,2040.00
11/1/1980,2010.00
12/1/1980,1879.00
1/1/1981,1869.10
2/1/1981,1801.00
3/1/1981,1818.00
4/1/1981,1821.00
5/1/1981,1742.00
6/1/1981,1700.00
7/1/1981,1681.90
8/1/1981,1787.00
9/1/1981,1710.40
10/1/1981,1666.30
11/1/1981,1651.40
12/1/1981,1655.30
1/1/1982,1610.60
2/1/1982,1598.00
3/1/1982,1510.40
4/1/1982,1521.70
5/1/1982,1527.70
6/1/1982,1300.00
7/1/1982,1440.90
8/1/1982,1451.50
9/1/1982,1426.50
10/1/1982,1461.00
11/1/1982,1443.80
12/1/1982,1473.20
1/1/1983,1571.90
2/1/1983,1647.40
3/1/1983,1597.70
4/1/1983,1674.90
5/1/1983,1765.70
6/1/1983,1701.20
7/1/1983,1704.30
8/1/1983,1639.80
9/1/1983,1560.70
10/1/1983,1435.20
11/1/1983,1389.10
12/1/1983,1415.20
1/1/1984,1375.70
2/1/1984,1429.80
3/1/1984,1501.20
4/1/1984,1532.60
5/1/1984,1420.90
6/1/1984,1366.50
7/1/1984,1330.80
8/1/1984,1337.50
9/1/1984,1293.60
10/1/1984,1273.00
11/1/1984,1345.10
12/1/1984,1321.10
1/1/1985,1359.10
2/1/1985,1388.50
3/1/1985,1389.90
4/1/1985,1501.80
5/1/1985,1530.60
6/1/1985,1432.40
7/1/1985,1474.60
8/1/1985,1420.20
9/1/1985,1366.40
10/1/1985,1384.70
11/1/1985,1369.50
12/1/1985,1390.90
1/1/1986,1418.30
2/1/1986,1405.50
3/1/1986,1445.10
4/1/1986,1434.60
5/1/1986,1418.74
6/1/1986,1413.14
7/1/1986,1344.30
8/1/1986,1303.10
9/1/1986,1347.00
10/1/1986,1316.80
11/1/1986,1303.20
12/1/1986,1335.60
1/1/1987,1346.00
2/1/1987,1379.83
3/1/1987,1465.72
4/1/1987,1484.24
5/1/1987,1520.44
6/1/1987,1571.87
7/1/1987,1694.62
8/1/1987,1756.31
9/1/1987,1811.01
10/1/1987,1967.20
11/1/1987,2523.90
12/1/1987,2868.90
1/1/1988,2663.20
2/1/1988,2330.20
3/1/1988,2359.30
4/1/1988,2286.30
5/1/1988,2447.99
6/1/1988,2540.27
7/1/1988,2213.51
8/1/1988,2200.68
9/1/1988,2435.53
10/1/1988,2939.51
11/1/1988,3304.66
12/1/1988,3498.91
