"date","SPY","XLB","XLE","XLF","XLI","XLK","XLP","XLU","XLV","XLY"
1993-05-26,NA,NA,45.5938,NA,NA,NA,NA,NA,NA,NA
1993-05-27,NA,NA,45.4375,NA,NA,NA,NA,NA,NA,NA
1993-05-28,NA,NA,45.2188,NA,NA,NA,NA,NA,NA,NA
1993-06-01,NA,NA,45.6563,NA,NA,NA,NA,NA,NA,NA
1993-06-02,NA,NA,45.5938,NA,NA,NA,NA,NA,NA,NA
1993-06-03,NA,NA,45.4375,NA,NA,NA,NA,NA,NA,NA
1993-06-04,NA,NA,45.2813,NA,NA,NA,NA,NA,NA,NA
1993-06-07,NA,NA,45.125,NA,NA,NA,NA,NA,NA,NA
1993-06-08,NA,NA,44.7188,NA,NA,NA,NA,NA,NA,NA
1993-06-09,NA,NA,44.875,NA,NA,NA,NA,NA,NA,NA
1993-06-10,NA,NA,44.9063,NA,NA,NA,NA,NA,NA,NA
1993-06-11,NA,NA,45.0938,NA,NA,NA,NA,NA,NA,NA
1993-06-14,NA,NA,45.0313,NA,NA,NA,NA,NA,NA,NA
1993-06-15,NA,NA,44.9375,NA,NA,NA,NA,NA,NA,NA
1993-06-16,NA,NA,45.0313,NA,NA,NA,NA,NA,NA,NA
1993-06-17,NA,NA,45.1875,NA,NA,NA,NA,NA,NA,NA
1993-06-18,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
1993-06-21,NA,NA,44.5938,NA,NA,NA,NA,NA,NA,NA
1993-06-22,NA,NA,44.625,NA,NA,NA,NA,NA,NA,NA
1993-06-23,NA,NA,44.4375,NA,NA,NA,NA,NA,NA,NA
1993-06-24,NA,NA,44.8125,NA,NA,NA,NA,NA,NA,NA
1993-06-25,NA,NA,44.7813,NA,NA,NA,NA,NA,NA,NA
1993-06-28,NA,NA,45.2813,NA,NA,NA,NA,NA,NA,NA
1993-06-29,NA,NA,45.0625,NA,NA,NA,NA,NA,NA,NA
1993-06-30,NA,NA,45.0625,NA,NA,NA,NA,NA,NA,NA
1993-07-01,NA,NA,44.9375,NA,NA,NA,NA,NA,NA,NA
1993-07-02,NA,NA,44.6875,NA,NA,NA,NA,NA,NA,NA
1993-07-06,NA,NA,44.2188,NA,NA,NA,NA,NA,NA,NA
1993-07-07,NA,NA,44.3438,NA,NA,NA,NA,NA,NA,NA
1993-07-08,NA,NA,44.8438,NA,NA,NA,NA,NA,NA,NA
1993-07-09,NA,NA,44.9688,NA,NA,NA,NA,NA,NA,NA
1993-07-12,NA,NA,44.9375,NA,NA,NA,NA,NA,NA,NA
1993-07-13,NA,NA,44.9063,NA,NA,NA,NA,NA,NA,NA
1993-07-14,NA,NA,45.0625,NA,NA,NA,NA,NA,NA,NA
1993-07-15,NA,NA,44.875,NA,NA,NA,NA,NA,NA,NA
1993-07-16,NA,NA,44.75,NA,NA,NA,NA,NA,NA,NA
1993-07-19,NA,NA,44.7188,NA,NA,NA,NA,NA,NA,NA
1993-07-20,NA,NA,44.8438,NA,NA,NA,NA,NA,NA,NA
1993-07-21,NA,NA,44.8125,NA,NA,NA,NA,NA,NA,NA
1993-07-22,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
1993-07-23,NA,NA,44.7188,NA,NA,NA,NA,NA,NA,NA
1993-07-26,NA,NA,44.9688,NA,NA,NA,NA,NA,NA,NA
1993-07-27,NA,NA,44.9375,NA,NA,NA,NA,NA,NA,NA
1993-07-28,NA,NA,44.8438,NA,NA,NA,NA,NA,NA,NA
1993-07-29,NA,NA,45.0938,NA,NA,NA,NA,NA,NA,NA
1993-07-30,NA,NA,44.8438,NA,NA,NA,NA,NA,NA,NA
1993-08-02,NA,NA,44.9688,NA,NA,NA,NA,NA,NA,NA
1993-08-03,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
1993-08-04,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
1993-08-05,NA,NA,44.9063,NA,NA,NA,NA,NA,NA,NA
1993-08-06,NA,NA,44.9688,NA,NA,NA,NA,NA,NA,NA
1993-08-09,NA,NA,45.2188,NA,NA,NA,NA,NA,NA,NA
1993-08-10,NA,NA,45.1875,NA,NA,NA,NA,NA,NA,NA
1993-08-11,NA,NA,45.1875,NA,NA,NA,NA,NA,NA,NA
1993-08-12,NA,NA,45.0625,NA,NA,NA,NA,NA,NA,NA
1993-08-13,NA,NA,45.125,NA,NA,NA,NA,NA,NA,NA
1993-08-16,NA,NA,45.375,NA,NA,NA,NA,NA,NA,NA
1993-08-17,NA,NA,45.5313,NA,NA,NA,NA,NA,NA,NA
1993-08-18,NA,NA,45.7813,NA,NA,NA,NA,NA,NA,NA
1993-08-19,NA,NA,45.7813,NA,NA,NA,NA,NA,NA,NA
1993-08-20,NA,NA,45.8125,NA,NA,NA,NA,NA,NA,NA
1993-08-23,NA,NA,45.7188,NA,NA,NA,NA,NA,NA,NA
