"date","stocks","bonds","gold","oil","usd"
2007-03-01,98.521240234375,56.0152969360352,65.8199996948242,409.920013427734,20.5492076873779
2007-03-02,97.2310485839844,56.1324195861816,63.7099990844727,408.079986572266,20.5409774780273
2007-03-05,96.3055114746094,56.0989112854004,62.9300003051758,396.959991455078,20.6726531982422
2007-03-06,97.9532699584961,56.0598564147949,64.1500015258789,402.559997558594,20.6561946868896
2007-03-07,97.855094909668,56.1045265197754,64.3000030517578,410.320007324219,20.5738945007324
2007-03-08,98.6825103759766,56.054313659668,64.4800033569336,410.320007324219,20.6726531982422
2007-03-09,98.7105255126953,55.8981742858887,64.25,400.880004882812,20.7055721282959
2007-03-12,98.8577346801758,56.0710487365723,64.370002746582,394.799987792969,20.6397342681885
2007-03-13,96.9365539550781,56.2160491943359,63.7200012207031,391.519989013672,20.5903606414795
2007-03-14,97.6587677001953,56.1490745544434,63.939998626709,393.119995117188,20.5409774780273
2007-03-15,97.7919998168945,56.0877838134766,63.9799995422363,389.359985351562,20.5409774780273
2007-03-16,97.5181503295898,56.0933723449707,64.620002746582,387.359985351562,20.4669132232666
2007-03-19,98.6937484741211,56.054313659668,64.7399978637695,389.600006103516,20.5738945007324
2007-03-20,99.2357788085938,56.1100578308105,65.2699966430664,387.679992675781,20.4504528045654
2007-03-21,100.868965148926,56.1825256347656,65.8199996948242,390.399993896484,20.3928489685059
2007-03-22,100.791488647461,56.076602935791,65.7600021362305,401.440002441406,20.3928489685059
2007-03-23,100.939315795898,55.9985237121582,65.1500015258789,404.559997558594,20.5162925720215
2007-03-26,100.805618286133,55.9650650024414,65.8399963378906,409.359985351562,20.4504528045654
2007-03-27,100.566230773926,55.9762077331543,65.6999969482422,409.600006103516,20.4422264099121
2007-03-28,99.8341674804688,56.0041007995605,66.0500030517578,416,20.4422264099121
2007-03-29,99.9397735595703,55.9148864746094,65.6500015258789,428.959991455078,20.4669132232666
2007-03-30,99.9608535766602,55.9148864746094,65.7399978637695,426.799987792969,20.4010772705078
2007-04-02,100.073471069336,55.9871025085449,65.8499984741211,428.480010986328,20.4504528045654
2007-04-03,101.150543212891,55.9310989379883,65.8300018310547,419.679992675781,20.4751434326172
2007-04-04,101.263137817383,55.9927177429199,66.8099975585938,418.640014648438,20.4504528045654
2007-04-05,101.537734985352,55.9423332214355,66.8600006103516,416.079986572266,20.3846168518066
2007-04-09,101.678550720215,55.7295532226562,66.5299987792969,402.799987792969,20.5162925720215
2007-04-10,101.798164367676,55.8135299682617,67.1600036621094,404.880004882812,20.4504528045654
2007-04-11,101.382865905762,55.7798957824707,67.0800018310547,403.679992675781,20.4504528045654
