variable,1-month,3-month,12-month,3-year,10-year,monthly_mean,std,frequency
Market,0.9235542421942677,0.7795937782195023,0.05800988343607611,0.055382206520901464,0.004477826328741874,0.5510217602007917,1.140124547989604,monthly
Yield curve,0.9099798292815421,0.734213568544673,-0.10890461989285255,-0.20574833386460042,0.02195351129566114,-0.08111228949024644,1.0752133291734614,monthly
Oil,0.9331278946312661,0.7211893619228347,-0.09200330789341807,0.08751674754008548,1.3384113471006038e-4,0.1993303145992025,1.1147525951018327,monthly
Copper,0.9518051111530097,0.7811982199124947,-0.0634593825953844,-0.012217582679994857,-0.056461145099051355,0.16905976349978954,1.0195536634232174,monthly
Monetary policy,0.9443772088917878,0.8164074365347056,0.1601516905130696,-0.3143420301585122,0.060799636180954575,0.04338626628573057,1.134862201713073,monthly
Volatility,0.5232321793919037,0.30765028022324786,-0.2964842398709553,-0.09969235318170658,0.0408952014536894,0.02697439057220956,0.9883863302937826,monthly
Stock-bond,0.9440604040404379,0.8019948163137992,0.045200955863086395,-0.2945447215638646,0.08300610296932165,0.03617432654140562,1.135116750195556,monthly
