date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2005-01-03,0.6,0.2331253512755911,0.01999780296920646,0.14687684575520252,0.0,-0.005329907607386631,-0.005329907607386631,5,1,0.9996736634851427,5,0.0
2005-01-04,0.6,0.2331253512755911,0.019997802969206457,0.14687684575520252,0.0,-0.006932437957423133,-0.012262345564809762,5,1,0.9981608694880465,5,1.734723475976807e-18
2005-01-05,0.6,0.2331253512755911,0.019997802969206446,0.1468768457552025,0.0,-0.0011987203397563313,-0.013461065904566093,5,1,0.9992390919204824,5,1.9081958235744878e-17
2005-01-06,0.6,0.2331253512755911,0.019997802969206443,0.1468768457552025,0.0,0.009789867442016022,-0.0036711984625500717,5,1,0.9994243185308085,5,1.734723475976807e-18
2005-01-07,0.6,0.2331253512755911,0.019997802969206443,0.1468768457552025,1.6026863635154034e-18,-0.0009911538844501657,-0.004662352347000237,5,1,0.9979537720241045,5,8.013431817577017e-19
2005-01-10,0.6,0.2331253512755911,0.019997802969206443,0.1468768457552025,5.216485560532082e-19,0.006975482515767954,0.002313130168767717,5,1,0.9994849923205024,5,5.405189037310976e-19
2005-01-11,0.6,0.2331253512755911,0.019997802969206446,0.1468768457552025,3.3618213093349835e-18,-0.0070854431041053375,-0.004772312935337621,5,1,0.9993923057523746,5,3.154809852617695e-18
2005-01-12,0.6,0.2331253512755911,0.019997802969206446,0.1468768457552025,3.2801911414597326e-18,0.0037799390969366384,-0.0009923738384009823,5,1,0.9988304336859969,5,4.0815083937625464e-20
2005-01-13,0.6,0.2331253512755911,0.01999780296920645,0.1468768457552025,3.7869902633688555e-18,0.002260202661252763,0.0012678288228517806,5,1,0.9997573531301088,5,1.9881230369313685e-18
2005-01-14,0.6,0.2331253512755911,0.019997802969206453,0.1468768457552025,4.4418152973002674e-18,0.0014673543629895626,0.002735183185841343,5,1,0.9980269769786033,5,2.062135992942513e-18
2005-01-17,0.6,0.2331253512755911,0.019997802969206453,0.1468768457552025,3.7566128200948205e-18,-0.0005359024751332502,0.0021992807107080927,5,1,0.9986557835128709,5,3.4260123860272347e-19
2005-01-18,0.6,0.2331253512755911,0.019997802969206453,0.1468768457552025,3.40849971364872e-18,0.006453561411547997,0.00865284212225609,5,1,0.9995499992469168,5,1.7405655322305028e-19
2005-01-19,0.6,0.2331253512755911,0.019997802969206453,0.1468768457552025,2.6429600637028292e-18,-0.005598333288396625,0.003054508833859465,5,1,0.9993704767656504,5,3.8276982497294536e-19
2005-01-20,0.6,0.2331253512755911,0.01999780296920645,0.1468768457552025,0.0,-0.007901678835666639,-0.004847170001807174,5,1,0.9992824437130585,5,3.0562035078282217e-18
2005-01-21,0.6,0.2331253512755911,0.019997802969206453,0.14687684575520252,2.3684903719891225e-18,0.0027926673257729798,-0.002054502676034194,5,1,0.9970729577490431,5,1.6796756469785826e-17
2005-01-24,0.6,0.2331253512755911,0.019997802969206443,0.1468768457552025,0.0,-0.0022019155232199652,-0.00425641819925416,5,1,0.9919416955850099,5,2.026620342173944e-17
2005-01-25,0.6,0.2331253512755911,0.01999780296920644,0.1468768457552025,0.0,0.0023183146946622046,-0.001938103504591955,5,1,0.9813827978456987,5,1.734723475976807e-18
2005-01-26,0.600001126784447,0.23312472809523055,0.019997291325312607,0.14687685379500995,0.0,0.0024059431024652214,0.00046783959787326636,5,1,0.9273816057766711,5,1.1348242543989667e-06
2005-01-27,0.5738981139660109,0.2592155227391757,0.019998137501360303,0.14688797625925562,2.495341976203004e-07,0.0017441648265340002,0.0022120044244072663,5,1,0.7575755110650116,5,0.026103012818436105
2005-01-28,0.4673048743439571,0.365813345686965,0.019997894053969293,0.14688376724386837,1.1867124014969559e-07,-0.004852951564447398,-0.0026409471400401317,5,1,0.6785688064175894,5,0.1065978229477894
2005-01-31,0.12761967312993625,0.6,0.0629121470795821,0.1382872918897404,0.07118088790074124,8.424179925992255e-05,-0.002556705340780209,5,4,0.9997544260096158,5,0.3482816765681489
2005-02-01,0.12725659142452714,0.5999962911059175,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.0025268351916959333,-2.9870149084275724e-05,5,4,0.9999573231797722,5,0.000368514663769956
2005-02-02,0.1272528825304446,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,-0.002784550667400148,-0.0028144208164844237,5,4,0.9998807054316539,5,3.7088940825352745e-06
2005-02-03,0.1272528825304445,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,-0.005039527099107813,-0.007853947915592237,5,4,0.9997606710618027,5,4.163336342344337e-17
2005-02-04,0.1272528825304445,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.005978167692786156,-0.0018757802228060814,5,4,0.9997898610057157,5,0.0
2005-02-07,0.1272528825304446,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,-0.0005579703024841344,-0.002433750525290216,5,4,0.9992921491618925,5,4.163336342344337e-17
2005-02-08,0.12725288253044456,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.001415722125047697,-0.001018028400242519,5,4,0.9994698849305028,5,1.3877787807814457e-17
2005-02-09,0.1272528825304445,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.0006548340387546928,-0.0003631943614878263,5,4,0.9994249579992168,5,2.7755575615628914e-17
2005-02-10,0.12725288253044453,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.0019774665049110294,0.0016142721434232031,5,4,0.9997292008392868,5,1.3877787807814457e-17
2005-02-11,0.1272528825304445,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.0008163162810866186,0.002430588424509822,5,4,0.9998386083934199,5,1.3877787807814457e-17
2005-02-14,0.12725288253044456,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.001827631038471207,0.004258219462981029,5,4,0.9996876449310651,5,2.7755575615628914e-17
2005-02-15,0.1272528825304445,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.00044967197971796855,0.004707891442698998,5,4,0.9997272723005158,5,2.7755575615628914e-17
2005-02-16,0.12725288253044464,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,-0.0013630593293338141,0.0033448321133651834,5,4,0.9987543944152852,5,6.938893903907228e-17
2005-02-17,0.1272528825304445,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,-0.0019475072360421938,0.0013973248773229896,5,4,0.9977678407045742,5,6.938893903907228e-17
2005-02-18,0.12725288253044453,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,-0.0018955389233100467,-0.0004982140459870571,5,4,0.9974044808070595,5,1.3877787807814457e-17
2005-02-21,0.12725288253044456,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.0007065905064321984,0.00020837646044514124,5,4,0.9966503902752925,5,1.3877787807814457e-17
2005-02-22,0.1272528825304445,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.0017665487752235379,0.0019749252356686792,5,4,0.9973789246450284,5,2.7755575615628914e-17
2005-02-23,0.12725288253044456,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.0033756414768282552,0.005350566712496934,5,4,0.9996281994184538,5,2.7755575615628914e-17
2005-02-24,0.12725288253044456,0.6,0.06291042301530382,0.1382905528301208,0.07154614162413085,0.003479131529499812,0.008829698241996746,5,4,0.9858726971181185,5,0.0
2005-02-25,0.12725315299111398,0.6000012356145058,0.06291060893624476,0.13828865618705002,0.07154634627108548,0.004482646881989231,0.013312345123985977,5,4,0.8736586446439454,5,1.8966430707853532e-06
2005-02-28,0.12725154648461656,0.600002951847557,0.06291086047505257,0.1382866403552578,0.07154800083751597,-0.005046272260583115,0.008266072863402862,5,4,0.7514703344489905,5,3.6223382895786416e-06
2005-03-01,0.19879924455463557,0.6000043711589627,0.06291043060171551,0.13828595368468632,0.0,0.001036484589916075,0.009302557453318937,5,1,0.9518053154660734,5,0.07154911738142458
2005-03-02,0.1988254210310421,0.5999977027017716,0.06290681920809216,0.1382700570590943,0.0,0.0012892698643407854,0.010591827317659723,5,1,0.9994033282680449,5,2.6176476406507276e-05
2005-03-03,0.19882542103104206,0.5999977027017716,0.06290681920809216,0.1382700570590943,0.0,0.004387842169742887,0.014979669487402609,5,1,0.9999345044328198,5,1.3877787807814457e-17
2005-03-04,0.1988488477646807,0.5999941393271249,0.06290280287345511,0.13825421003473953,0.0,0.004034267391701769,0.019013936879104378,5,1,0.999874654691093,5,2.3426733638566566e-05
2005-03-07,0.19887194117164297,0.5999905060707537,0.06289886072885793,0.13823869202874536,0.0,0.000544436602426429,0.01955837348153081,5,1,0.99996443546438,5,2.3093406962410024e-05
