date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K_market,regime_market,max_p_market,G_market,K_macro,regime_macro,max_p_macro,G_macro,turnover
2020-01-02,0.20655592484000984,0.5738746386648377,0.09435818647615365,0.057980140397718066,0.06723110962128089,0.0035178066638072705,0.6578640116206165,6,0,0.9999998429245183,5,5,0,0.999995815239759,6,0.0034740056808730685
2020-01-03,0.20904933839306367,0.571394682902541,0.09434897496006026,0.05797013746630871,0.06723686627802632,0.0066855913884770485,0.6645496030090935,6,0,0.9999998289535433,5,5,0,0.9999978744086414,6,0.002499170209799329
2020-01-06,0.20904812082627408,0.5713924013523975,0.09434898005764575,0.057967409089075515,0.06724308867460704,0.001336508079115029,0.6658861110882085,6,0,0.9999999084457692,5,5,0,0.9999999246497608,6,6.227494166240188e-06
2020-01-07,0.2090480728070181,0.5713970303636513,0.0943480955501111,0.05796413630015051,0.06724266497906875,-0.001959437042024993,0.6639266740461836,6,0,0.9999999799073725,5,5,0,0.9999962073478638,6,4.629011253844129e-06
2020-01-08,0.20904717610867724,0.5713967565903135,0.09434781186453114,0.05796130912689876,0.06724694630957925,-0.003600121057096687,0.6603265529890868,6,0,0.9999999721727576,5,5,0,0.9999983345895876,6,4.281330510422926e-06
2020-01-09,0.2090468683132956,0.5713940024860962,0.09434819387392138,0.057958753520083894,0.06725218180660299,0.0014630231060145185,0.6617895760951014,6,0,0.9999999886836168,5,5,0,0.9999998393465417,6,5.617506413903295e-06
2020-01-10,0.20992939382438722,0.570500430790988,0.09435431356220261,0.05795252946091966,0.06726333236150261,0.0019256484045821805,0.6637152244996836,6,0,0.9999999779680164,5,5,0,0.9999990076784886,6,0.0008997957542724415
2020-01-13,0.20992831071679008,0.5704986392909273,0.09435412069819625,0.05795018949543306,0.06726873979865332,-0.002858354034692766,0.6608568704649908,6,0,0.999999991401433,5,5,0,0.9999994777912482,6,5.407437150772854e-06
2020-01-14,0.21216257129212254,0.5698633195929698,0.09437100815703851,0.05632504891163843,0.06727805204623093,0.0014196482965283717,0.6622765187615192,6,0,0.9999999331101326,5,5,0,0.9999995026666513,6,0.0022604602817522315
2020-01-15,0.21216187656676935,0.5698644002210917,0.09437031120043214,0.05632260308479959,0.06728080892690734,0.0014275894344668721,0.663704108195986,6,0,0.9999999920641086,5,5,0,0.9999997903616478,6,3.8375087983988365e-06
2020-01-16,0.21364170682560754,0.5698666056814371,0.09436288801024606,0.054853595635458,0.0672752038472514,0.001546137307283781,0.6652502455032698,6,0,0.9999999927355305,5,5,0,0.9999997776638586,6,0.0014820357191835769
2020-01-17,0.21492244554474893,0.5685846652166741,0.09436182731876282,0.054847242495700395,0.06728381942411377,-0.0004833699418406493,0.6647668755614292,6,0,0.9999999868835404,5,5,0,0.9999997786648313,6,0.0012893542960038216
2020-01-20,0.21764652967135004,0.5658733092043068,0.09435157829385299,0.05483831095883522,0.06729027187165502,0.0009343703338201526,0.6657012458952494,6,0,0.9999999904217071,5,5,0,0.9999989322324653,6,0.002730536574142319
2020-01-21,0.21764846603189691,0.5658810512302498,0.09435050577591744,0.05483575928768588,0.06728421767425002,0.0016964771466454795,0.6673977230418948,6,0,0.9999999803378842,5,5,0,0.9999990688166712,6,9.67838648988431e-06
2020-01-22,0.21764931579963315,0.5658829061327435,0.09435051760440391,0.05483432341423069,0.06728293704898863,-0.0012762736672503679,0.6661214493746445,6,0,0.9999999801228725,5,5,0,0.999999740821792,6,2.7164987164984833e-06
2020-01-23,0.21977601220596094,0.5658860781464686,0.09435206216114836,0.05269922095066998,0.06728662653575201,0.001491827608925835,0.6676132769835703,6,0,0.9999999586109938,5,5,0,0.9999999396467877,6,0.002135102463560728
2020-01-24,0.21977684777418718,0.5658881469199689,0.09435209111853944,0.05269756172004383,0.06728535246726061,-3.372242893444994e-05,0.6675795545546359,6,0,0.9999999407520425,5,5,0,0.9999999702436493,6,2.93329911758497e-06
2020-01-27,0.2197797528918643,0.5659050242562981,0.0943500112903052,0.0526952819127127,0.06726992964881985,0.00045437180566565254,0.6680339263603016,6,0,0.9999999252686947,5,5,0,0.9999999942885562,6,1.9782454006203598e-05
2020-01-28,0.21977836409407342,0.5659015228122771,0.09434982637536429,0.05269321370053578,0.06727707301774938,0.0002843481494836165,0.6683182745097852,6,0,0.999999931019151,5,5,0,0.9999999999225943,6,7.143368929589389e-06
2020-01-29,0.219780504312311,0.5659195383081094,0.09434646915398581,0.0526907394104124,0.0672627488151814,0.00293130133626607,0.6712495758460513,6,0,0.9999998369663673,5,5,0,0.9999999991796433,6,2.015571406982844e-05
2020-01-30,0.2197815859003448,0.5659317729517389,0.09434390099007803,0.05268834534669508,0.06725439481114327,0.0009897680234494546,0.6722393438695007,6,0,0.9999998174666341,5,5,0,0.9999999962515743,6,1.3316231663288575e-05
2020-01-31,0.2218827087015486,0.5659253725921609,0.09433781737120972,0.05059669926167793,0.06725740207340286,-0.001097250965074865,0.6711420929044258,6,0,0.9999973136929375,5,5,0,0.9999999991746267,6,0.0021041300634634247
2020-02-03,0.22188285529706014,0.5659325042708949,0.09433605019008463,0.050594066504026806,0.06725452373793346,-0.0027637397586269814,0.6683783531457989,6,0,0.9999896437434657,5,5,0,0.999999999960193,6,7.278274245577088e-06
2020-02-04,0.22733458756441663,0.5659162419129371,0.09433488305706271,0.04514350820916307,0.06727077925642048,-0.0020753589385989007,0.6663029942072,6,0,0.9982072959415443,5,5,0,0.9999999993832067,6,0.005467987785843495
