date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K_market,regime_market,max_p_market,G_market,K_macro,regime_macro,max_p_macro,G_macro,turnover
2005-01-03,0.1656301964473299,0.5999795822344909,0.2343902213181791,0.0,0.0,-0.00648886141475567,-0.00648886141475567,5,4,0.9999978929448922,5,5,0,0.9999999999999807,5,0.0
2005-01-04,0.16562476259859157,0.5999931036756049,0.23438213372580358,0.0,0.0,-0.005660809133223288,-0.012149670547978959,5,4,0.9999970423065057,5,5,0,0.9999999999999409,5,1.3521441113925614e-05
2005-01-05,0.16561994909494487,0.6000056343144334,0.2343744165906217,0.0,0.0,-0.0008582704878055841,-0.013007941035784542,5,4,0.999999742624593,5,5,0,0.9999999999999993,5,1.2530638828570084e-05
2005-01-06,0.1656151478800603,0.6000190041100185,0.23436584800992125,0.0,0.0,-0.0020910906669961665,-0.01509903170278071,5,4,0.9999994615194028,5,5,0,0.9999999999163234,5,1.3369795585055355e-05
2005-01-07,0.16561596691582287,0.6000159959855075,0.23436664560775652,8.704156694470762e-07,5.210752436741652e-07,-0.0018189396150439293,-0.01691797131782464,5,4,0.9999997347002123,5,5,0,0.9999999623889055,5,3.008124511005545e-06
2005-01-10,0.16561669425419237,0.6000135222053242,0.23436733513562868,1.6625551609588472e-06,7.858496937171042e-07,0.0009877402623793448,-0.015930231055445294,5,4,0.9999993439225673,5,5,0,0.9999999585505368,5,2.473780183237348e-06
2005-01-11,0.16561710272407265,0.6000124329341665,0.23436744467892612,2.6805069517085337e-06,3.391558831491592e-07,0.002407356905697357,-0.013522874149747937,5,4,0.9999998221095251,5,5,0,0.9999999307302951,5,1.5359649683742617e-06
2005-01-12,0.16561765323877523,0.6000105638191615,0.2343679396810684,3.3178205251382816e-06,5.254404697474768e-07,0.0032676145331178327,-0.010255259616630104,5,4,0.9999993478313617,5,5,0,0.9999999961851007,5,1.86911500493552e-06
2005-01-13,0.16561721832397597,0.6000068859615804,0.23436817493154943,6.639629050432303e-06,1.081153843863071e-06,0.0003564297514591975,-0.009898829865170907,5,4,0.9999986207508414,5,5,0,0.999999995213214,5,4.11277238042985e-06
2005-01-14,0.16560858180416788,0.5999935572539676,0.23435962056960624,3.824037225824989e-05,0.0,-0.0011221709461658115,-0.011021000811336718,5,4,0.9999958778019156,5,5,0,0.9999999861126722,5,3.160074320784467e-05
