date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K_market,regime_market,max_p_market,G_market,K_macro,regime_macro,max_p_macro,G_macro,turnover
2005-01-03,0.4134101316533693,0.5459650957215926,1.5066043011175575e-08,0.04062475088836884,6.6706263870611026e-09,-0.003370321946677972,-0.003370321946677972,5,4,0.9999978929448922,5,5,1,0.9999963372418827,5,0.0
2005-01-04,0.4134048502100234,0.5459596441992303,0.0,0.0406355055907464,0.0,-0.0072165661141508205,-0.010586888060828793,5,4,0.9999970423065057,5,5,1,0.9999281768419693,5,1.075470237760386e-05
2005-01-05,0.41340477211504556,0.5459595639246881,0.0,0.04063566396026629,0.0,-0.0009374784402119329,-0.011524366501040726,5,4,0.999999742624593,5,5,1,0.9999999993034049,5,1.583695199182389e-07
2005-01-06,0.4134046810998318,0.5459594703921671,0.0,0.04063584850800102,0.0,0.0038308617899193735,-0.007693504711121352,5,4,0.9999994615194028,5,5,1,0.9999969703312332,5,1.8454773477102893e-07
2005-01-07,0.413404378189895,0.5459591582899834,0.0,0.04063646352012161,0.0,-0.0008602235607017263,-0.008553728271823078,5,4,0.9999997347002123,5,5,1,0.9999908255570243,5,6.150121205222847e-07
2005-01-10,0.4134041274869765,0.5459588999796325,0.0,0.04063697253339099,0.0,0.003089641935724152,-0.005464086336098926,5,4,0.9999993439225673,5,5,1,0.9999923927289002,5,5.090132693744143e-07
2005-01-11,0.41340372397923747,0.5459584837797284,0.0,0.04063779224103415,0.0,-0.002224940791066332,-0.0076890271271652585,5,4,0.9999998221095251,5,5,1,0.9999834792478822,5,8.197076431550043e-07
2005-01-12,0.4134034705815597,0.5459582215996116,0.0,0.04063830781882872,0.0,0.00241005484505462,-0.0052789722821106385,5,4,0.9999993478313617,5,5,1,0.9999950468433232,5,5.155777945964335e-07
2005-01-13,0.4134032119460401,0.545957953955802,0.0,0.04063883409815803,0.0,0.00037397223429037115,-0.004905000047820267,5,4,0.9999986207508414,5,5,1,0.9999893602402322,5,5.262793292409862e-07
2005-01-14,0.41338810932631054,0.5459416410741947,0.0,0.04067024959949476,0.0,0.001035956696442225,-0.003869043351378042,5,4,0.9999958778019156,5,5,1,0.9999936703942066,5,3.14155013367845e-05
2005-01-17,0.41338772468337687,0.5459412458554482,0.0,0.04067102946117486,0.0,-8.115339937366187e-05,-0.003950196750751704,5,4,0.9999956938627748,5,5,1,0.9999939810399809,5,7.798616801397984e-07
2005-01-18,0.4133873508774349,0.5459408617613878,0.0,0.04067178736117731,0.0,0.004938449881719289,0.0009882531309675846,5,4,0.9999992142996057,5,5,1,0.9999949499435308,5,7.579000024376947e-07
2005-01-19,0.4133869928885842,0.5459404939993123,0.0,0.04067251311210364,0.0,-0.003497494514752228,-0.0025092413837846436,5,4,0.9999992329878026,5,5,1,0.9999944007836812,5,7.257509262309503e-07
2005-01-20,0.4133866160167176,0.5459401069414827,0.0,0.040673277041799856,0.0,-0.0032435445210201737,-0.005752785904804818,5,4,0.9999994931967209,5,5,1,0.9999876730966096,5,7.63929696247917e-07
2005-01-21,0.41338627921853804,0.5459397599917987,0.0,0.040673960789663205,0.0,0.00018247741884012958,-0.005570308485964688,5,4,0.9999995707969704,5,5,1,0.9999728923933084,5,6.837478634495742e-07
2005-01-24,0.41337256013699675,0.5459249459987126,0.0,0.04070249386429062,0.0,-0.0007688623838122015,-0.006339170869776889,5,4,0.9999998030310447,5,5,1,0.9999758111715729,5,2.8533074627412613e-05
2005-01-25,0.41335917212452894,0.545910488844673,0.0,0.04073033903079795,0.0,-0.0006391938357033847,-0.006978364705480274,5,4,0.9999989697919333,5,5,1,0.9999350764182247,5,2.7845166507362018e-05
2005-01-26,0.41334006002681206,0.5458898474944798,0.0,0.04077009247870821,0.0,0.0016949953589029875,-0.005283369346577286,5,4,0.9999998610490296,5,5,1,0.9999592333475729,5,3.97534479101673e-05
