date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K_market,regime_market,max_p_market,G_market,K_macro,regime_macro,max_p_macro,G_macro,turnover,macro_stress,gamma_eff
2005-01-03,0.02272907228054067,0.43325993704378707,0.2138634620166131,0.06870581688382063,0.26144171177523856,-0.003730582276420446,-0.003730582276420446,5,4,0.9999978929448922,5,5,0,0.9999999999999807,5,0.0,0.19930368844687113,8.986073768937423
2005-01-04,0.02273117011128357,0.43326168077949845,0.2138650012269128,0.06869869736373406,0.26144345051857104,-0.0002457428076763598,-0.003976325084096806,5,4,0.9999970423065057,5,5,0,0.9999999999999409,5,7.119520086510192e-06,0.19929302452355768,8.985860490471154
2005-01-05,0.022727782796088492,0.4332588650052644,0.2138625168146457,0.06871019244745273,0.26144064293654873,0.0026062035589508167,-0.0013701215251459894,5,4,0.999999742624593,5,5,0,0.9999999999999993,5,1.1495083718612159e-05,0.1983164004249373,8.966328008498746
2005-01-06,0.022722261159336128,0.4332542752206201,0.21385846721075819,0.06872892961566074,0.2614360667936248,0.0020154235083343925,0.0006453019831884031,5,4,0.9999994615194028,5,5,0,0.9999999999163234,5,1.8737168208047758e-05,0.19805146101113932,8.961029220222787
2005-01-07,0.02272658774070019,0.4332578717612947,0.2138616434704923,0.06871424487916412,0.26143965214834874,-0.0019109401010506616,-0.0012656381178622585,5,4,0.9999997347002123,5,5,0,0.9999999623889054,5,1.468473649667533e-05,0.2032462052313062,9.064924104626124
2005-01-10,0.022731491999595108,0.43326194852531025,0.2138652428781266,0.0686976006570251,0.26144371593994287,0.0030516315228702427,0.0017859934050079842,5,4,0.9999993439225673,5,5,0,0.9999999585505368,5,1.6644222138954487e-05,0.20250169358510955,9.05003387170219
2005-01-11,0.022736729916429846,0.4332663031797786,0.2138690879605225,0.06867982266693747,0.2614480562763316,-0.0003503428343626159,0.0014356505706453683,5,4,0.9999998221095251,5,5,0,0.9999999307302951,5,1.777799008768205e-05,0.20397717837274099,9.07954356745482
2005-01-12,0.02273486690532127,0.43326475379758933,0.21386772009455973,0.06868614695297383,0.26144651224955584,0.0024678634913348546,0.003903514061980223,5,4,0.9999993478313617,5,5,0,0.9999999961851007,5,6.324286036377136e-06,0.20176787456362594,9.035357491272519
2005-01-13,0.022731975702621116,0.4332623488128741,0.2138655966426274,0.06869596289406857,0.26144411594780886,0.00208205639670062,0.005985570458680842,5,4,0.9999986207508414,5,5,0,0.999999995213214,5,9.8159410947124e-06,0.20137667783783272,9.027533556756655
2005-01-14,0.022728690955214844,0.43325961639351984,0.2138631832297903,0.06870711608509929,0.26144139333637556,-0.0004882194451972569,0.005497351013483585,5,4,0.9999958778019156,5,5,0,0.9999999861126722,5,1.1153191030824697e-05,0.20228824452168864,9.045764890433773
2005-01-17,0.02272373826580868,0.4332554963441519,0.2138595459370024,0.06872393176094876,0.2614372876920882,-0.0008797881653791989,0.004617562848104386,5,4,0.9999956938627748,5,5,0,0.9999999971896607,5,1.6815675849437065e-05,0.20032262649470053,9.00645252989401
2005-01-18,0.022719950619439537,0.433252345144476,0.21385676901981718,0.06873678816899144,0.2614341470472759,0.0023416526062600674,0.0069592154543644535,5,4,0.9999992142996057,5,5,0,0.9999999968706537,5,1.285640804259136e-05,0.1994938362261135,8.98987672452227
2005-01-19,0.022715959031726334,0.43324902431132684,0.21385384205259036,0.06875033746693919,0.26143083713741727,-0.0006146086756012902,0.006344606778763163,5,4,0.9999992329878026,5,5,0,0.9999999901561858,5,1.354929794779823e-05,0.1996593575727665,8.99318715145533
2005-01-20,0.022713825495927823,0.433247248937452,0.21385228373972173,0.06875757466554423,0.2614290671613544,0.0008843725861875534,0.007228979364950717,5,4,0.9999994931967209,5,5,0,0.9999999989797277,5,7.2371986049625525e-06,0.19765846738966636,8.953169347793327
2005-01-21,0.022711953167785286,0.43324569074135033,0.21385091731083763,0.06876392528564644,0.2614275134943802,0.00590305167215356,0.013132031037104277,5,4,0.9999995707969704,5,5,0,0.9999999991634545,5,6.3506201023379866e-06,0.1974181742274803,8.948363484549606
2005-01-24,0.022707347706719325,0.4332418591573719,0.21384753800222253,0.0687795615970002,0.2614236935366862,-0.0014493034325220682,0.01168272760458221,5,4,0.9999998030310447,5,5,0,0.9999999891498228,5,1.5636311353626337e-05,0.20069726008424676,9.013945201684935
2005-01-25,0.02270194115907601,0.4332373614244113,0.21384356761118237,0.06879792058337138,0.26141920922195905,-0.0027331157361700914,0.008949611868412118,5,4,0.9999989697919333,5,5,0,0.9999999133371007,5,1.835898637119436e-05,0.20198141035796535,9.039628207159307
2005-01-26,0.022697811254161288,0.4332339253922962,0.21384054007725006,0.06881194032427779,0.26141578295201473,0.0024013640714372576,0.011350975939849375,5,4,0.9999998610490296,5,5,0,0.9999998965490136,5,1.4019740906432224e-05,0.20126508523313233,9.025301704662647
2005-01-27,0.022696358732571278,0.4332327164917366,0.21383948247738263,0.06881686528208644,0.26141457701622317,-3.722440197857779e-05,0.011313751537870797,5,4,0.9999998549346659,5,5,0,0.9999999909702494,5,4.924957808629185e-06,0.19811501810955245,8.96230036219105
2005-01-28,0.02269525713036271,0.43323179955622476,0.21383868204462664,0.0688205990877273,0.2614136621810586,-9.506716257259211e-05,0.011218684375298205,5,4,0.9999999754514012,5,5,0,0.9999999830668383,5,3.7338056409156467e-06,0.1977515320057163,8.955030640114325
2005-01-31,0.022694326554952387,0.4332310248285753,0.21383800663344305,0.06882375278402632,0.261412889199003,-0.0019355754588174276,0.009283108916480778,5,4,0.9999999766943938,5,5,0,0.9999999958951036,5,3.1536962990016265e-06,0.1975214919092696,8.950429838185393
2005-02-01,0.02269277895831041,0.4332297365164253,0.21383687933367465,0.06882900115596233,0.26141160403562735,0.0005142980526754213,0.0097974069691562,5,4,0.9999999435800644,5,5,0,0.999999938769105,5,5.248371936002194e-06,0.19890430207673737,8.978086041534748
2005-02-02,0.02269222313974215,0.4332292735669176,0.21383647766719163,0.06883088357641257,0.2614111420497361,-0.0017844703699932325,0.008012936599162968,5,4,0.9999999511945743,5,5,0,0.9999999999039334,5,1.8824204502561337e-06,0.19440025294619667,8.888005058923934
2005-02-03,0.02269165736546763,0.43322880228090466,0.21383606870173366,0.06883279988396238,0.26141067176793154,-0.0038960909572978994,0.004116845641865068,5,4,0.999999826202416,5,5,0,0.9999999996172186,5,1.9163075498963844e-06,0.19436773205009808,8.887354641001961
2005-02-04,0.02269082241249728,0.43322810681400575,0.21383546316888435,0.06883562971300618,0.2614099778916065,0.0027704902672527373,0.006887335909117805,5,4,0.9999997704874297,5,5,0,0.999999996275342,5,2.829829043685464e-06,0.196096501661401,8.921930033228021
2005-02-07,0.02269022999601072,0.43322761324656034,0.21383503468773538,0.06883763667968874,0.26140948539000486,0.001191607660135558,0.008078943569253363,5,4,0.9999998272277821,5,5,0,0.9999999997432801,5,2.00696668259219e-06,0.1943204597027018,8.886409194054036
2005-02-08,0.022689301983144748,0.4332268400774687,0.2138343612633372,0.06884078268100949,0.2614087139950398,0.0015549229513628418,0.009633866520616204,5,4,0.9999999143749875,5,5,0,0.9999999994351932,5,3.146001320794914e-06,0.19409220097967872,8.881844019593574
2005-02-09,0.022688070342712863,0.433225813877641,0.2138334657959889,0.06884495976216909,0.26140769022148824,0.0013166373901014527,0.010950503910717658,5,4,0.9999999681663463,5,5,0,0.9999999990720609,5,4.177081159541934e-06,0.19346398355920125,8.869279671184024
2005-02-10,0.0226860134261283,0.43322410005912204,0.2138319651447714,0.06885194065341448,0.2614059807165638,0.0021916021639420513,0.01314210607465971,5,4,0.9999999247056888,5,5,0,0.9999999921490669,5,6.9808912454092514e-06,0.19389862240464817,8.877972448092963
2005-02-11,0.022681452396584888,0.43322029969362064,0.21382862133435432,0.06886743547417638,0.2614021911012639,-1.8842908189282167e-05,0.013123263166470427,5,4,0.9999999632050391,5,5,0,0.9999999753969326,5,1.5494820761853892e-05,0.19647119863653467,8.929423972730694
2005-02-14,0.02267842943167732,0.4332177797439958,0.21382641094373103,0.06887770172117409,0.2613996781594218,0.0013668984256855084,0.014490161592155935,5,4,0.999999964180315,5,5,0,0.9999999981115463,5,1.026624699776782e-05,0.19398984493077714,8.879796898615544
2005-02-15,0.02267610424992021,0.4332158407179732,0.21382471370035425,0.06888559682371904,0.26139774450803327,-0.0005550607846103215,0.013935100807545614,5,4,0.9999998987003459,5,5,0,0.9999999994624303,5,7.895102544968127e-06,0.19260886817267475,8.852177363453496
2005-02-16,0.022674090420695264,0.4332141607518916,0.2138232451916853,0.06889243439932996,0.26139606923639785,-0.0014906626250407733,0.012444438182504841,5,4,0.9999999409840495,5,5,0,0.9999999991217652,5,6.837575610900079e-06,0.1918077757047597,8.836155514095195
2005-02-17,0.022672286211941138,0.433212655134203,0.21382193060281515,0.06889856015636524,0.2613945678946755,0.00024968343434647654,0.012694121616851317,5,4,0.9999999639958557,5,5,0,0.9999999988291572,5,6.125757035260054e-06,0.1912463104120249,8.824926208240498
