date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K_market,regime_market,max_p_market,G_market,K_macro,regime_macro,max_p_macro,G_macro,turnover
2005-02-04,0.10430670957389952,0.5999893482719935,0.2956575910490283,4.635110507880146e-05,0.0,0.0038000705245475547,-0.008182816645164175,5,4,0.9999997704874297,5,5,0,0.999999996275342,5,1.5024136920798406e-05
2005-02-07,0.10431084906070201,0.5999925792328753,0.29566168636019835,3.2725652224204715e-05,2.1596940002162197e-06,0.0006077447017272385,-0.007575071943436936,5,4,0.9999998272277821,5,5,0,0.9999999997432801,5,1.362545285460556e-05
2005-02-08,0.1043071467950923,0.5999955544136324,0.2956579759022336,3.932288904159999e-05,0.0,-8.528208477214287e-05,-0.0076603540282090795,5,4,0.9999999143749875,5,5,0,0.9999999994351932,5,9.572417574590024e-06
2005-02-09,0.10431043453562415,0.5999965561982024,0.29566105871940873,3.0335692053366914e-05,1.6148547115325416e-06,0.0020611903340251843,-0.005599163694183895,5,4,0.9999999681663463,5,5,0,0.9999999990720609,5,8.98719698836394e-06
2005-02-10,0.10431334090758822,0.5999967566598801,0.2956639633859043,2.201640530872209e-05,3.922641318595344e-06,-0.000664841172922712,-0.006264004867106607,5,4,0.9999999247056888,5,5,0,0.9999999921490669,5,8.319286744514143e-06
2005-02-11,0.10431926131274367,0.6000009948590943,0.29566983012596926,3.9214617443616464e-06,5.9922404485198395e-06,0.0017088634196014308,-0.0045551414475051765,5,4,0.9999999632050391,5,5,0,0.9999999753969326,5,1.8094943564481502e-05
2005-02-14,0.10431970794083006,0.600001319673486,0.29567026765242493,4.420746075198633e-06,4.283987183686447e-06,0.004874600686703485,0.0003194592391983081,5,4,0.999999964180315,5,5,0,0.9999999981115463,5,1.7082532647266756e-06
2005-02-15,0.10432004180774904,0.6000014879610616,0.2956705929461725,4.806769271647488e-06,3.0705157451835727e-06,-0.0009061858524342282,-0.0005867266132359201,5,4,0.9999998987003459,5,5,0,0.9999999994624303,5,1.2134714385075538e-06
2005-02-16,0.10432029140820813,0.6000015870689999,0.295670810016154,5.136664661210622e-06,2.174841976739776e-06,-0.00304979279586099,-0.00363651940909691,5,4,0.9999999409840495,5,5,0,0.9999999991217652,5,8.956737684450473e-07
2005-02-17,0.1043204882384391,0.6000016546374113,0.29567092163001274,5.460583942205312e-06,1.4749101946640094e-06,-0.0007116969496970266,-0.004348216358793937,5,4,0.9999999639958557,5,5,0,0.9999999988291572,5,6.999317821168018e-07
2005-02-18,0.10432038106387868,0.6000013917143482,0.29567100356548887,6.106201317945048e-06,1.1174549664283255e-06,-0.00317810742919637,-0.007526323787990306,5,4,0.9999998758154467,5,5,0,0.9999999990279328,5,7.27552851810726e-07
2005-02-21,0.10431588400880107,0.5999975417887912,0.2956679094496609,1.866475274693551e-05,0.0,3.459255898360498e-05,-0.007491731229006701,5,4,0.9999998992289449,5,5,0,0.9999999996613875,5,1.2558551428996875e-05
2005-02-22,0.10431234074368045,0.5999946342067514,0.29566498464906243,2.8040400505631012e-05,0.0,0.002166113348391197,-0.0053256178806155045,5,4,0.9999999359114707,5,5,0,0.9999999997429114,5,9.37564775880174e-06
2005-02-23,0.10430551386332655,0.5999852945725154,0.29565697256155243,5.221900260566631e-05,0.0,0.0015466941908586608,-0.0037789236897568437,5,4,0.9999969419516666,5,5,0,0.9999999933705388,5,2.417860209996636e-05
2005-02-24,0.10429588099127002,0.5999735685708409,0.2956456534555633,8.4896982325614e-05,0.0,-0.00012128981536484108,-0.0039002135051216845,5,4,0.9999998040527868,5,5,0,0.9999999908294939,5,3.267797972001269e-05
2005-02-25,0.10429592993512761,0.5999792823081006,0.29459590521284806,0.0011288825439238403,0.0,0.0022228721699026313,-0.0016773413352190532,5,4,0.9999999680826729,5,5,0,0.9999999310381712,5,0.0010497482427153661
2005-02-28,0.10429675546567266,0.5999875289693488,0.28496568126966487,0.010750034295313446,0.0,-0.004200584143244198,-0.005877925478463251,5,4,0.9999999758008354,5,5,0,0.9999994971655448,5,0.009630223943183028
2005-03-01,0.10429675546567267,0.5999875289693489,0.2849656812696649,0.01075003429531366,0.0,-0.0018175544232391073,-0.0076954799017023585,5,4,0.9999998841520924,5,5,0,0.9999996474736663,5,1.968911145233676e-16
2005-03-02,0.10429547759517381,0.5999916944362597,0.27607168209417776,0.019641145874388883,0.0,-8.976265319304327e-05,-0.007785242554895402,5,4,0.9999999175757427,5,5,0,0.9999997341462994,5,0.008895277045985993
2005-03-03,0.10429151785308328,0.5999959260733181,0.26821448364375255,0.027498072429845997,0.0,-0.0007078986045907534,-0.008493141159486154,5,4,0.9999999709967817,5,5,0,0.9999953891545592,5,0.007861158192515637
2005-03-04,0.10429198311971671,0.5999986791713183,0.24006123801349236,0.05564717914658521,9.205488873868607e-07,0.005889223780380776,-0.002603917379105378,5,4,0.999999977267463,5,5,0,0.9999869550294136,5,0.028153245630260233
2005-03-07,0.10428315618818518,0.599985473143538,0.24005156685990583,0.05567980380837107,0.0,0.0009292673467973217,-0.0016746500323080564,5,4,0.9999998939823341,5,5,0,0.9999982606343988,5,3.2624661785814806e-05
