date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K_market,regime_market,max_p_market,G_market,K_macro,regime_macro,max_p_macro,G_macro,turnover
2021-08-12,0.2578495119810883,0.6000053907481926,0.08809812478599817,2.531719383174794e-05,0.05402165529088913,0.0001304736672965123,0.7943005100003967,6,0,0.9999968863395438,5,5,0,0.9999999999606408,6,6.50045751794213e-07
2021-08-13,0.2578496420303759,0.6000052078920404,0.08809820330317272,2.5775625509750333e-05,0.054021171148901176,0.005593290382831209,0.7998938003832279,6,0,0.9999939688256515,5,5,0,0.9999999999843765,6,6.669981401719216e-07
2021-08-16,0.25784978207807946,0.6000049907842852,0.08809829231613078,2.6225838621265656e-05,0.05402070898288349,0.003212799592728927,0.8031065999759568,6,0,0.9999984537307304,5,5,0,0.9999999999237822,6,6.792737730120203e-07
2021-08-17,0.2578499295180837,0.6000047226400185,0.08809838645621823,2.6684098349650822e-05,0.05402027728733008,-0.001872153331690913,0.8012344466442659,6,0,0.9999949125055475,5,5,0,0.9999999999779566,6,6.998398200911514e-07
2021-08-18,0.25785003929296463,0.6000046054077656,0.08809844456837639,2.7116424580297592e-05,0.05401979430631316,-0.003364833894998065,0.7978696127492678,6,0,0.9999902567751027,5,5,0,0.9999999999933311,6,6.002132697690605e-07
2021-08-19,0.2578500992154301,0.6000046789990766,0.08809845596758838,2.7529132033951487e-05,0.054019236685870935,0.0019240364364063608,0.7997936491856742,6,0,0.9999756257738222,5,5,0,0.9999999999979274,6,5.576204422015572e-07
2021-08-20,0.25785017736693966,0.6000046450752108,0.08809848198570129,2.796195763628789e-05,0.054018733614512024,0.0015201047508417987,0.8013137539365159,6,0,0.9999794496389446,5,5,0,0.9999999999785993,6,5.369952247652339e-07
2021-08-23,0.2578502788713662,0.6000044293692124,0.08809852579810196,2.84697568254618e-05,0.054018296204494005,0.003393719170770431,0.8047074731072864,6,0,0.9999645937504789,5,5,0,0.999999999992373,6,6.531160163926635e-07
2021-08-24,0.2578504001431992,0.6000042448622361,0.08809859386895696,2.8908417536794393e-05,0.054017852708070864,-0.001816000089063018,0.8028914730182234,6,0,0.9999224463560339,5,5,0,0.9999999999190162,6,6.28003399377691e-07
2021-08-25,0.2578505084599479,0.6000041596590879,0.08809865213908753,2.931612743983404e-05,0.05401736361443683,-0.002752037816947303,0.8001394352012761,6,0,0.9999763777111756,5,5,0,0.9999999999961187,6,5.742967822649622e-07
2021-08-26,0.25785061281018,0.6000041013417962,0.08809870693165806,2.971889310189928e-05,0.05401686002326383,-0.0014645706395783693,0.7986748645616977,6,0,0.9999892513044811,5,5,0,0.9999999999974798,6,5.619084647406497e-07
2021-08-27,0.25785070171024616,0.6000040878290509,0.0880987459285076,3.0118593704425736e-05,0.054016345938490966,0.005331423506439714,0.8040062880681373,6,0,0.9999374459863225,5,5,0,0.9999999999988187,6,5.275975181640486e-07
