quintile,SR,corr
Q1,0.7455706554099832,0.5398758504454261
Q2,0.88596770172791806,0.6173802327967419
Q3,0.7342961150583356,0.5699740757212685
Q4,0.3988249164273736,0.500640803860302
Q5,0.19346419971552598,0.46632220692689275
