Regime,Days,Frac,Ann Mean,Ann Vol,Sharpe,Hit Rate,Max DD (within)
0.000000,4630,0.845199,0.067158,0.073862,0.909235,0.553564,-0.218391
1.000000,73,0.013326,0.000696,0.052306,0.013305,0.506849,-0.028115
2.000000,78,0.014239,0.077659,0.048811,1.590989,0.551282,-0.013493
4.000000,293,0.053487,0.088324,0.069114,1.277940,0.535836,-0.041580
5.000000,213,0.038883,-0.070501,0.080093,-0.880240,0.511737,-0.098565
7.000000,191,0.034867,0.133629,0.054625,2.446283,0.549738,-0.026570
