Regime,SPX,BOND,GOLD,OIL,USD
0.000000,1.072351,0.252183,1.694935,0.721750,0.330169
1.000000,5.918051,2.079057,1.436383,6.122821,-3.651775
2.000000,2.331080,0.653064,1.852421,0.963201,0.664936
3.000000,-0.006636,-0.323753,-0.893651,0.098267,2.639990
4.000000,-5.345675,0.492204,-1.901597,-3.899463,2.512214
