"Strategy","Ann_Return","Ann_Vol","Sharpe","Sortino","Max_DD","Hit_Rate","Calmar","Avg_Turnover","N_Days"
"Wasserstein HMM",0.0248131702518772,0.0621072756942725,0.399521150694515,0.321803317054431,-0.299336237695592,0.383359662980516,0.0828939738232122,0.000424714521702738,9495
"Equal Weight (20%)",-0.262099356807273,3.381578685764,-0.077507986997516,-0.0478869800283336,-19.5373815261492,0.380937335439705,-0.0134152755555536,0.00403145254827268,9495
"60/40 Stock/Bond",0.0420437912750714,0.0922441944564054,0.45578793898993,0.367462594573231,-0.374570276094144,0.392838335966298,0.112245402153865,0.00204178330515961,9495
"SPX Buy & Hold",0.0408412362049915,0.160915766848628,0.253805062144162,0.198168710458117,-0.838760152501028,0.369878883622959,0.0486923896935381,0,9495
