,Sharpe,Sortino,Ann Mean,Ann Vol,Max Drawdown,Hit Rate,Total Days
Wasserstein HMM + MVO,0.615685,0.846561,0.038417,0.062397,-0.218498,0.545637,5478
SPX Buy & Hold,0.422743,0.493093,0.079648,0.188406,-0.838760,0.526470,5478
Equal-Weight (20%),0.465664,0.561589,0.048456,0.104058,-0.393185,0.529755,5478
60/40 SPX/BOND,0.554075,0.667686,0.060006,0.108299,-0.422144,0.558781,5478
