,Mean,Median,95% Quantile,Days > 1%,Days > 5%
PureMarket_WHMM,0.004347440503186039,2.6996548168755807e-06,0.004296576855064306,0.029025191675794086,0.01715954728002921
Hierarchical_WHMM,0.003679360831509258,2.4414185625744593e-06,0.009056495716785528,0.04782767433369843,0.01533406352683461
EqualWeight,0.0,0.0,0.0,0.0,0.0
SixtyForty,0.0,0.0,0.0,0.0,0.0
