regime,Days,Frac of Sample,Ann Mean,Ann Vol,Sharpe,Hit Rate,Max DD (within)
0,2937,0.536144578313253,0.04637719802757743,0.06364692447802014,0.7286636142739835,0.5485188968335035,-0.1094293213200126
1,1246,0.22745527564804674,0.09976043302688867,0.10387368515661752,0.9604014036516851,0.5529695024077047,-0.14178867640500925
2,471,0.0859802847754655,-0.04050483962082265,0.07948509488645501,-0.5095903789092041,0.4989384288747346,-0.13993947369868476
3,68,0.012413289521723256,-0.0793074887835824,0.07343058125090143,-1.0800335150909464,0.6176470588235294,-0.06224719022259406
4,756,0.1380065717415115,0.003346425289344805,0.08462781679123514,0.03954285264855601,0.5211640211640212,-0.17395339046962988
