,Sharpe,Sortino,Ann Mean,Ann Vol,Max DD,Calmar,Hit Rate,Turnover
Pure,0.5644831053355946,0.7618779375221788,0.04101381247571607,0.07265728963018774,-0.12768715093583405,0.32120547897827656,0.5419861263234758,0.004347464151484219
HierB_full,0.5518804060374376,0.7071680354257259,0.04354654478362166,0.07890576347200051,-0.18156686301687353,0.23983751252878535,0.5423512230741147,0.0036794212367228505
HierC_full,0.8101108186311735,1.125033600114799,0.03904879182308915,0.048201790329215746,-0.09300446085896075,0.4198593429008292,0.5425337714494342,0.0013555389351156025
HierB_nooverlap,0.6255481846357589,0.802215511396585,0.051314508060088526,0.08203126365072531,-0.1665366011960948,0.30812750885714496,0.5460021905805038,0.008836122076975643
HierC_nooverlap,0.800056212925533,1.1024109115788276,0.039817056952142646,0.04976782419643395,-0.09930681643070549,0.400949888268005,0.5392479006936838,0.0018112319740429294
