,Average Weight,Weight Volatility,Time > 10%,Avg |dW|
SPX,0.23811939622330344,0.14612898555462633,0.7767433369843009,0.0014179971775249314
BOND,0.4180317260964358,0.22499486836495589,0.7977364001460387,0.001503400296376502
GOLD,0.15739659591475494,0.1266863039658787,0.6261409273457467,0.001496338343915586
OIL,0.06318203721005376,0.1096679939945925,0.2628696604600219,0.001666000039935014
USD,0.12327024455545185,0.18928675071306705,0.21558963125228187,0.0012763293732166506
