regime,n_spells,mean_length,median_length,max_length
0,14,209.78571428571428,101.5,919
1,14,89.0,59.5,510
2,5,94.2,15.0,416
3,9,7.555555555555555,3.0,43
4,26,29.076923076923077,19.5,85
