,Ann Mean,Ann Mean,Ann Mean,Ann Mean,Ann Mean,Ann Vol,Ann Vol,Ann Vol,Ann Vol,Ann Vol,Sharpe,Sharpe,Sharpe,Sharpe,Sharpe
asset,BOND,GOLD,OIL,SPX,USD,BOND,GOLD,OIL,SPX,USD,BOND,GOLD,OIL,SPX,USD
regime,,,,,,,,,,,,,,,
0,0.03916799817515633,0.08129280748549907,0.02879936808995792,0.10759640858224528,0.011175582663175136,0.06294504638521142,0.1577292338933602,0.3060848421403912,0.14257655653460446,0.05739045839395288,0.6222570388693627,0.5153946765534959,0.09408949456160454,0.7546570852700514,0.19472893188029816
1,-0.23388072169462149,-1.6086984534199154,-1.3513443420213544,-0.2708753613247481,0.05981777593022386,0.043914589176312184,0.09356727255460626,0.29123605192076785,0.05890047993355738,0.03537412502005737,-5.325809169149151,-17.19296084516167,-4.64003111259383,-4.598865096350806,1.6910036897395135
4,0.005029073068890435,0.18888520534362996,-0.0033544509924279906,-0.005697753143513663,-0.0036967113724714795,0.10237711702083829,0.20726353962725566,0.632711056518069,0.28809943482363787,0.08515407231899003,0.04912301904210485,0.9113286672770453,-0.005301710722250029,-0.019777036865766793,-0.04341203270494774
