,macro_stress,gamma_eff
mean,0.33172264902046206,11.634452980409241
median,0.21840214753373585,9.36804295067472
std,0.23484997606407265,4.6969995212814535
min,0.1597278448959378,8.194556897918757
max,0.9458306823910048,23.9166136478201
