,Average Weight,Weight Volatility,Time > 10%,Avg |dW|
SPX,0.2381181885895794,0.14612866055824203,0.7767433369843009,0.0014180218690936612
BOND,0.41802629069241254,0.22499472623575856,0.7977364001460387,0.0015034555358993352
GOLD,0.15739010581954693,0.12669332796960028,0.6261409273457467,0.0014964400291479145
OIL,0.06318160581613397,0.10966126473905621,0.2628696604600219,0.001665965768896816
USD,0.12328380908232707,0.18928445434142757,0.21558963125228187,0.0012763028604158976
