,Ann Mean,Ann Vol,Sharpe,Sortino,Calmar,Max DD (wealth),Max DD (cum log),Hit Rate,Days
PureMarket_WHMM,0.04101381247571607,0.07265728963018774,0.5644831053355946,0.7618779375221788,0.32120547897827656,-0.12768715093583405,-0.13508853373815016,0.5419861263234758,5478.0
Hierarchical_B,0.04354654478362166,0.07890576347200051,0.5518804060374376,0.7071680354257259,0.23983751252878535,-0.18156686301687353,-0.19725648839444476,0.5423512230741147,5478.0
Hierarchical_C,0.03904879182308915,0.048201790329215746,0.8101108186311735,1.125033600114799,0.4198593429008292,-0.09300446085896075,-0.09544391720319245,0.5425337714494342,5478.0
EqualWeight,0.048456005615097095,0.104057901681536,0.46566387397849207,0.56158941214849,0.1415593450619577,-0.34230170812028604,-0.39318514864849086,0.5297553851770719,5478.0
SixtyForty,0.06000571201181973,0.10829882904200944,0.5540753537468383,0.6676858162999674,0.1643523996328691,-0.36510396042808424,-0.4221439064108598,0.558780576852866,5478.0
