from,0,1,2,3,4
0,0.9448275862068966,0.0022988505747126436,0.0,0.034482758620689655,0.01839080459770115
1,0.0,0.9782244556113903,0.0,0.020100502512562814,0.0016750418760469012
2,0.0,0.0011655011655011655,0.9708624708624709,0.01048951048951049,0.017482517482517484
3,0.00579950289975145,0.002899751449875725,0.004142502071251036,0.9792874896437448,0.007870753935376968
4,0.008525149190110827,0.0025575447570332483,0.01278772378516624,0.01278772378516624,0.9633418584825234
