regime,Days,Frac of Sample,Ann Mean,Ann Vol,Sharpe,Hit Rate,Max DD (within)
0,2937,0.536144578313253,0.04638645322516864,0.06364537746228474,0.7288267439792707,0.5485188968335035,-0.10942931643951537
1,1246,0.22745527564804674,0.09972957508246548,0.10386935534384227,0.9601443539562491,0.5529695024077047,-0.14178867013639862
2,471,0.0859802847754655,-0.040506175588137266,0.07948516189607076,-0.5096067570586358,0.4989384288747346,-0.1399394736987677
3,68,0.012413289521723256,-0.07930514285303931,0.07342921447879656,-1.0800216700662033,0.6176470588235294,-0.062244959536749245
4,756,0.1380065717415115,0.003332099293156763,0.08462538471740856,0.03937470186142984,0.5211640211640212,-0.17396933805939996
