,Average N_eff,Median N_eff
PureMarket_WHMM,2.759916877181456,2.656287519815405
Hierarchical_B,2.495451847106789,2.3421934473985457
Hierarchical_C,3.1445364138952705,3.103142830423381
EqualWeight,4.999999999974999,4.999999999974999
SixtyForty,1.923076923073225,1.923076923073225
