"date","bonds"
1981-02-11,36.47
1981-02-12,36.48
1981-02-13,36.09
1981-02-16,36.1
1981-02-17,36.72
1981-02-18,36.78
1981-02-19,37.2
1981-02-20,37.62
1981-02-23,37.05
1981-02-24,37.04
1981-02-25,36.88
1981-02-26,36.55
1981-02-27,36.67
1981-03-02,36.33
1981-03-03,36.69
1981-03-04,36.67
1981-03-05,36.73
1981-03-06,37.2
1981-03-09,37.45
1981-03-10,37.49
1981-03-11,37.44
1981-03-12,37.62
1981-03-13,37.96
1981-03-16,38
1981-03-17,38.37
1981-03-18,38.59
1981-03-19,38.4
1981-03-20,38.24
1981-03-23,38.25
1981-03-24,37.23
1981-03-25,37.41
1981-03-26,37.19
1981-03-27,37.2
1981-03-30,37.48
1981-03-31,37.65
1981-04-01,37.64
1981-04-02,37.44
1981-04-03,37.2
1981-04-06,36.58
1981-04-07,37.2
1981-04-08,36.85
1981-04-09,37.16
1981-04-10,37.12
1981-04-13,36.78
1981-04-14,36.98
1981-04-15,36.69
1981-04-16,36.62
1981-04-17,36.66
1981-04-20,36.83
1981-04-21,36.77
1981-04-22,36.7
1981-04-23,36.65
1981-04-24,36.57
1981-04-27,36.51
1981-04-28,36.5
1981-04-29,36.29
1981-04-30,36.21
1981-05-01,36.35
1981-05-04,35.63
1981-05-05,35.3
1981-05-06,35.6
1981-05-07,36.09
1981-05-08,36.25
1981-05-11,36.06
1981-05-12,35.93
1981-05-13,35.91
1981-05-14,36.21
1981-05-15,36.35
1981-05-18,37.35
1981-05-19,37.08
1981-05-20,36.91
1981-05-21,36.78
1981-05-22,37.22
1981-05-25,37.23
1981-05-26,37.54
1981-05-27,37.5
1981-05-28,37.78
1981-05-29,37.99
1981-06-01,38.08
1981-06-02,37.86
1981-06-03,37.94
1981-06-04,38.02
1981-06-05,37.98
1981-06-08,38.39
1981-06-09,38.39
1981-06-10,38.51
1981-06-11,38.5
1981-06-12,38.5
1981-06-15,39.03
1981-06-16,39.06
1981-06-17,38.77
1981-06-18,38.11
1981-06-19,38.36
1981-06-22,38.38
1981-06-23,38.2
1981-06-24,38.01
1981-06-25,37.94
1981-06-26,38.01
1981-06-29,38.04
1981-06-30,37.7
1981-07-01,37.37
1981-07-02,37.55
1981-07-03,37.59
1981-07-06,37.88
1981-07-07,37.47
1981-07-08,37.35
1981-07-09,37.34
1981-07-10,37.71
1981-07-13,37.62
1981-07-14,37.34
1981-07-15,37.52
1981-07-16,37.5
1981-07-17,37.54
1981-07-20,36.6
1981-07-21,36.58
1981-07-22,36.56
1981-07-23,36.69
1981-07-24,37.01
1981-07-27,37.01
1981-07-28,36.83
1981-07-29,36.68
1981-07-30,36.54
1981-07-31,36.65
1981-08-03,36.15
1981-08-04,36.17
1981-08-05,36.45
1981-08-06,36.37
1981-08-07,36.49
1981-08-10,36.87
1981-08-11,37.38
1981-08-12,36.95
1981-08-13,36.9
1981-08-14,36.78
1981-08-17,36.91
1981-08-18,36.92
1981-08-19,36.8
1981-08-20,36.58
1981-08-21,36.49
1981-08-24,35.91
1981-08-25,35.9
1981-08-26,35.96
1981-08-27,35.87
1981-08-28,36.04
1981-08-31,35.79
1981-09-01,35.83
1981-09-02,35.87
1981-09-03,35.73
1981-09-04,35.73
1981-09-07,35.75
1981-09-08,35.61
1981-09-09,35.72
1981-09-10,36.15
1981-09-11,36.66
1981-09-14,36.39
1981-09-15,36.63
1981-09-16,36.6
1981-09-17,36.9
1981-09-18,37.02
1981-09-21,37.27
1981-09-22,36.81
1981-09-23,36.47
1981-09-24,36.34
1981-09-25,35.74
1981-09-28,35.82
1981-09-29,35.63
1981-09-30,35.51
1981-10-01,35.68
1981-10-02,36.33
1981-10-05,36.74
1981-10-06,36.85
1981-10-07,37.05
1981-10-08,37.13
1981-10-09,37.68
1981-10-12,37.69
1981-10-13,37.52
1981-10-14,37.43
1981-10-15,37.45
1981-10-16,37.37
1981-10-19,37.38
1981-10-20,37.14
1981-10-21,36.69
1981-10-22,36.65
1981-10-23,36.83
1981-10-26,36.32
1981-10-27,36.43
1981-10-28,36.63
1981-10-29,37.33
1981-10-30,38.17
1981-11-02,38.28
1981-11-03,38.29
1981-11-04,39.07
1981-11-05,38.99
1981-11-06,39.04
1981-11-09,40.51
1981-11-10,40.62
1981-11-11,40.63
1981-11-12,41.08
1981-11-13,41.09
1981-11-16,41.36
1981-11-17,41.07
1981-11-18,41.3
1981-11-19,41.31
1981-11-20,41.2
1981-11-23,40.71
1981-11-24,41.31
1981-11-25,41.61
1981-11-26,41.62
1981-11-27,41.82
1981-11-30,41.36
1981-12-01,40.84
1981-12-02,40.6
1981-12-03,40.7
1981-12-04,41.4
1981-12-07,40.67
1981-12-08,40.67
1981-12-09,40.39
1981-12-10,40.07
1981-12-11,40.03
1981-12-14,40.51
1981-12-15,40.67
1981-12-16,40.72
1981-12-17,40.36
1981-12-18,40.84
1981-12-21,40.18
1981-12-22,39.78
1981-12-23,39.55
1981-12-24,39.84
1981-12-25,39.88
1981-12-28,39.9
1981-12-29,39.69
1981-12-30,39.61
1981-12-31,40
1982-01-01,39.65
1982-01-04,39.64
1982-01-05,39.15
1982-01-06,38.87
1982-01-07,38.82
1982-01-08,39.13
1982-01-11,38.51
1982-01-12,38.92
1982-01-13,38.52
1982-01-14,38.78
1982-01-15,38.59
1982-01-18,38.74
1982-01-19,38.67
1982-01-20,38.65
1982-01-21,39.04
1982-01-22,38.95
1982-01-25,39.11
1982-01-26,39.29
1982-01-27,39.35
1982-01-28,39.81
1982-01-29,40.15
1982-02-01,39.29
1982-02-02,39.53
1982-02-03,39.24
1982-02-04,39.1
1982-02-05,39.3
1982-02-08,38.94
1982-02-09,38.83
1982-02-10,39.05
1982-02-11,39.31
1982-02-12,39.36
1982-02-15,39.37
1982-02-16,39.65
1982-02-17,39.83
1982-02-18,40.24
1982-02-19,40.31
1982-02-22,41.16
1982-02-23,40.98
1982-02-24,41.12
1982-02-25,41.06
1982-02-26,40.91
1982-03-01,41.35
1982-03-02,41.61
1982-03-03,41.73
1982-03-04,41.91
1982-03-05,42.01
1982-03-08,41.86
1982-03-09,41.87
1982-03-10,41.89
1982-03-11,41.28
1982-03-12,41.3
1982-03-15,41.32
1982-03-16,41.46
1982-03-17,41.53
1982-03-18,41.57
1982-03-19,41.57
1982-03-22,41.91
1982-03-23,41.98
1982-03-24,41.58
1982-03-25,41.61
1982-03-26,41.43
1982-03-29,41.13
1982-03-30,41.07
1982-03-31,41.11
1982-04-01,41.3
1982-04-02,41.35
1982-04-05,41.24
1982-04-06,41.22
1982-04-07,41.2
1982-04-08,41.73
1982-04-09,41.78
1982-04-12,42.03
1982-04-13,42.06
1982-04-14,41.41
1982-04-15,41.92
1982-04-16,42.38
1982-04-19,42.51
1982-04-20,42.39
1982-04-21,42.48
1982-04-22,42.45
1982-04-23,42.55
1982-04-26,42.54
1982-04-27,42.55
1982-04-28,42.41
1982-04-29,42.21
1982-04-30,42.25
1982-05-03,42.1
1982-05-04,42.29
1982-05-05,42.39
1982-05-06,42.92
1982-05-07,43.06
1982-05-10,43.03
1982-05-11,43.12
1982-05-12,42.89
1982-05-13,42.76
1982-05-14,43.16
1982-05-17,42.99
1982-05-18,42.96
1982-05-19,42.9
1982-05-20,43.16
1982-05-21,43.19
1982-05-24,43.08
1982-05-25,43
1982-05-26,42.88
1982-05-27,42.83
1982-05-28,42.85
1982-05-31,42.85
1982-06-01,42.37
1982-06-02,42.54
1982-06-03,42.47
1982-06-04,42.34
1982-06-07,42.44
1982-06-08,42.36
1982-06-09,42.37
1982-06-10,42.32
1982-06-11,42.56
1982-06-14,41.95
1982-06-15,41.98
1982-06-16,41.89
1982-06-17,41.46
1982-06-18,41.5
1982-06-21,41.18
1982-06-22,41.14
1982-06-23,40.98
1982-06-24,41.06
1982-06-25,40.99
1982-06-28,41.09
1982-06-29,41.34
1982-06-30,41.73
1982-07-01,41.85
1982-07-02,41.69
1982-07-05,41.7
1982-07-06,41.74
1982-07-07,41.75
1982-07-08,42.4
1982-07-09,42.81
1982-07-12,43.15
1982-07-13,42.85
1982-07-14,42.69
1982-07-15,43
1982-07-16,43.66
1982-07-19,43.7
1982-07-20,44.06
1982-07-21,43.91
1982-07-22,44.12
1982-07-23,44.06
1982-07-26,43.32
1982-07-27,43.42
1982-07-28,43.18
1982-07-29,43.49
1982-07-30,43.88
1982-08-02,44.52
1982-08-03,44.31
1982-08-04,44.11
1982-08-05,43.95
1982-08-06,43.66
1982-08-09,44.02
1982-08-10,43.98
1982-08-11,44
1982-08-12,44.37
1982-08-13,45.23
1982-08-16,45.51
1982-08-17,46.59
1982-08-18,46.8
1982-08-19,47.05
1982-08-20,47.69
1982-08-23,47.11
1982-08-24,47.39
1982-08-25,47.41
1982-08-26,46.92
1982-08-27,46.46
1982-08-30,46.48
1982-08-31,46.39
1982-09-01,46.55
1982-09-02,46.92
1982-09-03,47.35
1982-09-06,47.37
1982-09-07,47.2
1982-09-08,47.23
1982-09-09,47.21
1982-09-10,46.78
1982-09-13,47.04
1982-09-14,47.2
1982-09-15,47.14
1982-09-16,47.18
1982-09-17,47.44
1982-09-20,47.52
1982-09-21,48.27
1982-09-22,48.33
1982-09-23,48.54
1982-09-24,48.15
1982-09-27,48.34
1982-09-28,48.73
1982-09-29,48.7
1982-09-30,48.84
1982-10-01,49.35
1982-10-04,48.74
1982-10-05,48.8
1982-10-06,49.2
1982-10-07,50.46
1982-10-08,50.59
1982-10-11,50.6
1982-10-12,51.59
1982-10-13,51.83
1982-10-14,51.38
1982-10-15,51.04
1982-10-18,51.43
1982-10-19,51.59
1982-10-20,51.32
1982-10-21,51.4
1982-10-22,51.16
1982-10-25,50.44
1982-10-26,51.09
1982-10-27,50.86
1982-10-28,51.3
1982-10-29,51.61
1982-11-01,52.08
1982-11-02,52.09
1982-11-03,52.51
1982-11-04,52.56
1982-11-05,52.48
1982-11-08,52.27
1982-11-09,52.36
1982-11-10,52.43
1982-11-11,52.45
1982-11-12,52.28
1982-11-15,51.96
1982-11-16,51.93
1982-11-17,52.08
1982-11-18,52.37
1982-11-19,52.59
1982-11-22,52.56
1982-11-23,52.24
1982-11-24,52.1
1982-11-25,52.12
1982-11-26,52.3
1982-11-29,51.61
1982-11-30,51.66
1982-12-01,51.82
1982-12-02,52.05
1982-12-03,52.75
1982-12-06,52.79
1982-12-07,52.73
1982-12-08,52.32
1982-12-09,52.42
1982-12-10,52.25
1982-12-13,52.51
1982-12-14,53.01
1982-12-15,52.83
1982-12-16,52.59
1982-12-17,52.52
1982-12-20,52.36
1982-12-21,52.86
1982-12-22,52.91
1982-12-23,53.12
1982-12-24,53.16
1982-12-27,53.28
1982-12-28,53.29
1982-12-29,53.21
1982-12-30,53.29
1982-12-31,53.56
1983-01-03,53.71
1983-01-04,53.54
1983-01-05,53.59
1983-01-06,53.49
1983-01-07,53.64
1983-01-10,53.62
1983-01-11,53.75
1983-01-12,53.85
1983-01-13,53.99
1983-01-14,53.97
1983-01-17,54
1983-01-18,53.95
1983-01-19,53.62
1983-01-20,53.58
1983-01-21,53.07
1983-01-24,52.82
1983-01-25,53.06
1983-01-26,52.88
1983-01-27,52.93
1983-01-28,52.86
1983-01-31,52.57
1983-02-01,52.64
1983-02-02,52.6
1983-02-03,52.51
1983-02-04,52.28
1983-02-07,52.38
1983-02-08,52.33
1983-02-09,52.29
1983-02-10,52.8
1983-02-11,53.01
1983-02-14,52.94
1983-02-15,52.82
1983-02-16,53.02
1983-02-17,53.31
1983-02-18,53.65
1983-02-21,53.67
1983-02-22,53.7
1983-02-23,54.22
1983-02-24,54.27
1983-02-25,54.87
1983-02-28,54.74
1983-03-01,54.95
1983-03-02,54.81
1983-03-03,54.93
1983-03-04,54.83
1983-03-07,54.34
1983-03-08,54.11
1983-03-09,54.2
1983-03-10,54.02
1983-03-11,53.96
1983-03-14,54.27
1983-03-15,54.38
1983-03-16,54.17
1983-03-17,54.12
1983-03-18,54.1
1983-03-21,54.05
1983-03-22,53.98
1983-03-23,54.14
1983-03-24,54.16
1983-03-25,54.01
1983-03-28,53.96
1983-03-29,54.16
1983-03-30,54.22
1983-03-31,54.12
1983-04-01,54.17
1983-04-04,54.25
1983-04-05,54.63
1983-04-06,54.66
1983-04-07,54.61
1983-04-08,54.68
1983-04-11,55
1983-04-12,54.99
1983-04-13,55.1
1983-04-14,55.48
1983-04-15,55.36
1983-04-18,55.52
1983-04-19,55.2
1983-04-20,55.24
1983-04-21,55.1
1983-04-22,55.19
1983-04-25,55.29
1983-04-26,55.39
1983-04-27,55.65
1983-04-28,55.63
1983-04-29,55.78
1983-05-02,55.83
1983-05-03,55.86
1983-05-04,56.12
1983-05-05,56.01
1983-05-06,56.17
1983-05-09,55.91
1983-05-10,56.12
1983-05-11,56.1
1983-05-12,55.99
1983-05-13,56.05
1983-05-16,55.51
1983-05-17,55.51
1983-05-18,55.45
1983-05-19,55.14
1983-05-20,55.11
1983-05-23,54.96
1983-05-24,55.01
1983-05-25,54.99
1983-05-26,54.83
1983-05-27,54.88
1983-05-30,54.53
1983-05-31,54.28
1983-06-01,54.46
1983-06-02,54.44
1983-06-03,54.41
1983-06-06,54.48
1983-06-07,54.27
1983-06-08,54.07
1983-06-09,54.23
1983-06-10,54.19
1983-06-13,54.69
1983-06-14,54.66
1983-06-15,54.81
1983-06-16,55.08
1983-06-17,55.03
1983-06-20,54.66
1983-06-21,54.69
1983-06-22,54.57
1983-06-23,54.39
1983-06-24,54.44
1983-06-27,53.77
1983-06-28,54.01
1983-06-29,54.18
1983-06-30,54.32
1983-07-01,54.39
1983-07-04,54.4
1983-07-05,53.57
1983-07-06,53.73
1983-07-07,53.36
1983-07-08,53.27
1983-07-11,53.46
1983-07-12,52.98
1983-07-13,53.12
1983-07-14,53.19
1983-07-15,52.81
1983-07-18,53.2
1983-07-19,53.37
1983-07-20,53.54
1983-07-21,53.44
1983-07-22,53.15
1983-07-25,53.27
1983-07-26,53.07
1983-07-27,53.02
1983-07-28,52.52
1983-07-29,52.29
1983-08-01,52.2
1983-08-02,52.3
1983-08-03,52.21
1983-08-04,51.82
1983-08-05,51.82
1983-08-08,51.5
1983-08-09,51.64
1983-08-10,51.53
1983-08-11,52.04
1983-08-12,52.29
1983-08-15,52.91
1983-08-16,53.01
1983-08-17,53.31
1983-08-18,53.25
1983-08-19,53.18
1983-08-22,53.79
1983-08-23,53.7
1983-08-24,53.8
1983-08-25,53.64
1983-08-26,53.55
1983-08-29,52.93
1983-08-30,52.86
1983-08-31,52.61
1983-09-01,52.66
1983-09-02,52.56
1983-09-05,52.58
1983-09-06,53.09
1983-09-07,53.6
1983-09-08,53.44
1983-09-09,53.57
1983-09-12,54.13
1983-09-13,53.98
1983-09-14,53.55
1983-09-15,53.37
1983-09-16,53.84
1983-09-19,53.95
1983-09-20,54.2
1983-09-21,54.02
1983-09-22,54.18
1983-09-23,54.53
1983-09-26,54.83
1983-09-27,54.76
1983-09-28,54.63
1983-09-29,54.63
1983-09-30,54.88
1983-10-03,54.81
1983-10-04,54.81
1983-10-05,55.19
1983-10-06,55.37
1983-10-07,55.29
1983-10-10,55.31
1983-10-11,54.59
1983-10-12,54.56
1983-10-13,54.37
1983-10-14,54.65
1983-10-17,55
1983-10-18,54.95
1983-10-19,54.98
1983-10-20,55.02
1983-10-21,55.22
1983-10-24,54.54
1983-10-25,54.43
1983-10-26,54.43
1983-10-27,54.59
1983-10-28,54.53
1983-10-31,54.4
1983-11-01,54.58
1983-11-02,54.55
1983-11-03,54.42
1983-11-04,54.17
1983-11-07,54.19
1983-11-08,54.21
1983-11-09,54.26
1983-11-10,54.51
1983-11-11,54.56
1983-11-14,54.77
1983-11-15,54.74
1983-11-16,54.75
1983-11-17,54.67
1983-11-18,54.71
1983-11-21,54.94
1983-11-22,55.23
1983-11-23,55.15
1983-11-24,55.17
1983-11-25,55.32
1983-11-28,55.19
1983-11-29,55.25
1983-11-30,55.2
1983-12-01,55.24
1983-12-02,54.93
1983-12-05,54.88
1983-12-06,54.94
1983-12-07,54.85
1983-12-08,54.56
1983-12-09,54.6
1983-12-12,54.68
1983-12-13,54.46
1983-12-14,54.43
1983-12-15,54.46
1983-12-16,54.77
1983-12-19,54.82
1983-12-20,54.86
1983-12-21,54.96
1983-12-22,55.18
1983-12-23,55.15
1983-12-26,55.17
1983-12-27,55.36
1983-12-28,55.17
1983-12-29,55.25
1983-12-30,55.22
1984-01-02,55.24
1984-01-03,55.12
1984-01-04,55.34
1984-01-05,55.41
1984-01-06,55.55
1984-01-09,55.53
1984-01-10,55.67
1984-01-11,55.57
1984-01-12,55.55
1984-01-13,56.22
1984-01-16,56.3
1984-01-17,56.24
1984-01-18,56.12
1984-01-19,56.19
1984-01-20,56.1
1984-01-23,56.17
1984-01-24,56.21
1984-01-25,56.17
1984-01-26,56.22
1984-01-27,56.3
1984-01-30,56.19
1984-01-31,56.19
1984-02-01,56.24
1984-02-02,56.4
1984-02-03,56.43
1984-02-06,56.21
1984-02-07,56.18
1984-02-08,56.18
1984-02-09,56.1
1984-02-10,55.93
1984-02-13,55.95
1984-02-14,55.88
1984-02-15,55.98
1984-02-16,55.96
1984-02-17,55.71
1984-02-20,55.73
1984-02-21,55.81
1984-02-22,55.78
1984-02-23,55.37
1984-02-24,55.65
1984-02-27,55.48
1984-02-28,55.34
1984-02-29,55.56
1984-03-01,55.46
1984-03-02,55.8
1984-03-05,55.55
1984-03-06,55.5
1984-03-07,55.12
1984-03-08,55.09
1984-03-09,55.02
1984-03-12,55.14
1984-03-13,55.09
1984-03-14,54.8
1984-03-15,55.01
1984-03-16,54.99
1984-03-19,54.65
1984-03-20,54.72
1984-03-21,54.69
1984-03-22,54.62
1984-03-23,54.69
1984-03-26,54.79
1984-03-27,54.76
1984-03-28,54.88
1984-03-29,54.95
1984-03-30,54.66
1984-04-02,54.63
1984-04-03,54.37
1984-04-04,54.32
1984-04-05,54.41
1984-04-06,54.87
1984-04-09,54.97
1984-04-10,54.87
1984-04-11,54.95
1984-04-12,55.26
1984-04-13,54.79
1984-04-16,54.7
1984-04-17,54.86
1984-04-18,54.5
1984-04-19,54.31
1984-04-20,54.37
1984-04-23,54.31
1984-04-24,54.47
1984-04-25,54.66
1984-04-26,54.72
1984-04-27,54.42
1984-04-30,54.33
1984-05-01,54.35
1984-05-02,54.28
1984-05-03,54.23
1984-05-04,54.07
1984-05-07,53.61
1984-05-08,53.76
1984-05-09,53.51
1984-05-10,53.39
1984-05-11,52.81
1984-05-14,52.57
1984-05-15,52.84
1984-05-16,53.08
1984-05-17,52.84
1984-05-18,53.01
1984-05-21,53.24
1984-05-22,52.94
1984-05-23,52.94
1984-05-24,52.39
1984-05-25,52.3
1984-05-28,52.32
1984-05-29,51.94
1984-05-30,51.71
1984-05-31,51.94
1984-06-01,52.82
1984-06-04,53.45
1984-06-05,53.64
1984-06-06,53.14
1984-06-07,53.17
1984-06-08,53.45
1984-06-11,53.11
1984-06-12,53.23
1984-06-13,53.56
1984-06-14,53.74
1984-06-15,54.32
1984-06-18,54.17
1984-06-19,53.86
1984-06-20,53.15
1984-06-21,52.92
1984-06-22,52.91
1984-06-25,52.95
1984-06-26,52.81
1984-06-27,52.93
1984-06-28,52.83
1984-06-29,52.76
1984-07-02,52.71
1984-07-03,52.93
1984-07-04,52.95
1984-07-05,53.07
1984-07-06,53.14
1984-07-09,53.94
1984-07-10,53.82
1984-07-11,53.79
1984-07-12,54.18
1984-07-13,54.57
1984-07-16,54.54
1984-07-17,54.39
1984-07-18,54.56
1984-07-19,54.78
1984-07-20,54.52
1984-07-23,54.59
1984-07-24,54.71
1984-07-25,55.47
1984-07-26,55.98
1984-07-27,55.85
1984-07-30,55.59
1984-07-31,56.01
1984-08-01,56.35
1984-08-02,56.55
1984-08-03,57.03
1984-08-06,56.66
1984-08-07,56.8
1984-08-08,56.85
1984-08-09,56.97
1984-08-10,56.98
1984-08-13,56.71
1984-08-14,56.9
1984-08-15,56.72
1984-08-16,56.89
1984-08-17,56.9
1984-08-20,56.88
1984-08-21,57.03
1984-08-22,57.09
1984-08-23,56.99
1984-08-24,57.1
1984-08-27,56.85
1984-08-28,56.76
1984-08-29,56.7
1984-08-30,56.68
1984-08-31,56.76
1984-09-03,56.78
1984-09-04,56.53
1984-09-05,56.43
1984-09-06,56.8
1984-09-07,57.18
1984-09-10,57.47
1984-09-11,57.76
1984-09-12,57.72
1984-09-13,58.11
1984-09-14,58.21
1984-09-17,58.32
1984-09-18,58.48
1984-09-19,58.84
1984-09-20,58.76
1984-09-21,58.27
1984-09-24,58.04
1984-09-25,57.96
1984-09-26,58.24
1984-09-27,58.8
1984-09-28,58.31
1984-10-01,58.15
1984-10-02,58.15
1984-10-03,58.18
1984-10-04,58.26
1984-10-05,58.74
1984-10-08,58.76
