"date","copper"
1987-02-23,1437.81
1987-02-24,1398.71
1987-02-25,1406.96
1987-02-26,1427.81
1987-02-27,1406.65
1987-03-02,1404.68
1987-03-03,1402.11
1987-03-04,1435.7
1987-03-05,1431.57
1987-03-06,1435.78
1987-03-09,1423.1
1987-03-10,1422.54
1987-03-11,1438.82
1987-03-12,1456.95
1987-03-13,1463.71
1987-03-16,1450.6
1987-03-17,1449.74
1987-03-18,1469.14
1987-03-19,1465.43
1987-03-20,1469.36
1987-03-23,1492.61
1987-03-24,1507.56
1987-03-25,1492.12
1987-03-26,1499.8
1987-03-27,1537.91
1987-03-30,1537.4
1987-03-31,1516.11
1987-04-01,1493.19
1987-04-02,1494.56
1987-04-03,1467.23
1987-04-06,1456.06
1987-04-07,1486.94
1987-04-08,1478.13
1987-04-09,1481.98
1987-04-10,1495.35
1987-04-13,1496.57
1987-04-14,1494.96
1987-04-15,1493.94
1987-04-16,1504.05
1987-04-17,NA
1987-04-20,NA
1987-04-21,1500.52
1987-04-22,1466.65
1987-04-23,1458.48
1987-04-24,1434.7
1987-04-27,1462.35
1987-04-28,1481.47
1987-04-29,1492.66
1987-04-30,1487.55
1987-05-01,1475.93
1987-05-04,NA
1987-05-05,1484.03
1987-05-06,1480.27
1987-05-07,1504.81
1987-05-08,1522.08
1987-05-11,1530.38
1987-05-12,1529.01
1987-05-13,1526.51
1987-05-14,1521.77
1987-05-15,1545.02
1987-05-18,1570.33
1987-05-19,1527.14
1987-05-20,1544.45
1987-05-21,1537.98
1987-05-22,1536.69
1987-05-25,NA
1987-05-26,1529.93
1987-05-27,1490.47
1987-05-28,1514.04
1987-05-29,1503.64
1987-06-01,1512.88
1987-06-02,1538.67
1987-06-03,1554.22
1987-06-04,1532.44
1987-06-05,1562.85
1987-06-08,1568.24
1987-06-09,1581.29
1987-06-10,1587.63
1987-06-11,1579.67
1987-06-12,1598.85
1987-06-15,1606.16
1987-06-16,1593.81
1987-06-17,1606.56
1987-06-18,1578.48
1987-06-19,1565.42
1987-06-22,1558.9
1987-06-23,1547.75
1987-06-24,1570.39
1987-06-25,1588.89
1987-06-26,1604.81
1987-06-29,1600.69
1987-06-30,1599.29
1987-07-01,1625.98
1987-07-02,1696.19
1987-07-03,NA
1987-07-06,1679.31
1987-07-07,1724.49
1987-07-08,1694.57
1987-07-09,1731.27
1987-07-10,1671.3
1987-07-13,1704.66
1987-07-14,1692.76
1987-07-15,1689.94
1987-07-16,1662.19
1987-07-17,1653.33
1987-07-20,1652.75
1987-07-21,1638.96
1987-07-22,1634.02
1987-07-23,1695.19
1987-07-24,1716.01
