"date","stock_bond_corr"
1962-02-16,-0.325814778799744
1962-02-19,-0.295996543735013
1962-02-20,-0.317829373479506
1962-02-21,-0.288036094736125
1962-02-22,-0.288036094736125
1962-02-23,-0.288036094736125
1962-02-26,-0.255935680867885
1962-02-27,-0.248871644168077
1962-02-28,-0.250975116443063
1962-03-01,-0.263007292667794
1962-03-02,-0.263081697331641
1962-03-05,-0.268608016102704
1962-03-06,-0.273785141423993
1962-03-07,-0.271037396312155
1962-03-08,-0.292422644263489
1962-03-09,-0.301999046646403
1962-03-12,-0.298842106249207
1962-03-13,-0.306326763079528
1962-03-14,-0.291459671896273
1962-03-15,-0.270917243316917
1962-03-16,-0.271031350758076
1962-03-19,-0.258624982850469
1962-03-20,-0.246592637633234
1962-03-21,-0.216599232103542
1962-03-22,-0.20620387553669
1962-03-23,-0.192853420425514
1962-03-26,-0.216680678327975
1962-03-27,-0.220782005212098
1962-03-28,-0.216482642594417
1962-03-29,-0.216550549302494
1962-03-30,-0.16937282804273
1962-03-31,-0.16937282804273
1962-04-02,-0.170048618633258
1962-04-03,-0.131707429025631
1962-04-04,-0.097443461499172
1962-04-05,-0.0321351126962023
1962-04-06,-0.0296387476855971
1962-04-09,-0.0515395738455845
1962-04-10,-0.0495432161442169
1962-04-11,-0.0578088363236888
1962-04-12,-0.046686636891961
1962-04-13,-0.049707392504705
1962-04-16,-0.0410828169222561
1962-04-17,-0.0451848628532004
1962-04-18,-0.0498057274266933
1962-04-19,-0.0412470901145157
1962-04-20,-0.0412470901145157
1962-04-23,-0.0412470901145157
1962-04-24,-0.0420705388450283
1962-04-25,-0.056153641611261
1962-04-26,-0.0677651265295712
1962-04-27,-0.0336094770505035
1962-04-30,-0.0360511141372942
1962-05-01,-0.0414983493701221
1962-05-02,-0.0343324973600257
1962-05-03,-0.0314354252311784
1962-05-04,-0.0357599519541614
1962-05-07,-0.033805448407183
1962-05-08,-0.0241503522253901
1962-05-09,0.00961401866121805
1962-05-10,-0.00177512089675382
1962-05-11,0.00667618633331808
1962-05-14,0.0303742243534468
1962-05-15,0.064141100039879
1962-05-16,0.0636246638760853
1962-05-17,0.0592199151677641
1962-05-18,0.0539395574748193
1962-05-21,0.0516424000329293
1962-05-22,0.0608776060329513
1962-05-23,0.0819037699640741
1962-05-24,0.0851656964293204
1962-05-25,0.103129493460391
1962-05-28,0.0984028459204467
1962-05-29,0.131403834936754
1962-05-30,0.131403834936754
1962-05-31,0.131403834936754
1962-06-01,0.132043574370337
1962-06-04,0.13665492571478
1962-06-05,0.139723793302886
1962-06-06,0.139430858555293
1962-06-07,0.137337932592821
1962-06-08,0.136289803221048
1962-06-11,0.131593398833259
1962-06-12,0.135969763134923
1962-06-13,0.129259382372402
1962-06-14,0.104300318688811
1962-06-15,0.0916390402016651
1962-06-18,0.0909940267988214
1962-06-19,0.0896762174254123
1962-06-20,0.0926928019240415
1962-06-21,0.10376057159331
1962-06-22,0.102291151575999
1962-06-25,0.0971216906068449
1962-06-26,0.0969679697031153
1962-06-27,0.0942389071948523
1962-06-28,0.114561538991273
1962-06-29,0.119582510714373
1962-06-30,0.119582510714373
1962-07-02,0.118325464342639
1962-07-03,0.117998467038439
1962-07-04,0.117998467038439
1962-07-05,0.117998467038439
1962-07-06,0.111385173844271
1962-07-09,0.118525340270117
1962-07-10,0.104953806676767
1962-07-11,0.0940005317928235
1962-07-12,0.0960301296796593
1962-07-13,0.0959926961818126
1962-07-16,0.0964705415011934
1962-07-17,0.0854599013488991
1962-07-18,0.0875931568063081
1962-07-19,0.0875882856880041
1962-07-20,0.0848702642040262
1962-07-23,0.0843281084395135
1962-07-24,0.0823521115626432
1962-07-25,0.0833786678217962
1962-07-26,0.081148069164796
1962-07-27,0.0837428921324314
1962-07-30,0.0871394334245666
1962-07-31,0.0894485211880095
1962-08-01,0.0911388328829186
1962-08-02,0.0856707778119211
1962-08-03,0.0867708662109604
1962-08-06,0.0866544911377601
1962-08-07,0.0849902978570023
1962-08-08,0.0837253289071838
1962-08-09,0.0829568430805381
1962-08-10,0.0829882412555748
1962-08-13,0.0830192000099715
1962-08-14,0.079388523832867
1962-08-15,0.0793979005555462
1962-08-16,0.0785655601397837
1962-08-17,0.0786138564633644
1962-08-20,0.0742784537319857
1962-08-21,0.0741906632636764
1962-08-22,0.0775947328712096
1962-08-23,0.0775930071411096
1962-08-24,0.0775750679020834
1962-08-27,0.0775910524253461
1962-08-28,0.0738153167999648
1962-08-29,0.0737961411918642
1962-08-30,0.0733081004086482
1962-08-31,0.0757182601437101
1962-09-03,0.0757182601437101
1962-09-04,0.0757182601437101
1962-09-05,0.0737396277085339
1962-09-06,0.0765276323011187
1962-09-07,0.0771987733446885
1962-09-10,0.0764839968698011
1962-09-11,0.0765050799201867
1962-09-12,0.0765172109128744
1962-09-13,0.0767638807207048
1962-09-14,0.0767888159433111
1962-09-17,0.0768134839517761
1962-09-18,0.0766769572990888
1962-09-19,0.0765605043492216
1962-09-20,0.0779382867142054
1962-09-21,0.0773926158711982
1962-09-24,0.0811464741399701
1962-09-25,0.0791893796545129
1962-09-26,0.0820422171534123
1962-09-27,0.0818834136610521
1962-09-28,0.0790725555604108
1962-09-30,0.0790725555604108
1962-10-01,0.0817911631754248
1962-10-02,0.0784594603732802
1962-10-03,0.0770060464759415
1962-10-04,0.0770681338573836
1962-10-05,0.080971327250164
1962-10-08,0.0812572332019104
1962-10-09,0.0828838551783013
1962-10-10,0.0816827668182415
1962-10-11,0.0810255507856069
1962-10-12,0.0810255507856069
1962-10-15,0.0810255507856069
1962-10-16,0.0809783324283288
1962-10-17,0.080931324266301
1962-10-18,0.0847628846601327
1962-10-19,0.0955514567508027
1962-10-22,0.0868984590947387
1962-10-23,0.065603536231921
1962-10-24,0.0646236698448177
1962-10-25,0.0643995692682307
1962-10-26,0.0646522375716599
1962-10-29,0.0589162313157298
1962-10-30,0.0589075311027847
1962-10-31,0.0589227939377484
1962-11-01,0.0589731660002387
1962-11-02,0.0561434118569267
1962-11-05,0.0562157876294858
1962-11-06,0.0562157876294858
