"date","wasserstein_hmm","equal_weight","sixty_forty","spx_bh"
2023-06-05,0.000163546274999532,1.28884875414848e-05,-0.00132668647407961,-0.00200559149065782
2023-06-06,0.00135250620331138,0.000692117055474561,0.00165730328470488,0.00235113023385125
2023-06-07,-0.00425899851578771,-0.00171075586738381,-0.00521957917556897,-0.003819293926421
2023-06-08,0.00370084919952557,-0.000315411410275246,0.00638312063983655,0.00616957160752385
2023-06-09,-0.0011122580203022,-0.00207324430597229,-0.000753093159126195,0.00114740102305078
2023-06-12,-7.13469795194794e-05,-0.00665754696729746,0.00622632281953379,0.00927797498175487
2023-06-13,0.0015784345868693,0.00405434525545276,0.00129262420719627,0.00690857072590845
2023-06-14,-0.00043758060726887,-0.00144453962037918,0.0010303952097086,0.000819089980126364
2023-06-15,0.0086784038480607,0.00928090785509204,0.0103583212453458,0.01210458049359
2023-06-16,-0.00103460708640753,0.00138952225765765,-0.00393767273999046,-0.00367837646775193
2023-06-20,-0.00363181658290529,-0.00320559838432768,-0.00165191428078728,-0.0047463538352357
2023-06-21,-0.00127904096444717,0.00139474402107256,-0.00278518103605556,-0.00525908636692485
2023-06-22,-0.00471826017190345,-0.00957957958914717,-4.63630796843978e-05,0.00370393038733496
2023-06-23,-0.000750568674679125,0.000579482214340743,-0.0029617694094064,-0.00768828805650301
2023-06-26,-0.000508362802912264,0.000721090054549212,-0.00171057515141655,-0.00449693436313225
2023-06-27,0.00016875351628692,-0.00444944054504992,0.00543483208618234,0.0113907335241823
2023-06-28,0.00238547179180572,0.00512920090963451,0.00139246914848492,-0.000354139388390351
2023-06-29,0.000587742167606385,0.000860528109894698,-0.00145028880580789,0.00446356811449
2023-06-30,0.00647460903776784,0.00522396077598275,0.00818710824812214,0.0121943502618862
2023-07-03,-0.000207243754471706,-0.000704008896565966,-0.00103677733417058,0.00116999309267207
2023-07-05,-0.000178464744758128,0.00272514617033224,-0.00310447144970922,-0.00197025809761264
2023-07-06,-0.005690694370497,-0.00490807602760563,-0.00805318711387137,-0.00795406117589437
2023-07-07,0.000975922496844943,0.00330301296486377,-0.0022286526385308,-0.00286921279573349
2023-07-10,0.0012835882643945,0.000230217715182146,0.00350810008364277,0.00240213861062699
2023-07-11,0.0051575349964092,0.00651043746144255,0.00487224045291725,0.00671958399825456
2023-07-12,0.00687456711087512,0.00623680913283202,0.00831561662978792,0.00738390523538968
2023-07-13,0.00526363231890159,0.00567550272832058,0.00837297551148239,0.00843448298962635
2023-07-14,-0.00371921110548582,-0.0062183449446584,-0.00259898854803637,-0.00102493219690736
2023-07-17,0.000619957487404588,-0.00162904915316462,0.00297117225037695,0.00384796957442113
2023-07-18,0.00712444618142527,0.00817199584690585,0.0047101225742086,0.0070920669414285
2023-07-19,0.00177180100392619,0.00118341354841647,0.00277435417609908,0.00235513482723348
2023-07-20,-0.00384553752354354,-0.0017510894442256,-0.00725149569409815,-0.00677982739625804
2023-07-21,0.00111857348872763,0.00293375788327479,0.00052639443581981,0.000324042014613113
2023-07-24,0.00254254574487491,0.0050520634798481,0.00146045044476679,0.00402603849687466
2023-07-25,0.00229944660130429,0.00240955452865377,0.000937465611903932,0.00281071957583912
2023-07-26,0.000703479818939757,-0.000353442083746458,0.00127889897269995,-0.000155450978676086
2023-07-27,-0.00575951714753813,-0.00262817835111182,-0.00824979851652046,-0.00644539305519665
2023-07-28,0.00650567964826821,0.00576091862141963,0.00719648248102445,0.0098293758104333
2023-07-31,0.00284590934787332,0.00441122223296704,0.00138224701870264,0.00146763543656903
2023-08-01,-0.00399987717240554,-0.00344511592438082,-0.00394526916375355,-0.00266864530768274
2023-08-02,-0.00766784172763143,-0.00753781402194429,-0.0091630924813149,-0.0139362006383354
2023-08-03,-0.000618883122863022,0.00239075629837249,-0.00449677322416697,-0.00255122545029174
2023-08-04,0.000925052697812882,0.00255748878471076,0.00104206446539017,-0.00531416937393914
2023-08-07,0.00240593414667047,0.0010792470833076,0.00442115475772766,0.00898361896485689
2023-08-08,-0.00107960795277637,0.000457691190039977,-0.00051653097313924,-0.00422720510005803
2023-08-09,-0.00225827804979624,0.000688805364607692,-0.00398647050650247,-0.00706361910204656
2023-08-10,-0.00234853574527007,-0.00376086828044748,-0.00292347074258821,0.000250682521080847
2023-08-11,-0.00103760808838164,-0.000718396408081556,-0.00276123732923494,-0.00107026489922823
2023-08-14,0.00109235338562234,-0.000271082467826833,0.00280249485519235,0.00573400487941811
2023-08-15,-0.00644129860185741,-0.00641964506177706,-0.00773767548301265,-0.0116181393960968
2023-08-16,-0.00579972635607414,-0.00635993642082076,-0.00608867316751294,-0.00758408179262382
2023-08-17,-0.00273642812882826,-0.000480857523087153,-0.00515981777917176,-0.00774281137752908
2023-08-18,0.0022882132975595,0.00298091471604582,0.0011093578055533,-0.000148717883957872
2023-08-21,0.000846672739457671,-0.000111733435353223,0.00162707385060301,0.00685563485980012
2023-08-22,-0.000429666674992942,-0.000274414925542565,-0.00149696455568353,-0.00278133104654543
2023-08-23,0.00512865005323246,0.00312178938031042,0.0109084751781054,0.0109843307107909
2023-08-24,-0.00338203719879979,-0.00176602616319332,-0.00962053040504038,-0.0135493539840077
2023-08-25,0.00388957329324521,0.00418390796411599,0.00388917776953548,0.00669550106029604
2023-08-28,0.00264066350432095,0.00192122841134683,0.00485547425563837,0.00624507859419587
2023-08-29,0.00868069120105087,0.00763598613957361,0.0114849749267609,0.0144040687120572
2023-08-30,0.00205794434920458,0.00182151159394124,0.00225314437026434,0.00382585418119241
2023-08-31,0.00300038976235408,0.00448571655429486,-0.000156371039785696,-0.00159821297433993
2023-09-01,0.00394858436075511,0.00537104700840176,-0.00137408403636918,0.00179751276551876
2023-09-05,-0.00186706039487785,-0.000494724629690602,-0.00495513883797827,-0.00420299782138223
2023-09-06,-0.00207886798480735,-0.000809021844564573,-0.0052267587039097,-0.00699601449143117
2023-09-07,-0.000734995909306223,-0.000722678883270245,-0.000558271414111999,-0.00321643311573361
2023-09-08,0.00133222574378028,0.00149596941521937,0.000940891499784158,0.0014256060622575
2023-09-11,0.00144117287596713,0.000589743097369233,0.00333554720762024,0.00670095149813577
2023-09-12,0.00013945668976884,0.00180989195082706,-0.00287057637499082,-0.00571216902300442
2023-09-13,0.000129912029715055,0.000107382403338807,0.00121488834141275,0.00124086211753394
2023-09-14,0.00563812271490902,0.00613999583342473,0.00413813252625488,0.0083945855336669
2023-09-15,-0.0024570209014045,-0.00146971869461261,-0.0085846365016895,-0.012234145842493
2023-09-18,0.00173986941937004,0.00156464646664887,0.000819180955197751,0.000721027694174481
2023-09-19,-0.00133963897163427,-0.00109248688946,-0.00275417401301539,-0.00215332736153329
2023-09-20,-0.00489508751496266,-0.00491930935191238,-0.00596525677162418,-0.00943920420629141
2023-09-21,-0.00725679095814969,-0.00544691521197107,-0.0129083239659398,-0.0165369183184882
2023-09-22,0.0015461503251846,0.00198112447027592,0.000181908339259351,-0.00229823740276025
2023-09-25,-0.00126872989629057,-0.00155913295407499,-0.000544518794361437,0.00401499420380702
2023-09-26,-0.00483183683490824,-0.00281707194706087,-0.00903720856611514,-0.0148441654822644
2023-09-27,0.000697502350008184,0.00253451254442423,-0.00165424754968235,0.000229287772294029
2023-09-28,-0.00205434054009896,-0.00358895382610065,0.00461898169288091,0.00587587714300142
2023-09-29,-0.00423007792117505,-0.00417851103627394,-0.00154056135275091,-0.00271325964829039
2023-10-02,-0.0053873734954388,-0.00585194861455989,-0.00321016137806645,7.93644061527488e-05
2023-10-03,-0.00510767300571049,-0.00345275830305605,-0.0116283286618842,-0.0138393958634477
2023-10-04,-0.00501663192353573,-0.00891022465706666,0.00737541991571824,0.0080770476078289
2023-10-05,-0.00403517504495787,-0.00520105140862306,-3.16661732867374e-05,-0.00130488114699645
2023-10-06,0.00347473470573408,0.00225965208970251,0.00470062188662368,0.0117456420939615
2023-10-09,0.013955812642095,0.0152240792511445,0.00884519046539687,0.00628406811938831
2023-10-10,-0.000392235674249212,-0.0012555256577957,0.00232665793117803,0.00519447609998558
2023-10-11,0.00194169903795021,0.00067741696384882,0.0047611185083742,0.00428381950009538
2023-10-12,-0.00354910183769957,-0.00277916947442103,-0.0076234939099102,-0.00626602494065587
2023-10-13,0.013657032337646,0.0159810513369323,-0.000468059390390252,-0.00503149566021932
2023-10-16,-0.000927768592782621,-0.00245045003979971,0.00394870627938921,0.0105386423025902
2023-10-17,-0.000678282726272829,-0.000510947311308385,-0.00400345263944466,-9.82498794446229e-05
2023-10-18,0.000881758853547769,0.00259683615273012,-0.00996916123272058,-0.0134904082511511
2023-10-19,0.00217845119789848,0.00370362801146316,-0.00708508741243215,-0.00851903232805817
2023-10-20,-0.0036482449256046,-0.00316893090211225,-0.00526758603387343,-0.012665149196156
2023-10-23,-0.00440306405458116,-0.0056220192076716,0.000861123059682356,-0.00168699206543543
2023-10-24,-0.000367502356354233,-0.00210800508725457,0.00505520145710889,0.00723952351962964
2023-10-25,-0.0016622789192305,0.000662637840494362,-0.0121908634585846,-0.0144434346572382
2023-10-26,-0.00422812709426693,-0.00412283761918495,-0.00410602267102291,-0.0119030812055847
2023-10-27,0.00403829502316229,0.00518198944174797,-0.00226502866054332,-0.00481183857862177
2023-10-30,-0.00337866418482351,-0.00619763201695962,0.00582883848336486,0.0119384743002868
2023-10-31,-0.000827299911634109,-0.00175210614460326,0.00302496589050598,0.00645408482168719
2023-11-01,0.00402241375498614,0.00309493547594757,0.0108513641348324,0.0104511949901926
2023-11-02,0.0093213014309988,0.00842461856213204,0.0136808662302037,0.0186829389340861
2023-11-03,0.00101407617366378,-0.00127472865422833,0.00867742158894629,0.00934988354455157
2023-11-06,-0.00208298897742845,-0.00201174353841669,-0.00126953675744446,0.0017514577241009
2023-11-07,-0.00465876661875442,-0.00693207425092028,0.0039784441983695,0.00283609340171154
2023-11-08,-0.00452785572435321,-0.00559957279579502,0.00221478244913627,0.00100441103242055
2023-11-09,-0.00256457814101657,-0.00177313063368514,-0.00884666058381853,-0.00811669069906884
2023-11-10,0.00527136794425988,0.00532762570060257,0.00973635107492292,0.0154957592707721
2023-11-13,0.00295970254628816,0.00368940256918311,-0.000721063921326603,-0.000836188441370567
2023-11-14,0.00745027373891102,0.00472794764173958,0.0173057565073197,0.0188953704745778
2023-11-15,-0.00376170536101486,-0.00477216984622864,-0.00216825035829658,0.00159573820784686
2023-11-16,-0.00244046467798225,-0.00532655178375831,0.0037097998095561,0.00118971939671297
2023-11-17,0.00580479305171172,0.00705695623805305,0.00102818107515184,0.001281227937179
2023-11-20,0.00472319446269481,0.0051455048323386,0.00497942101343192,0.00736310379379468
