"strategy","ann_mean","ann_vol","sharpe","sortino","max_dd"
"Wasserstein HMM + MVO",0.112596179624675,0.0863868064258819,1.30339555637214,1.92870901192496,-0.0831782646105862
"Equal Weight (20%)",0.116202108428611,0.0813739496668788,1.42800133094569,2.14768804487276,-0.0802339290685191
"60/40 Stocks/Bonds",0.122055518152316,0.0955299014767836,1.27766820927769,1.88621459299751,-0.116829602330227
"SPX Buy & Hold",0.182703848188628,0.150121887560804,1.21703671035063,1.76678405221354,-0.209514428495481
