"asset","avg_weight","weight_vol","time_gt_10","avg_abs_dw"
"SPX",0.243101461000478,0.0661155013814462,0.978361669242658,0.00361588210546823
"BOND",0.187433971461639,0.0482754050052103,0.979907264296754,0.00442319609667429
"GOLD",0.243922309316056,0.0616479161943521,1,0.00253346772837662
"OIL",0.164141684357275,0.0901161254792681,0.778979907264297,0.00746160910799106
"USD",0.161400573864553,0.0512334131071609,0.833075734157651,0.00316965391256918
