date,pnl_sixty_forty
2005-01-03,-0.004891493537530778
2005-01-04,-0.009046984751893916
2005-01-05,-0.001948778845978971
2005-01-06,0.0022559451468088907
2005-01-07,-0.0010764031963597987
2005-01-10,0.0023085460378871048
2005-01-11,-0.002594337323976425
2005-01-12,0.002741480175939159
2005-01-13,-0.0036387190109152803
2005-01-14,0.0028651260367503536
2005-01-17,4.60699597095271e-05
2005-01-18,0.006426246516453915
2005-01-19,-0.005382516752312405
2005-01-20,-0.003963153185605428
2005-01-21,-0.0029846547238156157
2005-01-24,-0.0015222399435913304
2005-01-25,0.0004591892738760703
2005-01-26,0.0028076388936634443
2005-01-27,-0.000187732531860263
2005-01-28,0.0006163180165621898
2005-01-31,0.005284566958556703
2005-02-01,0.004074650371249078
2005-02-02,0.0017811029334229287
2005-02-03,-0.0022769925245642144
2005-02-04,0.009545242690376553
2005-02-07,1.7948163994674447e-05
2005-02-08,0.0008670480646228995
2005-02-09,-0.0033613623406358426
2005-02-10,-0.0003518213141948225
2005-02-11,0.003270901838807915
2005-02-14,0.001289331960487772
2005-02-15,0.0012635814727943286
2005-02-16,-0.0018252689586926607
2005-02-17,-0.005665767188236082
2005-02-18,-0.0017247388795897935
2005-02-21,4.6079317106872963e-05
2005-02-22,-0.009603526699950925
2005-02-23,0.00397422470085349
2005-02-24,0.004315944056827447
2005-02-25,0.006021884681726419
2005-02-28,-0.006531177484700557
2005-03-01,0.002980846237496237
2005-03-02,-0.0003115378859577689
2005-03-03,4.535511002075053e-05
2005-03-04,0.00819831577581507
2005-03-07,0.0019225462449359298
2005-03-08,-0.00514831459964089
2005-03-09,-0.010621341559059694
2005-03-10,0.0030386872049488643
2005-03-11,-0.007007731290135944
2005-03-14,0.004059882160101935
2005-03-15,-0.0052816034657354296
2005-03-16,-0.004042013216993289
2005-03-17,0.002632310910625613
2005-03-18,-0.0013931769289063922
2005-03-21,-0.0033711935757386514
2005-03-22,-0.008812134814600192
2005-03-23,0.0005638789448601855
2005-03-24,3.252486633584803e-05
2005-03-25,0.00013889879440256436
2005-03-28,0.00029957732023095924
2005-03-29,-0.0033532853710694253
2005-03-30,0.009295430643416402
2005-03-31,0.0016404265368857199
2005-04-01,-0.002419028801409872
2005-04-04,0.0015513698565941423
2005-04-05,0.0022925210030521727
2005-04-06,0.002501437779888782
2005-04-07,0.002553935580420585
2005-04-08,-0.005456272956511476
2005-04-11,0.0014048523904119038
2005-04-12,0.006025068442839299
2005-04-13,-0.00740640586467709
2005-04-14,-0.005539003479616688
2005-04-15,-0.00724358512870289
2005-04-18,0.002630408894125402
2005-04-19,0.005047647612983042
2005-04-20,-0.008277182325711861
2005-04-21,0.009047987719003635
2005-04-22,-0.0025353050181692533
2005-04-25,0.00528326907508756
2005-04-26,-0.005739973978701051
2005-04-27,0.003310734316586128
2005-04-28,-0.0047431043661115176
2005-04-29,0.006315748467974736
2005-05-02,0.0030445528659310385
2005-05-03,-0.0007973831890845772
2005-05-04,0.008061530144811613
2005-05-05,-0.0006978013104557588
2005-05-06,-0.0037977422147541517
2005-05-09,0.003457516375145353
2005-05-10,-0.004565818965472701
2005-05-11,0.0030730930262334866
