,pnl
2005-01-03,-0.005329907607386631
2005-01-04,-0.006932437957423133
2005-01-05,-0.0011987203397563313
2005-01-06,0.009789867442016022
2005-01-07,-0.0009911538844501657
2005-01-10,0.006975482515767954
2005-01-11,-0.0070854431041053375
2005-01-12,0.0037799390969366384
2005-01-13,0.002260202661252763
2005-01-14,0.0014673543629895626
2005-01-17,-0.0005359024751332502
2005-01-18,0.006453561411547997
2005-01-19,-0.005598333288396625
2005-01-20,-0.007901678835666639
2005-01-21,0.0027926673257729798
2005-01-24,-0.0022019155232199652
2005-01-25,0.0023183146946622046
2005-01-26,0.0024059431024652214
2005-01-27,0.0017441648265340002
2005-01-28,-0.004852951564447398
2005-01-31,8.424179925992255e-05
2005-02-01,0.0025268351916959333
2005-02-02,-0.002784550667400148
2005-02-03,-0.005039527099107813
2005-02-04,0.005978167692786156
2005-02-07,-0.0005579703024841344
2005-02-08,0.001415722125047697
2005-02-09,0.0006548340387546928
2005-02-10,0.0019774665049110294
2005-02-11,0.0008163162810866186
2005-02-14,0.001827631038471207
2005-02-15,0.00044967197971796855
2005-02-16,-0.0013630593293338141
2005-02-17,-0.0019475072360421938
2005-02-18,-0.0018955389233100467
2005-02-21,0.0007065905064321984
2005-02-22,0.0017665487752235379
2005-02-23,0.0033756414768282552
2005-02-24,0.003479131529499812
2005-02-25,0.004482646881989231
2005-02-28,-0.005046272260583115
2005-03-01,0.001036484589916075
2005-03-02,0.0012892698643407854
2005-03-03,0.004387842169742887
2005-03-04,0.004034267391701769
2005-03-07,0.000544436602426429
2005-03-08,0.00024692907310432696
2005-03-09,-0.006643715837733688
2005-03-10,0.0007472038986283875
2005-03-11,-0.004392411135449926
2005-03-14,0.0028618479075101116
2005-03-15,-0.0019259868268113052
2005-03-16,0.0016530973851781338
2005-03-17,0.005484749780221054
2005-03-18,-0.001771604435391349
2005-03-21,-0.0031820623155005513
2005-03-22,-0.00763744583346848
2005-03-23,-0.010007431831032296
2005-03-24,0.002950716473911732
2005-03-25,0.0003266812834789935
2005-03-28,-0.0028529117089074957
2005-03-29,-0.0004945876835422491
2005-03-30,0.0022144968573571686
2005-03-31,0.01015011931974632
2005-04-01,0.002970126538276756
2005-04-04,0.004613073889104861
2005-04-05,-0.0030622124348966603
2005-04-06,0.0012698091870322102
2005-04-07,-0.0043657720767582
2005-04-08,-0.00440164690929675
2005-04-11,0.0008812062258444985
2005-04-12,0.006058325114321492
2005-04-13,-0.0077845065827454
2005-04-14,-0.0005207721680445909
2005-04-15,-0.0008164540257780328
2005-04-18,-0.00040576353402385645
2005-04-19,0.010476010453704079
2005-04-20,-0.0008901970944345011
2005-04-21,8.816288698912378e-05
2005-04-22,0.005908186769798726
2005-04-25,0.0008454814070464014
2005-04-26,-0.0036423214970126255
2005-04-27,-0.001695875143045396
2005-04-28,-0.0007414857336378289
2005-04-29,0.0013494086339367736
2005-05-02,0.0014057871350006417
2005-05-03,-0.0048021901812898594
2005-05-04,0.006052988792879023
2005-05-05,-0.0006433509812416393
2005-05-06,-0.0058685372283807085
2005-05-09,0.0008053258987108568
2005-05-10,0.003247590470532095
2005-05-11,-0.002931912211155612
2005-05-12,-0.00606996422007092
2005-05-13,-0.0006720328364394016
2005-05-16,0.00046526767463036145
2005-05-17,0.004318112881271407
2005-05-18,0.0047478962827296415
2005-05-19,-0.0023550686983387814
2005-05-20,-0.0013882453686209898
2005-05-23,0.004432246688752257
2005-05-24,0.0018537210786965532
2005-05-25,0.0034819797475463005
2005-05-26,0.0020429179827057445
2005-05-27,0.00025415808813955673
2005-05-30,-0.00039610884951931475
2005-05-31,0.001980410111089299
2005-06-01,0.0095034726286337
2005-06-02,0.004531723302000841
2005-06-03,-0.0036995003361998662
2005-06-06,0.003469862482894672
2005-06-07,-0.00035750009966954775
2005-06-08,-0.0011547992045038793
2005-06-09,-0.0016211919911847546
2005-06-10,-0.0019670803957384246
2005-06-13,-0.0011256302214583838
2005-06-14,0.0023057115063954644
2005-06-15,0.002895698539255937
2005-06-16,0.004092273500652905
2005-06-17,0.008009852357196914
2005-06-20,-0.0008080505200353692
2005-06-21,0.0027823499192199037
2005-06-22,0.0019696662913446165
2005-06-23,8.260009785582604e-05
2005-06-24,0.0011078921466062097
2005-06-27,0.0035953439871099883
2005-06-28,-0.003624334761307668
2005-06-29,-0.0068192597052931505
2005-06-30,0.000358448359494404
2005-07-01,-0.0024227728133863298
2005-07-04,0.0018191083568507163
2005-07-05,-0.0003801177204275615
2005-07-06,0.001316821397083505
2005-07-07,0.0001603294433197319
2005-07-08,0.002656649958083153
2005-07-11,-0.004869528111741224
2005-07-12,0.005650654084711892
2005-07-13,-0.0026921455091963144
2005-07-14,-0.004512504021654485
