date,SPX,BOND,GOLD,OIL,USD
1990-01-03,-0.002588908120090494,-0.002890697586542146,-0.011843404151379744,0.06615867025107613,0.007095417765857981
1990-01-04,-0.008650306588847911,0.0005254204561104814,0.01084089780175379,-0.006644542718668767,-0.0031917042853848443
1990-01-05,-0.009804138598848766,-0.00012917615770557944,0.018139396604569313,0.02761516703297362,-0.0024004812487117277
1990-01-08,0.004504320707883203,-0.002112242736175496,-0.010520550033525033,-0.07867457064644867,-0.004516492848408937
1990-01-09,-0.01185666638695082,0.0008368093037693924,0.00904198889674035,-0.01650591588229089,0.0009049319404930145
1990-01-10,-0.0066290974972913475,-9.486070574826755e-05,0.013958840585487131,0.04281714980657192,-0.0018106835245808028
1990-01-11,0.00350655682365808,-0.0019682326795997795,0.004852023104528591,-0.0031941619673996335,0.00160965829523807
1990-01-12,-0.02498459564881994,-0.002162611892935651,0.0043467829852144035,0.011361176509177895,-0.0009051139552900267
1990-01-15,-0.008656783708222981,-0.0013431719069405545,0.000481811620980821,-0.02424083937283905,-0.00040253598208828123
1990-01-16,0.011066140224280652,-0.005757038250411739,-0.015045175808876543,-0.021053409197832718,0.006521216990265977
1990-01-17,-0.009879900464774494,0.0008543432538345996,0.010216581202681319,-0.03365702300347584,-0.0022024235552002835
1990-01-18,0.002338697612682239,-0.00673244245446547,-0.0061904670592820565,0.016008103182270528,0.003601444468906756
1990-01-19,0.002834619667538618,0.005084126372120856,-0.0018280426759096358,0.023776678802362117,0.0033894958180900048
1990-01-22,-0.02619898026509393,-0.0023069673624229736,-0.0036661412197815935,-0.018975901459005406,0.0012929535840706663
1990-01-23,0.003716072494878375,-0.005799610021216317,0.011079433966215468,-0.031625111834784114,-0.001591565043015386
1990-01-24,-0.004079356587030958,-9.67990320850376e-05,0.01071847438637441,-0.002474636254190976,-0.006692328828052041
1990-01-25,-0.012737473000481891,-0.0029612938512588727,0.0008381728324033944,0.018168926016780773,0.002702298596850561
1990-01-26,-0.0008590538664154934,-0.0070150863414717435,0.005371543801910406,0.0038853861409164914,-0.0015003753752340643
1990-01-29,-0.0018433184942887593,0.00022218963532338876,-0.0029806281381379307,0.004835599364528154,-0.00552071665668219
1990-01-30,-0.006849975872735392,0.002148247608242393,-0.0003582731273761297,0.0,0.0029147213961540075
1990-01-31,0.01871048049980928,0.005976553697584208,-0.01722830396017816,-0.011157040303325871,0.0011033653759930928
1990-02-01,-0.0008816332065126886,0.00053755150993684,0.014956255150193165,0.003894844261540964,-0.0005013788021805965
1990-02-02,0.006457405227765278,-0.004759874226961003,0.0010768771606048944,0.007262196041784907,0.001503382894031624
1990-02-05,0.002806405269951462,-0.001381864141730027,0.010942069210224226,0.0,-0.00020032051348994884
1990-02-06,-0.006621239288723935,-0.003783308242685024,-0.003436225906172652,-0.006290850652153068,-0.006330725057506648
1990-02-07,0.01233038941124942,0.002790021713169999,-0.008702445098141887,-0.022086787402843644,0.0017122429524443206
1990-02-08,-0.0023698470691346785,0.005980254732198986,0.0026306364566686113,-0.0049751346401136765,0.004718647377845997
1990-02-09,0.0019802580805849956,0.00890385566924845,-0.007070554952060881,-0.015075662405447332,-0.00030052592262297395
1990-02-12,-0.010667571402968257,-0.005795186325921797,0.008502536103679681,-0.0035505997230234065,0.00030052592262297395
1990-02-13,0.0028437471894529054,0.001177535571970978,-0.0035838050542515987,0.01762825805361956,0.0022011014389411443
1990-02-14,0.002986292432408888,0.0002195360772452304,-0.00287632029559326,-0.021701583441255057,-0.0014001402427368248
1990-02-15,0.008637030749947705,-0.002954601563746273,-0.00795280730918524,0.015190165493975005,0.0010003001734357753
1990-02-16,-0.006500824260094795,2.641903227296183e-05,0.009511841024258061,-0.0010055305020189031,0.002496381545076254
1990-02-19,0.0,0.00022013146339805445,-0.002039225801130584,0.0035149421074445186,-0.005299747417857326
1990-02-20,-0.014318175320153337,-0.013874520542652036,0.0064632181902117836,-0.013626251711765125,0.0013025401370665435
1990-02-21,-0.0009761157472105708,0.00022315750102652743,-0.004304167333518905,-0.009188426054406396,-0.0013025401370665435
1990-02-22,-0.006030292085104527,0.007611022878924345,-0.001918925990609388,-0.007722046093909807,-0.00020054146261916372
1990-02-23,-0.004770340661183425,-0.0002923445611511255,-0.0038489342680758654,-0.029899945695674113,0.0041030830643542515
1990-02-26,0.013847836249921919,0.00565452453756965,-0.016035329013291744,0.006369448285479695,0.00418577449894908
1990-02-27,0.004826015163915898,0.003078847249532224,0.0002448879649801228,0.01730963753509185,0.0014906835058559054
1990-02-28,0.004923365680086889,-0.006467723692480831,-0.004663157302644549,-0.0015612805669524832,-0.0009935420588780275
1990-03-01,0.002557815516667894,-0.004136904466156999,0.0004918839253127416,0.006748014186503504,0.004957868360786932
1990-03-02,0.008379770110657603,0.003517901041872662,-0.008519095907860041,-0.007790223764947424,0.0014825799602231626
1990-03-05,-0.005378927623497454,-0.0060243016713883435,0.0026004596414068715,-0.001565353828637317,-0.0021752035470079534
1990-03-06,0.012476526724256587,0.004935695201288226,-0.001361302109859075,0.001565353828637317,-0.0004950250088713304
1990-03-07,-0.0029042220507875527,-0.001018875869464253,-0.006086597263995408,-0.012064137926856677,0.0041506137263134235
1990-03-08,0.009804868720451054,0.0021074823395643705,-0.003619800494972125,-0.011677415072438357,-0.0017767253711511444
1990-03-09,-0.006900646669663502,-0.004299366151041539,-0.00012505471159851567,-0.002673083655300612,0.00236826635261167
1990-03-12,0.0021874084985515907,0.00023095098612113674,-0.002253663154939467,-0.02055237295332102,0.0032472353257047004
1990-03-13,-0.007915021978361025,-0.005414709498866799,-0.0005015045240517324,0.012489980449892801,0.0028449521322313487
1990-03-14,0.002585939289352801,0.005885329082663482,-0.0017572491028712278,-0.010851978445654886,-0.0031397200046674456
1990-03-15,0.0035558753798108356,-0.001323626930507693,0.0006279435057203742,0.008150004361924701,0.0026497880954012842
1990-03-16,0.011294569903386176,0.006017681196991198,0.003634316927120018,-0.004338401598598107,-0.0035346134001432716
1990-03-19,0.0047268995576033035,-7.952672764943713e-05,0.003247161589291281,-0.03146823273989119,0.0003933523504349168
1990-03-20,-0.005721808049572452,0.003035198250258553,-0.02015181543730815,-0.004496915953624114,-0.0008852604719189472
1990-03-21,-0.005372016852620121,-0.0019488800111897575,-0.004079556907285564,0.0016887141643340264,0.005201955098044664
1990-03-22,-0.011992504150500238,0.002723848566879461,0.0066208543359582706,0.002808201789290088,0.0031277515479954943
1990-03-23,0.004547421309170296,0.001011838596902237,-0.013028668136231936,0.0028003378703194137,-0.0035194092441797054
1990-03-26,0.0012150849831655819,0.0020908196071536267,-0.05456018581896238,0.019385818945203415,0.002933700519899496
1990-03-27,0.01139705767784438,-0.0006935269634178454,-0.0020387366898484416,-0.007156650418791433,0.0016586178737760804
1990-03-28,0.0014630580517600578,0.0011585351094396401,0.004344291383062249,-0.003874901056554414,0.001753190280560979
1990-03-29,-0.0035442852609550712,-0.007218786024724366,0.005942751147080649,-0.007236324368516733,-0.0045842557727668876
1990-03-30,-0.002497320352444099,-0.0005479355340707315,-0.0029669610436373617,0.0027894020875787184,-0.002055096872436657
1990-04-02,-0.0036543716254797687,-0.00038903969579706654,0.00027008778017023616,0.012731973815045095,0.005178574277637793
1990-04-03,0.014479837946129948,0.0011666653259343462,0.012612538050843725,0.0010995053334168503,-0.002341692942438023
1990-04-04,-0.007448225690865229,0.006137878944186603,0.005319161477600254,-0.013831479148461945,-0.0007817844627631132
1990-04-05,-0.0010559972821386765,-0.0013177431605235768,-0.004519481307035278,-0.022536165022412735,-0.0015654048789084385
1990-04-06,-0.0019094907463168553,0.0010104250355551514,0.013760471160765064,-0.02597548640326064,-0.0013717423275814156
1990-04-09,0.003786048986492041,-0.001933879524306903,-0.012695224721817056,-0.03390155167568132,-0.0021594040585863894
1990-04-10,0.0020484614443931903,-0.00256375382154328,-0.0005324813757345837,-0.036972787910976024,0.002551522483373425
1990-04-11,-0.0004386029105827305,0.001472098711326808,-0.0019993342214821297,-0.0403512955235672,-0.002551522483373425
1990-04-12,0.00705274977748882,-0.0013221452407252698,0.0025318155972167133,0.032157111634531166,0.0004911832703502483
1990-04-13,0.0,0.000705361659335324,0.0,0.0,-9.821735508541707e-05
1990-04-16,0.0011609683779187918,-0.0019497740998897228,-0.00293216256993567,0.0,9.821735508541707e-05
1990-04-17,-0.00017405935467884603,-0.0044430749730315355,-0.00026698705271410716,-0.006349227678658753,0.0049963366244734075
1990-04-18,-0.01155542475660809,-0.006987650993750982,0.004529113909655713,-0.023849019470539634,-0.001956373508655851
1990-04-19,-0.0077488933867382315,-0.0003931133735965986,0.002919710103335582,0.050869199253394726,-0.006779020901092281
1990-04-20,-0.008823455589440421,-0.004666606465108636,-0.003451483580370507,0.013547005206145268,0.0022647835981546294
1990-04-23,-0.012219255267924112,-0.0019771022131296334,0.006494820365281484,0.03603993648319648,0.0022596659416089793
1990-04-24,-0.0020864524283394914,0.000557579042279599,-0.007559216421068271,-0.011869575555383705,0.001862836952245317
1990-04-25,0.005042357337406322,-0.001349515728737316,-0.011379733218801924,-0.015037877364540542,0.0002938151923590482
1990-04-26,0.002676894597971824,-0.0035805318855057777,-0.0020217002640467996,0.006042314455962927,-0.003531492781471357
1990-04-27,-0.01151017948930022,0.001985757361223861,0.0017523762656503905,-0.01029376331332088,0.001963479916102351
