,cum_pnl
2005-01-03,-0.007332388510453266
2005-01-04,-0.01245967982396463
2005-01-05,-0.013253071930711235
2005-01-06,-0.016318426590197395
2005-01-07,-0.018378085162880257
2005-01-10,-0.017592016860030823
2005-01-11,-0.01433615567252669
2005-01-12,-0.010769831620688872
2005-01-13,-0.010026488806649629
2005-01-14,-0.011782813070250892
2005-01-17,-0.012343616157591636
2005-01-18,-0.009805297092757207
2005-01-19,-0.010431811795606902
2005-01-20,-0.010369594575141066
2005-01-21,-0.0067997708788377865
2005-01-24,-0.005994056430230046
2005-01-25,-0.011863209792159136
2005-01-26,-0.008569211064978925
2005-01-27,-0.009487941332915688
2005-01-28,-0.005984492457834927
2005-01-31,-0.00765290539803168
2005-02-01,-0.008092003785311587
2005-02-02,-0.007313908778331102
2005-02-03,-0.01198288716971173
2005-02-04,-0.008182816645164175
2005-02-07,-0.007575071943436936
2005-02-08,-0.0076603540282090795
2005-02-09,-0.005599163694183895
2005-02-10,-0.006264004867106607
2005-02-11,-0.0045551414475051765
2005-02-14,0.0003194592391983081
2005-02-15,-0.0005867266132359201
2005-02-16,-0.00363651940909691
2005-02-17,-0.004348216358793937
2005-02-18,-0.007526323787990306
2005-02-21,-0.007491731229006701
2005-02-22,-0.0053256178806155045
2005-02-23,-0.0037789236897568437
2005-02-24,-0.0039002135051216845
2005-02-25,-0.0016773413352190532
2005-02-28,-0.005877925478463251
2005-03-01,-0.0076954799017023585
2005-03-02,-0.007785242554895402
2005-03-03,-0.008493141159486154
2005-03-04,-0.002603917379105378
2005-03-07,-0.0016746500323080564
2005-03-08,-0.0007709079178184507
2005-03-09,-0.0077059987303906684
2005-03-10,-0.004783677363293949
2005-03-11,-0.007229166522355975
2005-03-14,-0.007595017695434395
2005-03-15,-0.009370637028887293
2005-03-16,-0.006798349267900338
2005-03-17,-0.005710212053701254
2005-03-18,-0.006969580995092237
2005-03-21,-0.01262256539314931
2005-03-22,-0.02038939471315744
2005-03-23,-0.026594158359586326
2005-03-24,-0.02453194791909501
2005-03-25,-0.023887842743967887
2005-03-28,-0.026221893693083757
2005-03-29,-0.025314105340763643
2005-03-30,-0.02346473392193152
2005-03-31,-0.01573604853757353
2005-04-01,-0.014150157732565281
2005-04-04,-0.01270273231277951
2005-04-05,-0.01432206874198121
2005-04-06,-0.012092818555516555
2005-04-07,-0.015553997463550186
2005-04-08,-0.018547462157259845
2005-04-11,-0.01609668687722388
2005-04-12,-0.010094344130486365
2005-04-13,-0.02559487332437755
2005-04-14,-0.022146100603061453
2005-04-15,-0.02567165859830329
2005-04-18,-0.03135569907158377
2005-04-19,-0.012943554255972201
2005-04-20,-0.009783533845789042
2005-04-21,-0.009599258722924458
2005-04-22,-0.001165377264719514
2005-04-25,-0.0011660715886212354
2005-04-26,-0.005707791732313514
2005-04-27,-0.008706862328765812
2005-04-28,-0.00981549914010605
2005-04-29,-0.009398098585274269
2005-05-02,-0.007252006331952748
2005-05-03,-0.013797412550152727
2005-05-04,-0.007054127863679274
2005-05-05,-0.008424660771783186
2005-05-06,-0.014026130914504144
2005-05-09,-0.013423424993370047
2005-05-10,-0.008726872176482492
2005-05-11,-0.014108209266850861
2005-05-12,-0.021438898658418266
2005-05-13,-0.022432964273923196
2005-05-16,-0.022390692070057488
2005-05-17,-0.017322623242809733
2005-05-18,-0.012798569526114805
2005-05-19,-0.015612955748490108
2005-05-20,-0.016576681078297177
2005-05-23,-0.011582242569287396
2005-05-24,-0.009828020649334126
2005-05-25,-0.0039366303199834555
2005-05-26,-0.00018808620168892735
2005-05-27,-0.001403268997907665
2005-05-30,-0.0019208414356211793
2005-05-31,-0.0004653451593150694
2005-06-01,0.012489635477246193
2005-06-02,0.018797888282428503
2005-06-03,0.019228956217035246
2005-06-06,0.02592766927423684
2005-06-07,0.018407237367897924
2005-06-08,0.019912624980836936
2005-06-09,0.015203979739209266
2005-06-10,0.017385312207226063
2005-06-13,0.017746642215539805
2005-06-14,0.028277031158176973
2005-06-15,0.03333194645704539
2005-06-16,0.035993475125332595
2005-06-17,0.05516716663291846
2005-06-20,0.05571692975845651
2005-06-21,0.058850721879499066
2005-06-22,0.05134739257352587
2005-06-23,0.05675626734696604
2005-06-24,0.05855016984368428
2005-06-27,0.07009662302124006
2005-06-28,0.06319672847643672
2005-06-29,0.04175491117513665
2005-06-30,0.041449886685315455
2005-07-01,0.04884563836981518
2005-07-04,0.05551233850291238
2005-07-05,0.061326205938229295
2005-07-06,0.06563181908707964
2005-07-07,0.05953535703072394
2005-07-08,0.07214080531788143
2005-07-11,0.047697736163048635
2005-07-12,0.06832707974591196
2005-07-13,0.06333166497404194
2005-07-14,0.052097431716300054
2005-07-15,0.05408906726474194
2005-07-18,0.046189762576286694
2005-07-19,0.052397381942365956
2005-07-20,0.051373519763998086
2005-07-21,0.04082605912813307
2005-07-22,0.05391353026107441
2005-07-25,0.05656963360738047
2005-07-26,0.06511481466205864
2005-07-27,0.06387029532316378
2005-07-28,0.06611143794236528
2005-07-29,0.0737999603737117
2005-08-01,0.07935281956509137
2005-08-02,0.0780122286214689
2005-08-03,0.07786972060290251
2005-08-04,0.07937980955673794
2005-08-05,0.07675742142335669
2005-08-08,0.09110265999938037
2005-08-09,0.09583700602602073
2005-08-10,0.10357379095937838
2005-08-11,0.12497607073793282
2005-08-12,0.1345226810231058
2005-08-15,0.1304293113710273
2005-08-16,0.1114991590015845
2005-08-17,0.10134814075240374
2005-08-18,0.10027437772958753
2005-08-19,0.1059875215545937
2005-08-22,0.1181683667489181
2005-08-23,0.11204419432840163
2005-08-24,0.11075896070865428
2005-08-25,0.1165354711024144
2005-08-26,0.11684761550507067
2005-08-29,0.10775667145925422
2005-08-30,0.11848265475499524
2005-08-31,0.12763001143950375
2005-09-01,0.1279052185108429
2005-09-02,0.12047486315283261
2005-09-05,0.10663110760509412
2005-09-06,0.10988100447342981
2005-09-07,0.10551284123333166
2005-09-08,0.08869162645560477
2005-09-09,0.0992638668545576
2005-09-12,0.08265719454958793
2005-09-13,0.08586913249023104
2005-09-14,0.08758225970074117
2005-09-15,0.08872973715626288
2005-09-16,0.07906603128930205
2005-09-19,0.10592669432076701
2005-09-20,0.09515440829530089
2005-09-21,0.10353765348502551
2005-09-22,0.10728233416657282
2005-09-23,0.08719636768688788
2005-09-26,0.0838651096212854
2005-09-27,0.08899580502784779
2005-09-28,0.09266836071391388
2005-09-29,0.08998440881582888
2005-09-30,0.08708157566744346
2005-10-03,0.08486557963250872
2005-10-04,0.0642375758440396
2005-10-05,0.06033349685232252
2005-10-06,0.04674774405396602
2005-10-07,0.04907854011636631
2005-10-10,0.045521281349009984
2005-10-11,0.05084842500140643
2005-10-12,0.056299748021281015
2005-10-13,0.05368950638674518
2005-10-14,0.049643280198721766
2005-10-17,0.059726960813906056
2005-10-18,0.05063199952809242
2005-10-19,0.0490189976577692
2005-10-20,0.036632899993335064
2005-10-21,0.03974462961805155
2005-10-24,0.047672456100365426
2005-10-25,0.05490735639285598
2005-10-26,0.05079216976296755
2005-10-27,0.04653236719635091
2005-10-28,0.05913294770914436
2005-10-31,0.052917416305935314
2005-11-01,0.039245872280547725
2005-11-02,0.05379753486192024
2005-11-03,0.05942575239016529
2005-11-04,0.06277459917980241
2005-11-07,0.05237750316496896
2005-11-08,0.05165182818723748
2005-11-09,0.05241364947819653
2005-11-10,0.04919720267698803
2005-11-11,0.04431330237639466
2005-11-14,0.042154789786836004
2005-11-15,0.04297076849946426
2005-11-16,0.04546656066326376
2005-11-17,0.052252192292472764
2005-11-18,0.049417516100668836
2005-11-21,0.056509010717721964
2005-11-22,0.06404628534068665
2005-11-23,0.06179328270962549
2005-11-24,0.060919435530589504
2005-11-25,0.06229580478393338
2005-11-28,0.059146552067243834
2005-11-29,0.060638923568611745
2005-11-30,0.05427720374580844
2005-12-01,0.06655773106182572
2005-12-02,0.07215649486836273
2005-12-05,0.07995726707965092
2005-12-06,0.08033019606733774
2005-12-07,0.07880772825752519
2005-12-08,0.08677740000319889
2005-12-09,0.09510393651654228
2005-12-12,0.09722436849890836
2005-12-13,0.0997114538794282
2005-12-14,0.09319146281689535
2005-12-15,0.09086300283882871
2005-12-16,0.08418930603827074
2005-12-19,0.07470076187703009
2005-12-20,0.06598539413850946
2005-12-21,0.06866857903308436
2005-12-22,0.08181828355193788
2005-12-23,0.07753830708536492
2005-12-26,0.0795861652528588
2005-12-27,0.07841865609049008
2005-12-28,0.08623042394357792
2005-12-29,0.08819687383311117
2005-12-30,0.08961094829698685
2006-01-02,0.08961094829698685
2006-01-03,0.11915218643548678
2006-01-04,0.12044275414703406
2006-01-05,0.11510230611657205
2006-01-06,0.1319428237419329
2006-01-09,0.14031925960168445
2006-01-10,0.13494282336244312
2006-01-11,0.13812808023240183
2006-01-12,0.13987581905106736
2006-01-13,0.1416625448816497
2006-01-16,0.14790435417508213
2006-01-17,0.14416843865400247
2006-01-18,0.13657440290245534
2006-01-19,0.14865259637611905
2006-01-20,0.14254788092406878
2006-01-23,0.14581412783065123
2006-01-24,0.1439728716460225
2006-01-25,0.14237558582445423
2006-01-26,0.14414037678888458
2006-01-27,0.15362401084030936
2006-01-30,0.16120917703476645
2006-01-31,0.15295501108976453
2006-02-01,0.16198358115774572
2006-02-02,0.15337737556521702
2006-02-03,0.14476151043300667
2006-02-06,0.14920913279030348
2006-02-07,0.1258302938901948
2006-02-08,0.12783911911105597
2006-02-09,0.13578997678405869
2006-02-10,0.1242123772821615
2006-02-13,0.11275408004202109
2006-02-14,0.11962211651277997
2006-02-15,0.11338015024173924
2006-02-16,0.11743046692563099
2006-02-17,0.12666409941588644
2006-02-20,0.13553778698429456
2006-02-21,0.13025746716501713
2006-02-22,0.13123837601497582
2006-02-23,0.12631953906116278
2006-02-24,0.1384960455225738
2006-02-27,0.1349574132640406
2006-02-28,0.1363932434561507
2006-03-01,0.1458923724662168
2006-03-02,0.15252906076137765
2006-03-03,0.15087760392442978
2006-03-06,0.1371592339375773
2006-03-07,0.12888951125227013
2006-03-08,0.11848112908821497
2006-03-09,0.11943460898423672
2006-03-10,0.11918972325889629
2006-03-13,0.13102821634843914
2006-03-14,0.14417295950819348
2006-03-15,0.1496988606769786
2006-03-16,0.14771752692341875
2006-03-17,0.15236097259185644
2006-03-20,0.14788176138444029
2006-03-21,0.1354488461564973
2006-03-22,0.14146470063636157
2006-03-23,0.14198729883968783
2006-03-24,0.15297354635173066
2006-03-27,0.15631000195793088
2006-03-28,0.15801627579524583
2006-03-29,0.16875447339219138
2006-03-30,0.18142331868560693
2006-03-31,0.17683475816932856
2006-04-03,0.18500439418812464
2006-04-04,0.18169501897300044
2006-04-05,0.1876056678837651
2006-04-06,0.19363274625903154
2006-04-07,0.1835475526498019
2006-04-10,0.19479565680361563
2006-04-11,0.18850015780423518
2006-04-12,0.19528978656988236
2006-04-13,0.19392419759976376
2006-04-14,0.19596613066751012
2006-04-17,0.20376906525227506
2006-04-18,0.22024895136068803
2006-04-19,0.2371565821248141
2006-04-20,0.2223146292920394
