,pnl
2005-01-03,-0.007332388510453266
2005-01-04,-0.005127291313511365
2005-01-05,-0.0007933921067466044
2005-01-06,-0.003065354659486161
2005-01-07,-0.002059658572682862
2005-01-10,0.0007860683028494338
2005-01-11,0.003255861187504133
2005-01-12,0.003566324051837818
2005-01-13,0.0007433428140392437
2005-01-14,-0.0017563242636012624
2005-01-17,-0.0005608030873407437
2005-01-18,0.002538319064834428
2005-01-19,-0.0006265147028496945
2005-01-20,6.221722046583682e-05
2005-01-21,0.0035698236963032795
2005-01-24,0.0008057144486077401
2005-01-25,-0.005869153361929089
2005-01-26,0.0032939987271802117
2005-01-27,-0.0009187302679367626
2005-01-28,0.00350344887508076
2005-01-31,-0.0016684129401967531
2005-02-01,-0.0004390983872799059
2005-02-02,0.0007780950069804848
2005-02-03,-0.004668978391380628
2005-02-04,0.0038000705245475547
2005-02-07,0.0006077447017272385
2005-02-08,-8.528208477214287e-05
2005-02-09,0.0020611903340251843
2005-02-10,-0.000664841172922712
2005-02-11,0.0017088634196014308
2005-02-14,0.004874600686703485
2005-02-15,-0.0009061858524342282
2005-02-16,-0.00304979279586099
2005-02-17,-0.0007116969496970266
2005-02-18,-0.00317810742919637
2005-02-21,3.459255898360498e-05
2005-02-22,0.002166113348391197
2005-02-23,0.0015466941908586608
2005-02-24,-0.00012128981536484108
2005-02-25,0.0022228721699026313
2005-02-28,-0.004200584143244198
2005-03-01,-0.0018175544232391073
2005-03-02,-8.976265319304327e-05
2005-03-03,-0.0007078986045907534
2005-03-04,0.005889223780380776
2005-03-07,0.0009292673467973217
2005-03-08,0.0009037421144896056
2005-03-09,-0.0069350908125722175
2005-03-10,0.0029223213670967196
2005-03-11,-0.002445489159062026
2005-03-14,-0.0003658511730784196
2005-03-15,-0.001775619333452898
2005-03-16,0.0025722877609869552
2005-03-17,0.0010881372141990841
2005-03-18,-0.0012593689413909841
2005-03-21,-0.005652984398057072
2005-03-22,-0.007766829320008129
2005-03-23,-0.006204763646428886
2005-03-24,0.002062210440491316
2005-03-25,0.0006441051751271234
2005-03-28,-0.0023340509491158695
2005-03-29,0.0009077883523201138
2005-03-30,0.0018493714188321227
2005-03-31,0.007728685384357989
2005-04-01,0.0015858908050082484
2005-04-04,0.0014474254197857715
2005-04-05,-0.001619336429201699
2005-04-06,0.0022292501864646544
2005-04-07,-0.0034611789080336314
