,pnl
2005-01-03,-0.003730582276420446
2005-01-04,-0.0002457428076763598
2005-01-05,0.0026062035589508167
2005-01-06,0.0020154235083343925
2005-01-07,-0.0019109401010506616
2005-01-10,0.0030516315228702427
2005-01-11,-0.0003503428343626159
2005-01-12,0.0024678634913348546
2005-01-13,0.00208205639670062
2005-01-14,-0.0004882194451972569
2005-01-17,-0.0008797881653791989
2005-01-18,0.0023416526062600674
2005-01-19,-0.0006146086756012902
2005-01-20,0.0008843725861875534
2005-01-21,0.00590305167215356
2005-01-24,-0.0014493034325220682
2005-01-25,-0.0027331157361700914
2005-01-26,0.0024013640714372576
2005-01-27,-3.722440197857779e-05
2005-01-28,-9.506716257259211e-05
2005-01-31,-0.0019355754588174276
2005-02-01,0.0005142980526754213
2005-02-02,-0.0017844703699932325
2005-02-03,-0.0038960909572978994
2005-02-04,0.0027704902672527373
2005-02-07,0.001191607660135558
2005-02-08,0.0015549229513628418
2005-02-09,0.0013166373901014527
2005-02-10,0.0021916021639420513
2005-02-11,-1.8842908189282167e-05
2005-02-14,0.0013668984256855084
2005-02-15,-0.0005550607846103215
2005-02-16,-0.0014906626250407733
2005-02-17,0.00024968343434647654
2005-02-18,-0.0020103088956267973
2005-02-21,0.00019790141193770736
2005-02-22,0.002259727598073572
2005-02-23,0.002031943286413421
2005-02-24,0.0013420560375698384
2005-02-25,0.003093041009701796
2005-02-28,-0.004571518794774357
2005-03-01,-0.0008731610422868504
2005-03-02,0.002298791912166421
2005-03-03,0.0007245338015989394
2005-03-04,0.004292743212830679
2005-03-07,-0.000998149035626807
2005-03-08,0.0012557376564072994
2005-03-09,-0.005945922264555415
2005-03-10,0.0005765727424818379
2005-03-11,-0.0007521605428213939
2005-03-14,0.00011328137700161007
2005-03-15,-0.0011948127639751865
2005-03-16,0.0028212736883527195
2005-03-17,0.0011794882401528458
2005-03-18,0.0002525916571818655
2005-03-21,-0.0032971424549706335
2005-03-22,-0.005989531739364989
2005-03-23,-0.0042727918084906535
2005-03-24,0.0032085842042751883
2005-03-25,0.0005527640464749102
2005-03-28,-0.0020005795883399785
2005-03-29,0.001645112372194067
2005-03-30,0.0003336643603322594
2005-03-31,0.006108201600520429
2005-04-01,0.0016426948074898294
2005-04-04,0.002670510722186126
2005-04-05,-0.00046273330226313
2005-04-06,0.0009182331189799439
2005-04-07,-0.004209117688919156
2005-04-08,-0.00032729058391458427
2005-04-11,0.0003172804574798475
2005-04-12,0.003790289751292333
2005-04-13,-0.004467257929892654
2005-04-14,-0.0016730589759407961
2005-04-15,-0.0006157662017286076
2005-04-18,0.0007681160601369858
2005-04-19,0.0080170233819301
2005-04-20,-0.0019289054937388092
2005-04-21,0.0002951758866283215
2005-04-22,0.0030706135753938726
2005-04-25,0.00147380016354506
2005-04-26,-0.00165571137825154
2005-04-27,-0.0014069824051454027
2005-04-28,-0.0005931905683032349
2005-04-29,0.0015249383448383113
2005-05-02,0.00031282067382853735
2005-05-03,-0.00345388596584673
2005-05-04,0.00340004781230813
2005-05-05,-2.5436941696480497e-05
2005-05-06,-0.005596953291498046
2005-05-09,0.0015909097465048071
2005-05-10,0.001898122585997078
2005-05-11,-0.0011830231378395259
2005-05-12,-0.004122863496541405
2005-05-13,0.00024680425233412695
2005-05-16,0.0013655676060064757
2005-05-17,0.00221018098950801
2005-05-18,0.004324668945739089
2005-05-19,-0.0018978652008391167
2005-05-20,-0.0017102727672863105
2005-05-23,0.003384462447284196
2005-05-24,0.0010093090348569165
2005-05-25,0.0022096520105614097
2005-05-26,0.001505963102153156
2005-05-27,0.0006980748786222429
2005-05-30,-0.00048317203762499907
2005-05-31,0.0014301392103798763
2005-06-01,0.006547561256013402
2005-06-02,0.004503997541170442
2005-06-03,-0.003325669379098772
2005-06-06,0.003246575616164739
2005-06-07,-0.0006007633907157081
2005-06-08,-0.0013953414339522362
2005-06-09,3.8421772692024585e-05
2005-06-10,-0.0006418162928628597
2005-06-13,0.001035288443458549
2005-06-14,0.00019387730725304122
2005-06-15,0.0024187485864057643
2005-06-16,0.00473489149612363
2005-06-17,0.005150939546595868
2005-06-20,-0.001036654449428744
2005-06-21,0.002784125115018816
