,PureMarket_WHMM,Hierarchical_B,Hierarchical_C,EqualWeight,SixtyForty
2005-01-03,-0.0053299076073866,-0.0073323885104532,-0.0037305822764204,-0.005140532274612042,-0.004891493537530778
2005-01-04,-0.0122623455648097,-0.0124596798239645,-0.0039763250840967,-0.005579904412400083,-0.013938478289424693
2005-01-05,-0.013461065904566,-0.0132530719307111,-0.0013701215251459005,-0.0035181129936470157,-0.015887257135403666
2005-01-06,-0.0036711984625500006,-0.0163184265901972,0.0006453019831883997,0.006036416719452653,-0.013631311988594776
2005-01-07,-0.0046623523470001,-0.01837808516288,-0.0012656381178622004,0.004291541334961745,-0.014707715184954574
2005-01-10,0.0023131301687677993,-0.0175920168600306,0.0017859934050079994,0.011959197422060086,-0.012399169147067469
2005-01-11,-0.004772312935337501,-0.014336155672526501,0.0014356505706453993,0.006289383293144457,-0.014993506471043895
2005-01-12,-0.0009923738384009007,-0.0107698316206887,0.003903514061980199,0.010122027143048218,-0.012252026295104735
2005-01-13,0.0012678288228517992,-0.0100264888066495,0.005985570458680799,0.016156389102336723,-0.015890745306020016
2005-01-14,0.0027351831858412994,-0.0117828130702507,0.005497351013483599,0.015336201374914451,-0.013025619269269663
2005-01-17,0.002199280710708099,-0.0123436161575914,0.0046175628481044985,0.014048387950511379,-0.012979549309560136
2005-01-18,0.008652842122256,-0.009805297092757001,0.006959215454364499,0.01771492983226999,-0.006553302793106221
2005-01-19,0.0030545088338594,-0.0104318117956066,0.006344606778763299,0.015309556663047365,-0.011935819545418625
2005-01-20,-0.004847170001807201,-0.01036959457514091,0.007228979364950799,0.010660372546585164,-0.015898972731024055
2005-01-21,-0.0020545026760343007,-0.00679977087883721,0.013132031037104298,0.020039291525417016,-0.01888362745483967
2005-01-24,-0.004256418199254201,-0.00599405643022961,0.011682727604582298,0.01767223851767188,-0.020405867398431
2005-01-25,-0.0019381035045920015,-0.011863209792158009,0.008949611868412298,0.01781541816257404,-0.01994667812455493
2005-01-26,0.0004678395978731987,-0.00856921106498111,0.011350975939849498,0.02028569297743168,-0.017139039230891488
2005-01-27,0.0022120044244071987,-0.00948794133291191,0.01131375153787092,0.022252710829438006,-0.017326771762751752
2005-01-28,-0.0026409471400401013,-0.00598449245786011,0.011218684375298328,0.015311673042100172,-0.01671045374618956
2005-01-31,-0.0025567053407801786,-0.00765290539806511,0.009283108916480928,0.014145620972224294,-0.011425886787632858
2005-02-01,-2.987014908427876e-05,-0.00809200378534231,0.009797406969156328,0.017680042916365223,-0.00735123641638378
2005-02-02,-0.0028144208164843786,-0.007313908778359811,0.008012936599163127,0.013877063237263164,-0.005570133482960851
2005-02-03,-0.007853947915592178,-0.01198288716975031,0.0041168456418653274,0.0066564969838480235,-0.007847126007525065
2005-02-04,-0.0018757802228060788,-0.00818281664520791,0.006887335909118027,0.010035015234231623,0.0016981166828514884
2005-02-07,-0.0024337505252901787,-0.00757507195208801,0.008078943569253528,0.008572125626409563,0.0017160648468461629
2005-02-08,-0.0010180284002425787,-0.00766035403922165,0.009633866520616327,0.009846955434961122,0.0025831129114690624
2005-02-09,-0.0003631943614879787,-0.00559916370401025,0.010950503910717727,0.007682168685864263,-0.0007782494291667802
2005-02-10,0.0016142721434230212,-0.00626400460856325,0.013142106074659727,0.016744003284999295,-0.0011300707433616027
2005-02-11,0.002430588424509621,-0.00455514119363705,0.013123263166470445,0.019790981553997784,0.0021408310954463125
2005-02-14,0.004258219462980821,0.00031945948269524946,0.014490161592155944,0.02143926105433333,0.0034301630559340846
2005-02-15,0.004707891442698721,-0.0005867263592887505,0.013935100807545644,0.023150158018225835,0.004693744528728413
2005-02-16,0.003344832113364921,-0.0036365191386455503,0.012444438182504944,0.02431720051719876,0.0028684755700357526
2005-02-17,0.001397324877322821,-0.00434821608670405,0.012694121616851343,0.02352808096801206,-0.002797291618200329
2005-02-18,-0.000498214045987179,-0.00752632350236945,0.010683812721224643,0.024238045539034386,-0.004522030497790122
2005-02-21,0.00020837646044492104,-0.007491730935431192,0.010881714133162343,0.025106850330707246,-0.004475951180683249
2005-02-22,0.001974925235668421,-0.005325617540154592,0.013141441731235843,0.029798088274491433,-0.014079477880634173
2005-02-23,0.005350566712496622,-0.0037789233350319926,0.015173385017649242,0.03389735429318791,-0.010105253179780683
2005-02-24,0.008829698241996422,-0.0039002131198712926,0.016515441055219043,0.03971664347649745,-0.005789309122953236
2005-02-25,0.013312345123985622,-0.0016773409604876927,0.019608482064920742,0.04609291034409776,0.00023257555877318273
2005-02-28,0.008266072863402522,-0.0058779250977840924,0.015036963270146442,0.04259106081315992,-0.006298601925927374
2005-03-01,0.009302557453318523,-0.007695479656643193,0.014163802227859642,0.04384273880022106,-0.0033177556884311367
2005-03-02,0.010591827317659223,-0.007785242346404855,0.016462594140026043,0.04727471227438284,-0.003629293574388906
2005-03-03,0.014979669487402023,-0.008493145556718856,0.017187127941624945,0.0529479070902016,-0.003583938464368155
2005-03-04,0.019013936879103722,-0.002603911763537055,0.021479871154455543,0.05527554961387641,0.0046143773114469145
2005-03-07,0.019558373481530122,-0.0016746419130577552,0.020481722118828743,0.054270118218462296,0.006536923556382844
2005-03-08,0.019805302554634422,-0.0007709054060445552,0.021737459775235942,0.059571868549914156,0.0013886089567419543
2005-03-09,0.013161586716900823,-0.007706002676138755,0.01579153751068054,0.0568726443946236,-0.00923273260231774
2005-03-10,0.013908790615529123,-0.004783671165238255,0.01636811025316234,0.05422347837720557,-0.006194045397368875
2005-03-11,0.009516379480079223,-0.007229157843811755,0.01561594971034104,0.05365165960545903,-0.013201776687504819
2005-03-14,0.012378227387589324,-0.007595017731319555,0.01572923108734264,0.0556092735092676,-0.009141894527402883
2005-03-15,0.010452240560778025,-0.009370639629461256,0.01453441832336754,0.0543303790001528,-0.014423497993138312
2005-03-16,0.012105337945956125,-0.006798354164593056,0.01735569201172024,0.05670116030294032,-0.0184655112101316
2005-03-17,0.017590087726177126,-0.005710232889252856,0.018535180251873038,0.06076729752525871,-0.015833200299505988
2005-03-18,0.015818483290785827,-0.006969600659103056,0.018787771909054837,0.06116085621468698,-0.01722637722841238
2005-03-21,0.012636420975285327,-0.012622590819315957,0.015490629454084236,0.056734911673826535,-0.020597570804151033
2005-03-22,0.004998975141816927,-0.020389419974683458,0.009501097714719336,0.04973612730584893,-0.029409705618751225
2005-03-23,-0.005008456689215273,-0.026594185788798456,0.005228305906228736,0.03568051889664918,-0.028845826673891038
2005-03-24,-0.002057740215303573,-0.02453197485374216,0.008436890110503836,0.04013470468132247,-0.02881330180755519
2005-03-25,-0.001731058931824673,-0.023887869049326958,0.008989654156978735,0.04058053621736448,-0.028674403013152626
2005-03-28,-0.004583970640732073,-0.02622192083790426,0.006989074568638835,0.038180973272673224,-0.028374825692921667
2005-03-29,-0.005078558324274273,-0.02531412953964216,0.008634186940832836,0.03674652503898788,-0.031728111063991093
2005-03-30,-0.0028640614669171727,-0.023464762753560558,0.008967851301165036,0.03686434263034553,-0.02243268042057469
2005-03-31,0.007286057852829127,-0.015736075332212957,0.015076052901685436,0.04825668691576306,-0.02079225388368897
2005-04-01,0.010256184391105826,-0.014150184094638456,0.016718747709175235,0.05015869028177527,-0.023211282685098842
