,cum_pnl
2005-01-03,-0.007332388510453266
2005-01-04,-0.012459679823964632
2005-01-05,-0.013253071930711235
2005-01-06,-0.016318426590197388
2005-01-07,-0.018378085162880246
2005-01-10,-0.01759201686003081
2005-01-11,-0.014336155672526623
2005-01-12,-0.010769831620688803
2005-01-13,-0.01002648880664957
2005-01-14,-0.011782813070250794
2005-01-17,-0.012343616157591544
2005-01-18,-0.009805297092757117
2005-01-19,-0.010431811795606746
2005-01-20,-0.010369594575141056
2005-01-21,-0.0067997708788373416
2005-01-24,-0.005994056430229704
2005-01-25,-0.01186320979215818
2005-01-26,-0.008569211064981192
2005-01-27,-0.009487941332912083
2005-01-28,-0.005984492457860192
2005-01-31,-0.007652905398065275
2005-02-01,-0.008092003785342528
2005-02-02,-0.0073139087783599495
2005-02-03,-0.011982887169750482
2005-02-04,-0.008182816645208039
2005-02-07,-0.007575071952088071
2005-02-08,-0.00766035403922171
2005-02-09,-0.005599163704010295
2005-02-10,-0.0062640046085633855
2005-02-11,-0.00455514119363715
2005-02-14,0.00031945948269518874
2005-02-15,-0.0005867263592888548
2005-02-16,-0.003636519138645746
2005-02-17,-0.004348216086704307
2005-02-18,-0.0075263235023697635
2005-02-21,-0.007491730935431505
2005-02-22,-0.005325617540154857
2005-02-23,-0.003778923335032166
2005-02-24,-0.0039002131198715055
2005-02-25,-0.0016773409604878562
2005-02-28,-0.005877925097784333
2005-03-01,-0.007695479656643491
2005-03-02,-0.007785242346405153
2005-03-03,-0.008493145556719239
2005-03-04,-0.0026039117635374386
2005-03-07,-0.0016746419130581002
2005-03-08,-0.0007709054060448829
2005-03-09,-0.007706002676139084
2005-03-10,-0.004783671165238556
2005-03-11,-0.007229157843812143
2005-03-14,-0.007595017731319979
2005-03-15,-0.009370639629461766
2005-03-16,-0.006798354164593539
2005-03-17,-0.0057102328892532665
2005-03-18,-0.006969600659103529
2005-03-21,-0.01262259081931649
2005-03-22,-0.020389419974684055
2005-03-23,-0.026594185788799143
2005-03-24,-0.024531974853742842
2005-03-25,-0.023887869049327614
2005-03-28,-0.026221920837904936
2005-03-29,-0.025314129539642807
2005-03-30,-0.023464762753561148
2005-03-31,-0.015736075332213523
2005-04-01,-0.014150184094638963
2005-04-04,-0.012702761049998523
2005-04-05,-0.01432208847874848
2005-04-06,-0.01209283319008075
2005-04-07,-0.015554004826065133
2005-04-08,-0.018547462936626173
2005-04-11,-0.016096598206615107
2005-04-12,-0.01009439077647581
2005-04-13,-0.025593712445360683
2005-04-14,-0.022145391898956576
2005-04-15,-0.02567040618673606
2005-04-18,-0.03135366358832201
2005-04-19,-0.01304281669139325
2005-04-20,-0.009920462225270217
2005-04-21,-0.009762478954991927
2005-04-22,-0.0013287758048314748
2005-04-25,-0.0013293694947782183
2005-04-26,-0.005870990616962174
2005-04-27,-0.008870042706058493
2005-04-28,-0.009978598404070865
2005-04-29,-0.009560966046115851
2005-05-02,-0.007414788591152398
2005-05-03,-0.013960163818335092
2005-05-04,-0.007216818603783421
2005-05-05,-0.008587374528903383
2005-05-06,-0.01418879354396844
2005-05-09,-0.013586064085896256
2005-05-10,-0.008889549626515567
2005-05-11,-0.014270906054593576
2005-05-12,-0.02160160970136466
2005-05-13,-0.022595675556394447
2005-05-16,-0.02255340339589448
2005-05-17,-0.01748533489474817
2005-05-18,-0.012961280718935805
2005-05-19,-0.015775666447744252
2005-05-20,-0.016739391837131284
2005-05-23,-0.01174495344145929
2005-05-24,-0.009990731519749867
2005-05-25,-0.004099342600047829
2005-05-26,-0.00035079836901225157
2005-05-27,-0.0015659810730454748
2005-05-30,-0.0020835534899904416
2005-05-31,-0.0006280575985598245
2005-06-01,0.012326922884452071
2005-06-02,0.018635175493510132
2005-06-03,0.019066231696818176
2005-06-06,0.025764944710345863
2005-06-07,0.01824452347974051
2005-06-08,0.019749907304443898
2005-06-09,0.015041266475241214
2005-06-10,0.01722259547358442
2005-06-13,0.017583919973369055
2005-06-14,0.028114307061484878
2005-06-15,0.0331692227251334
2005-06-16,0.035830754621457045
2005-06-17,0.055004445540249886
2005-06-20,0.05555420877557935
2005-06-21,0.05868799975451051
2005-06-22,0.05118471226416356
2005-06-23,0.056593541172009536
2005-06-24,0.058387445652734744
2005-06-27,0.0699339001062073
2005-06-28,0.06303400147325605
2005-06-29,0.04159218148933837
2005-06-30,0.0412871587850464
2005-07-01,0.0486829069003019
2005-07-04,0.05534960253891071
2005-07-05,0.06116346680316373
2005-07-06,0.06546908189795504
2005-07-07,0.05937262198053412
2005-07-08,0.07197806748325462
2005-07-11,0.047535001367967566
2005-07-12,0.06816434721209068
2005-07-13,0.06316893257415493
2005-07-14,0.05193469680562861
2005-07-15,0.0539263315900715
2005-07-18,0.0460270245832845
2005-07-19,0.052234642829381124
2005-07-20,0.05121078361474252
2005-07-21,0.04066332349171769
2005-07-22,0.05375079543201809
2005-07-25,0.05640689566302469
2005-07-26,0.06495207507256524
2005-07-27,0.06370755381494853
2005-07-28,0.06594870093203194
2005-07-29,0.07363722115148913
2005-08-01,0.07919008298706816
2005-08-02,0.07784949470345515
2005-08-03,0.07770698992223748
2005-08-04,0.07921707548537747
2005-08-05,0.07659468501878093
2005-08-08,0.09093989104090383
2005-08-09,0.09567423795375582
2005-08-10,0.10341102402335135
2005-08-11,0.12481330748304098
2005-08-12,0.13435992111010517
2005-08-15,0.13026654989604186
2005-08-16,0.11133639567508424
2005-08-17,0.10118537586777362
2005-08-18,0.100111611205597
2005-08-19,0.10582475451099006
2005-08-22,0.11800560293240336
2005-08-23,0.1118814309416142
2005-08-24,0.11059619665562989
2005-08-25,0.11637270888770854
2005-08-26,0.11668484964160836
2005-08-29,0.10759390650689099
2005-08-30,0.11831988792020877
2005-08-31,0.1274672449001779
