,max_template_posterior
2005-01-03,0.9999978929448922
2005-01-04,0.9999970423065057
2005-01-05,0.999999742624593
2005-01-06,0.9999994615194028
2005-01-07,0.9999997347002123
2005-01-10,0.9999993439225673
2005-01-11,0.9999998221095251
2005-01-12,0.9999993478313617
2005-01-13,0.9999986207508414
2005-01-14,0.9999958778019156
2005-01-17,0.9999956938627748
2005-01-18,0.9999992142996057
2005-01-19,0.9999992329878026
2005-01-20,0.9999994931967209
2005-01-21,0.9999995707969704
2005-01-24,0.9999998030310447
2005-01-25,0.9999989697919333
2005-01-26,0.9999998610490296
2005-01-27,0.9999998549346659
2005-01-28,0.9999999754514012
2005-01-31,0.9999999766943938
2005-02-01,0.9999999435800644
2005-02-02,0.9999999511945743
2005-02-03,0.999999826202416
2005-02-04,0.9999997704874297
2005-02-07,0.9999998272277821
2005-02-08,0.9999999143749875
2005-02-09,0.9999999681663463
2005-02-10,0.9999999247056888
2005-02-11,0.9999999632050391
2005-02-14,0.999999964180315
2005-02-15,0.9999998987003459
2005-02-16,0.9999999409840495
2005-02-17,0.9999999639958557
2005-02-18,0.9999998758154467
2005-02-21,0.9999998992289449
2005-02-22,0.9999999359114707
2005-02-23,0.9999969419516666
2005-02-24,0.9999998040527868
2005-02-25,0.9999999680826729
2005-02-28,0.9999999758008354
2005-03-01,0.9999998841520924
2005-03-02,0.9999999175757427
2005-03-03,0.9999999709967817
2005-03-04,0.999999977267463
2005-03-07,0.9999998939823341
2005-03-08,0.9999998542006537
2005-03-09,0.9999989690239902
2005-03-10,0.9999997804721039
2005-03-11,0.9999998835903353
2005-03-14,0.9999936953858263
2005-03-15,0.9999951856194282
2005-03-16,0.9999947367211001
2005-03-17,0.9999794272955107
2005-03-18,0.9999706749242284
2005-03-21,0.9999513490791089
2005-03-22,0.9999928802564624
2005-03-23,0.9999597743655111
2005-03-24,0.9999999798076945
2005-03-25,0.9999495762736778
2005-03-28,0.9999348055448422
2005-03-29,0.9998228918999106
2005-03-30,0.9997606850812184
2005-03-31,0.9994284505436262
2005-04-01,0.9998504971368767
2005-04-04,0.9994580773116735
2005-04-05,0.999748898758751
2005-04-06,0.9994161598569296
2005-04-07,0.9866205783334304
2005-04-08,0.9748106680672276
2005-04-11,0.8303256482431755
2005-04-12,0.5766705087701398
2005-04-13,0.9920497378524262
2005-04-14,0.9980862482390693
2005-04-15,0.999725290688465
2005-04-18,0.9963242888812763
2005-04-19,0.9997661885187361
2005-04-20,0.993736600437955
2005-04-21,0.9804846636782962
2005-04-22,0.9749569429710339
2005-04-25,0.9958634964675094
2005-04-26,0.9951201273568417
2005-04-27,0.9890528587128836
2005-04-28,0.9966567638120049
2005-04-29,0.9970766581578733
2005-05-02,0.9985372676653379
2005-05-03,0.99604729599521
2005-05-04,0.9968761643374734
2005-05-05,0.9992137353811713
2005-05-06,0.9949057366489659
2005-05-09,0.9984374783480005
2005-05-10,0.9621684415797414
2005-05-11,0.9711929732620748
2005-05-12,0.9532574635819637
2005-05-13,0.9985285292917392
2005-05-16,0.993838951818107
2005-05-17,0.9731869979464386
2005-05-18,0.6384415699972449
2005-05-19,0.9877171176398996
2005-05-20,0.9981900165038089
2005-05-23,0.9998570197598513
2005-05-24,0.9999282968191373
2005-05-25,0.9999686564558016
2005-05-26,0.9995994695626793
2005-05-27,0.999087166994993
2005-05-30,0.999604867104058
2005-05-31,0.996105421169504
2005-06-01,0.9946842301175066
2005-06-02,0.9991073468745264
2005-06-03,0.9999726430396525
2005-06-06,0.9919828721647893
2005-06-07,0.9924907053365164
2005-06-08,0.9800920902014532
2005-06-09,0.9509575720774234
2005-06-10,0.8799443223387089
2005-06-13,0.9947466170828169
2005-06-14,0.9939388659238583
2005-06-15,0.9991992287383449
2005-06-16,0.9955265465620083
2005-06-17,0.9986154758909643
2005-06-20,0.9907914633460735
2005-06-21,0.9943266491422483
2005-06-22,0.9943215754886444
2005-06-23,0.9978003772366906
2005-06-24,0.9996847993939361
2005-06-27,0.9994482699074049
2005-06-28,0.9998709005822014
2005-06-29,0.9992247424064796
2005-06-30,0.999520892318535
2005-07-01,0.9999556976039259
2005-07-04,0.9998667134794261
2005-07-05,0.9990154011607387
2005-07-06,0.9998400490135835
2005-07-07,0.9994012348900579
2005-07-08,0.9976007668581016
2005-07-11,0.9992925780449933
2005-07-12,0.9947181940955024
2005-07-13,0.9939305246236538
2005-07-14,0.9949657783100223
2005-07-15,0.9959949757378216
2005-07-18,0.993672035976707
2005-07-19,0.9777796420748415
2005-07-20,0.9683155811453995
2005-07-21,0.9877102020151515
2005-07-22,0.9367027940468393
2005-07-25,0.9418457337788647
2005-07-26,0.9749801656246778
2005-07-27,0.992755982551391
2005-07-28,0.9988074461651579
2005-07-29,0.99576552018476
2005-08-01,0.9996857194080364
2005-08-02,0.9929983097152005
2005-08-03,0.9885414129661301
2005-08-04,0.9202683990221442
2005-08-05,0.9764877754316101
2005-08-08,0.9986884920973365
2005-08-09,0.9994652207597438
2005-08-10,0.9999389426122586
2005-08-11,0.9999316238709391
2005-08-12,0.9875038867485186
2005-08-15,0.9746516069161724
2005-08-16,0.9704852343624198
2005-08-17,0.5021522920069904
2005-08-18,0.8796667534659747
2005-08-19,0.8319522818357308
2005-08-22,0.971677909461081
2005-08-23,0.9867414378143066
2005-08-24,0.9923664779531568
2005-08-25,0.9928529653544779
2005-08-26,0.99612745770225
2005-08-29,0.9981390535200061
2005-08-30,0.9986465814922006
2005-08-31,0.9951732141251768
2005-09-01,0.9975330964566981
2005-09-02,0.9900987122221198
2005-09-05,0.9944324289422349
2005-09-06,0.9924775115622168
2005-09-07,0.9725981656645175
2005-09-08,0.9966645414051926
2005-09-09,0.9989290635024216
2005-09-12,0.9998535382850744
2005-09-13,0.9997067232559843
2005-09-14,0.9996643494914297
2005-09-15,0.9998207208016683
2005-09-16,0.9997591776775558
2005-09-19,0.9973632782765693
2005-09-20,0.9774368037720051
2005-09-21,0.990530961084675
2005-09-22,0.9328933672196305
2005-09-23,0.9900979589297003
2005-09-26,0.9902707558495347
2005-09-27,0.9997426540071627
2005-09-28,0.9997999209391815
2005-09-29,0.9992972523078764
2005-09-30,0.9998219894072805
2005-10-03,0.999987588139076
2005-10-04,0.9999974687575288
2005-10-05,0.9999851570794352
2005-10-06,0.9999866847693601
2005-10-07,0.9999687326571375
2005-10-10,0.9999947694382465
2005-10-11,0.9999901135330774
2005-10-12,0.9999953064609626
2005-10-13,0.9999855151069276
2005-10-14,0.9999844467525905
2005-10-17,0.9999354773958523
2005-10-18,0.9998952452906996
2005-10-19,0.9999514559194677
2005-10-20,0.999937696924565
2005-10-21,0.9996791488482237
2005-10-24,0.9995776722319054
2005-10-25,0.9963640521742926
2005-10-26,0.9992786496604996
2005-10-27,0.9996713935420499
2005-10-28,0.9965413773097233
2005-10-31,0.9848376168620985
2005-11-01,0.9862364155570419
2005-11-02,0.9830926614931981
2005-11-03,0.9534754596604118
2005-11-04,0.9569161058009097
2005-11-07,0.9482305700358136
2005-11-08,0.5871829820818171
2005-11-09,0.6637905981658482
2005-11-10,0.9872802108609103
2005-11-11,0.9985429419399962
2005-11-14,0.9999409327228621
2005-11-15,0.9999877195121273
2005-11-16,0.9999369180516514
2005-11-17,0.9997485800731908
2005-11-18,0.9999674694303163
2005-11-21,0.9999898698394576
2005-11-22,0.9998590301548432
2005-11-23,0.9999921903420339
2005-11-24,0.9999940667512429
2005-11-25,0.9999989892891269
2005-11-28,0.9999991965908429
2005-11-29,0.9999955821410639
2005-11-30,0.9999975828278466
2005-12-01,0.9999845864847079
2005-12-02,0.9999847091420386
2005-12-05,0.9999871497373315
2005-12-06,0.9999368169886579
2005-12-07,0.9995955850774372
2005-12-08,0.9999653937310394
2005-12-09,0.9996717745275254
2005-12-12,0.9998341275081434
2005-12-13,0.9998246212086381
2005-12-14,0.9982881582981257
2005-12-15,0.9977009199790157
2005-12-16,0.9979888585771749
2005-12-19,0.9999958697553617
2005-12-20,0.9999983155655121
2005-12-21,0.9999998755770687
2005-12-22,0.9999999531489868
2005-12-23,0.9999968708219152
2005-12-26,0.9999995021755702
2005-12-27,0.9999997002396028
2005-12-28,0.9999962984851087
2005-12-29,0.9999946261579413
2005-12-30,0.9999992290134821
2006-01-02,0.999998807858575
2006-01-03,0.9999997253959313
2006-01-04,0.9048282892886043
2006-01-05,0.9999978846926179
2006-01-06,0.999999888387598
2006-01-09,0.9999998209768659
2006-01-10,0.9999999702894304
2006-01-11,0.9999999907912713
2006-01-12,0.9999999995526854
2006-01-13,0.9999999959393924
2006-01-16,0.9999999821923109
2006-01-17,0.9999999853630789
2006-01-18,0.9999997621886659
2006-01-19,0.9999997289344815
2006-01-20,0.99999995162209
2006-01-23,0.9999997542727397
2006-01-24,0.9999999959780808
2006-01-25,0.9999999985081812
2006-01-26,0.9999999999601609
2006-01-27,0.9999999999809925
2006-01-30,0.9999999997920688
2006-01-31,0.9999999999643706
2006-02-01,0.9999999999974558
2006-02-02,0.9999999999949427
2006-02-03,0.9999999999931672
2006-02-06,0.9999999999985723
2006-02-07,0.9999999999996363
2006-02-08,0.9999999999995075
2006-02-09,0.9999999999999665
2006-02-10,0.9999999999999991
2006-02-13,0.9999999999999998
2006-02-14,1.0
2006-02-15,1.0
2006-02-16,1.0
2006-02-17,1.0
2006-02-20,1.0
2006-02-21,1.0
2006-02-22,1.0
2006-02-23,1.0
2006-02-24,1.0
2006-02-27,1.0
2006-02-28,1.0
2006-03-01,0.9999999999999991
2006-03-02,0.9999999999999996
2006-03-03,0.9999999999999989
2006-03-06,0.9999999999999991
2006-03-07,0.9999999999999998
2006-03-08,0.9999999999999991
2006-03-09,0.9999999999999958
2006-03-10,0.9999999999999993
2006-03-13,0.9999999999999978
2006-03-14,0.9999999999999907
2006-03-15,0.9999999999995857
2006-03-16,0.9999999999990323
2006-03-17,0.9999999999801001
2006-03-20,0.9999999999988922
2006-03-21,0.9999999999995257
2006-03-22,0.9999999999997444
2006-03-23,0.9999999999996041
2006-03-24,0.9999999999998217
2006-03-27,0.9999999999997486
2006-03-28,0.9999999999999205
2006-03-29,0.9999999999999778
2006-03-30,0.9999999999999654
2006-03-31,0.9999999999999964
2006-04-03,0.9999999999998268
2006-04-04,0.9999999999975844
2006-04-05,0.9999999999897042
2006-04-06,0.9999999999455002
2006-04-07,0.9999999999844553
2006-04-10,0.9999999999551421
2006-04-11,0.9999999999921574
2006-04-12,0.9999999999961047
2006-04-13,0.9999999999985487
2006-04-14,0.9999999999990232
2006-04-17,0.9999999999999585
2006-04-18,0.9999999999998714
2006-04-19,0.9999999999836
2006-04-20,0.9999999999997045
2006-04-21,0.9999999999997982
2006-04-24,0.9999999999999922
2006-04-25,0.9999999999999634
2006-04-26,0.9999999999999996
2006-04-27,0.9999999999999998
2006-04-28,0.9999999999999998
2006-05-01,1.0
2006-05-02,1.0
2006-05-03,1.0
2006-05-04,1.0
2006-05-05,1.0
2006-05-08,1.0
2006-05-09,0.9999999999999996
2006-05-10,1.0
2006-05-11,1.0
2006-05-12,0.9999999999999971
2006-05-15,1.0
2006-05-16,1.0
2006-05-17,1.0
2006-05-18,1.0
2006-05-19,1.0
2006-05-22,1.0
2006-05-23,1.0
2006-05-24,1.0
2006-05-25,1.0
2006-05-26,1.0
2006-05-29,1.0
2006-05-30,1.0
2006-05-31,1.0
2006-06-01,1.0
2006-06-02,1.0
2006-06-05,1.0
2006-06-06,1.0
2006-06-07,1.0
2006-06-08,1.0
2006-06-09,1.0
2006-06-12,1.0
2006-06-13,1.0
2006-06-14,1.0
2006-06-15,1.0
2006-06-16,1.0
2006-06-19,1.0
2006-06-20,1.0
2006-06-21,1.0
2006-06-22,1.0
2006-06-23,1.0
2006-06-26,1.0
2006-06-27,1.0
2006-06-28,1.0
2006-06-29,1.0
2006-06-30,1.0
2006-07-03,1.0
2006-07-04,1.0
2006-07-05,1.0
2006-07-06,1.0
2006-07-07,1.0
2006-07-10,1.0
2006-07-11,1.0
2006-07-12,1.0
2006-07-13,1.0
