,macro_stress
2005-01-03,0.19930368844687113
2005-01-04,0.19929302452355768
2005-01-05,0.1983164004249373
2005-01-06,0.19805146101113932
2005-01-07,0.2032462052313062
2005-01-10,0.20250169358510955
2005-01-11,0.20397717837274099
2005-01-12,0.20176787456362594
2005-01-13,0.20137667783783272
2005-01-14,0.20228824452168864
2005-01-17,0.20032262649470053
2005-01-18,0.1994938362261135
2005-01-19,0.1996593575727665
2005-01-20,0.19765846738966636
2005-01-21,0.1974181742274803
2005-01-24,0.20069726008424676
2005-01-25,0.20198141035796535
2005-01-26,0.20126508523313233
2005-01-27,0.19811501810955245
2005-01-28,0.1977515320057163
2005-01-31,0.1975214919092696
2005-02-01,0.19890430207673737
2005-02-02,0.19440025294619667
2005-02-03,0.19436773205009808
2005-02-04,0.196096501661401
2005-02-07,0.1943204597027018
2005-02-08,0.19409220097967872
2005-02-09,0.19346398355920125
2005-02-10,0.19389862240464817
2005-02-11,0.19647119863653467
2005-02-14,0.19398984493077714
2005-02-15,0.19260886817267475
2005-02-16,0.1918077757047597
2005-02-17,0.1912463104120249
2005-02-18,0.1902108419790261
2005-02-21,0.18897931781971872
2005-02-22,0.18791962711935495
2005-02-23,0.1893083040249297
2005-02-24,0.18820748673214427
2005-02-25,0.18973715716747908
2005-02-28,0.19429657666767575
2005-03-01,0.19250286848657017
2005-03-02,0.19107078680319783
2005-03-03,0.19828856100235576
2005-03-04,0.20211082580232448
2005-03-07,0.1947335244752845
2005-03-08,0.1974310294272092
2005-03-09,0.20337984394088962
2005-03-10,0.21924850061349077
2005-03-11,0.19330401742058398
2005-03-14,0.18847030593880842
2005-03-15,0.18621719167729267
2005-03-16,0.18357518892216187
2005-03-17,0.1823608894884291
2005-03-18,0.1810205688504532
2005-03-21,0.1797095601440912
2005-03-22,0.17962540401490507
2005-03-23,0.18077770923984082
2005-03-24,0.21114495681559522
2005-03-25,0.1994227868182001
2005-03-28,0.2010969312485503
2005-03-29,0.20558700723123743
2005-03-30,0.19790164065956733
2005-03-31,0.20012639610884025
2005-04-01,0.22311875147829702
2005-04-04,0.19476250780052587
2005-04-05,0.19938874530056794
2005-04-06,0.1993546879101734
2005-04-07,0.2053979430653234
2005-04-08,0.20553863710382037
2005-04-11,0.21210630777589085
2005-04-12,0.2197500418956606
2005-04-13,0.21865307798677908
2005-04-14,0.23419882227599056
2005-04-15,0.23308820267923397
2005-04-18,0.20294443983253635
2005-04-19,0.2873858151950089
2005-04-20,0.26743240998296836
2005-04-21,0.23297999748886458
2005-04-22,0.21729705263235152
2005-04-25,0.20684675957667092
2005-04-26,0.21811197188109724
2005-04-27,0.20840805768748383
2005-04-28,0.20735851816348455
2005-04-29,0.20144177515637818
2005-05-02,0.1915023559152987
2005-05-03,0.19264988822398338
2005-05-04,0.19643428770493404
2005-05-05,0.198622546313718
2005-05-06,0.19695905500921462
2005-05-09,0.189397126078638
2005-05-10,0.1879315697085298
2005-05-11,0.1871014693203756
2005-05-12,0.18694116657896198
2005-05-13,0.18762067403162472
2005-05-16,0.18711802396059968
2005-05-17,0.19483609464876153
2005-05-18,0.19163986647550613
2005-05-19,0.18836118744353433
2005-05-20,0.19318086313379484
2005-05-23,0.18746445904908637
2005-05-24,0.19041693104939855
2005-05-25,0.18473559147547997
2005-05-26,0.18554255509319334
2005-05-27,0.18450515973132264
2005-05-30,0.18546862759036273
2005-05-31,0.1842206831059171
2005-06-01,0.1879556726544419
2005-06-02,0.18805891124610424
2005-06-03,0.192348963738311
2005-06-06,0.17973372464912274
2005-06-07,0.18975941944124397
2005-06-08,0.18765174645456772
2005-06-09,0.19277071695901982
2005-06-10,0.18169335277213527
2005-06-13,0.17744141526596643
2005-06-14,0.1760600212309279
2005-06-15,0.17830599581876458
2005-06-16,0.1763188555015152
2005-06-17,0.17567713033344173
2005-06-20,0.17571259017930654
2005-06-21,0.17524895473083243
2005-06-22,0.1909478891739589
2005-06-23,0.1757334768752784
2005-06-24,0.17603405829349567
2005-06-27,0.17413099253558695
2005-06-28,0.17608769211163813
2005-06-29,0.17224348325151512
2005-06-30,0.17557208147646164
2005-07-01,0.17481824749531227
2005-07-04,0.17133527500506832
2005-07-05,0.1717167302129428
2005-07-06,0.1725676361141317
2005-07-07,0.17029581554252973
2005-07-08,0.17126733054595122
2005-07-11,0.17106972079596677
2005-07-12,0.17416172669246827
2005-07-13,0.17548910332458328
2005-07-14,0.1769797675344459
2005-07-15,0.17890184441526896
2005-07-18,0.17674716512841782
2005-07-19,0.17741820273070869
2005-07-20,0.17854249625220228
2005-07-21,0.17627710777383432
2005-07-22,0.1756339232792427
2005-07-25,0.17377266101901093
2005-07-26,0.17384501073655184
2005-07-27,0.17402793462081265
2005-07-28,0.1736027767560671
2005-07-29,0.17296094758606312
2005-08-01,0.17263549937867248
2005-08-02,0.17695007191175638
2005-08-03,0.17255899765209137
2005-08-04,0.1732141636594683
2005-08-05,0.1721748087891985
2005-08-08,0.18029154852694823
2005-08-09,0.17185697232417046
2005-08-10,0.16835025713260532
2005-08-11,0.16860055201578494
2005-08-12,0.17162624517849268
2005-08-15,0.1702560358840916
2005-08-16,0.1691442197968801
2005-08-17,0.1698939186425646
2005-08-18,0.16799045099352258
2005-08-19,0.17196112865596483
2005-08-22,0.16952227603263592
2005-08-23,0.16905369245429192
2005-08-24,0.16832528858879525
2005-08-25,0.16786156035427968
2005-08-26,0.1657909863475077
2005-08-29,0.16661225897833098
2005-08-30,0.1668365506048916
2005-08-31,0.1653555945764426
2005-09-01,0.16539746737746389
2005-09-02,0.16691554656070948
2005-09-05,0.16773769807763905
2005-09-06,0.16925827054611808
2005-09-07,0.16475934584333307
2005-09-08,0.19024800279709575
2005-09-09,0.1624852222428776
