date,pnl_equal_weight
2005-01-03,-0.005140532274612042
2005-01-04,-0.0004393721377880408
2005-01-05,0.0020617914187530673
2005-01-06,0.009554529713099669
2005-01-07,-0.0017448753844909073
2005-01-10,0.00766765608709834
2005-01-11,-0.0056698141289156295
2005-01-12,0.003832643849903761
2005-01-13,0.006034361959288503
2005-01-14,-0.0008201877274222724
2005-01-17,-0.0012878134244030726
2005-01-18,0.003666541881758612
2005-01-19,-0.0024053731692226243
2005-01-20,-0.004649184116462202
2005-01-21,0.009378918978831852
2005-01-24,-0.002367053007745135
2005-01-25,0.00014317964490215827
2005-01-26,0.0024702748148576425
2005-01-27,0.001967017852006325
2005-01-28,-0.0069410377873378335
2005-01-31,-0.001166052069875878
2005-02-01,0.003534421944140931
2005-02-02,-0.0038029796791020586
2005-02-03,-0.007220566253415141
2005-02-04,0.0033785182503835993
2005-02-07,-0.00146288960782206
2005-02-08,0.0012748298085515585
2005-02-09,-0.002164786749096859
2005-02-10,0.009061834599135033
2005-02-11,0.0030469782689984907
2005-02-14,0.0016482795003355478
2005-02-15,0.0017108969638925055
2005-02-16,0.0011670424989729256
2005-02-17,-0.0007891195491867009
2005-02-18,0.0007099645710223257
2005-02-21,0.0008688047916728614
2005-02-22,0.004691237943784188
2005-02-23,0.004099266018696479
2005-02-24,0.0058192891833095395
2005-02-25,0.006376266867600311
2005-02-28,-0.0035018495309378397
2005-03-01,0.0012516779870611395
2005-03-02,0.003431973474161776
2005-03-03,0.005673194815818761
2005-03-04,0.002327642523674811
2005-03-07,-0.0010054313954141138
2005-03-08,0.005301750331451861
2005-03-09,-0.0026992241552905587
2005-03-10,-0.0026491660174180255
2005-03-11,-0.0005718187717465461
2005-03-14,0.001957613903808575
2005-03-15,-0.0012788945091148029
2005-03-16,0.002370781302787517
2005-03-17,0.004066137222318389
2005-03-18,0.000393558689428275
2005-03-21,-0.0044259445408604495
2005-03-22,-0.006998784367977606
2005-03-23,-0.01405560840919975
2005-03-24,0.004454185784673293
2005-03-25,0.0004458315360420073
2005-03-28,-0.0023995629446912584
2005-03-29,-0.0014344482336853485
2005-03-30,0.00011781759135765001
2005-03-31,0.011392344285417534
2005-04-01,0.001902003366012206
2005-04-04,0.007170447124876134
2005-04-05,-0.0030487300479756564
2005-04-06,-0.00033262606716855114
2005-04-07,-0.00602970691450091
2005-04-08,-0.0038034220689217696
2005-04-11,-0.0017301045198689913
2005-04-12,0.003952921605317972
2005-04-13,-0.009239736145898549
2005-04-14,-0.0006301930150873327
2005-04-15,-0.004492765519172437
2005-04-18,-0.0022685208517453153
2005-04-19,0.013213597942552547
2005-04-20,-0.00033839121858934016
2005-04-21,0.002656184853890054
2005-04-22,0.006159423165188294
2005-04-25,0.0009671745472518366
2005-04-26,-0.003260698678253338
2005-04-27,-0.004701243184403747
2005-04-28,-0.0037845794456695
2005-04-29,0.0022770006572172537
2005-05-02,0.0010096992971132756
2005-05-03,-0.00691647556369226
2005-05-04,0.005688080850029121
2005-05-05,-0.0019807848327806354
2005-05-06,-0.00433096650695024
2005-05-09,0.0023662563282260685
2005-05-10,0.002464462749976537
2005-05-11,-0.005516159597396176
2005-05-12,-0.008918849562406983
2005-05-13,-0.0021268464318404236
2005-05-16,0.0009776562643204478
2005-05-17,0.004648710677840917
2005-05-18,0.004217817982479755
2005-05-19,-0.002336936308563065
2005-05-20,-0.0015520379417295338
2005-05-23,0.003563040464153122
2005-05-24,0.00011935530313103018
2005-05-25,0.008060322010863352
2005-05-26,0.0031006509536584126
2005-05-27,-0.00032219845401098006
2005-05-30,-0.0006908395444192195
2005-05-31,0.0002362892023908713
2005-06-01,0.007853759862260735
2005-06-02,0.006274649404010991
2005-06-03,-0.0005548920545070501
2005-06-06,0.004743924401071631
2005-06-07,-0.004192749443275634
2005-06-08,-0.0002482208319088741
2005-06-09,-0.00036331721302929054
2005-06-10,0.0024992727993177867
2005-06-13,0.0026592516807666835
2005-06-14,0.004353298270847805
2005-06-15,0.0036473449427696816
2005-06-16,0.004519473835802934
2005-06-17,0.010979147920830724
2005-06-20,-0.00040486488392321723
2005-06-21,0.0028665943820904262
2005-06-22,-0.0036782664903618925
2005-06-23,0.002833885231628841
2005-06-24,-0.0006207818239257535
2005-06-27,0.003934336868818633
2005-06-28,-0.0026511676540161844
2005-06-29,-0.007577531743080535
2005-06-30,-0.0019458710777435328
2005-07-01,-0.0004913064503609729
2005-07-04,0.004688384654761891
2005-07-05,0.0018186629284230094
2005-07-06,0.00034247810035079604
2005-07-07,-0.0019620798034559075
2005-07-08,0.0060699244059540195
2005-07-11,-0.008888168817847132
2005-07-12,0.008639553399122946
2005-07-13,-0.003818467921323965
2005-07-14,-0.006212776286454691
2005-07-15,0.0022569410588687334
2005-07-18,-0.004353664400871793
2005-07-19,0.004133084686136002
2005-07-20,0.0008041679396868065
2005-07-21,-0.0063870700459064626
2005-07-22,0.006698422935826898
2005-07-25,0.0022176374398167557
2005-07-26,0.0038867504146903546
2005-07-27,0.001403720417181731
2005-07-28,0.002237535573770266
2005-07-29,0.0028768356569951695
2005-08-01,0.0016876359837715072
2005-08-02,-0.0007431127943542392
2005-08-03,0.001748523361622212
2005-08-04,0.0009389063367045481
2005-08-05,-0.0025003874792581373
2005-08-08,0.0034555791004248
2005-08-09,0.002880712900732974
2005-08-10,0.0032669209358967776
2005-08-11,0.012097960700692845
2005-08-12,0.0031139576363633736
2005-08-15,-0.0028424023440848604
2005-08-16,-0.00412315825738716
2005-08-17,-0.008364631339474472
2005-08-18,-0.0033852062070391046
2005-08-19,0.006984812134263941
2005-08-22,0.005240018047350681
2005-08-23,-0.0021607126308930804
2005-08-24,-0.0014472781480611373
2005-08-25,0.002320640979418265
2005-08-26,-0.0011222899166401844
2005-08-29,-0.002916075115443917
2005-08-30,0.0038716200602115338
2005-08-31,0.006654204472477865
2005-09-01,0.0018855278497730053
2005-09-02,-0.004228814901389199
2005-09-05,-0.005599608664409851
2005-09-06,0.0019047584102349193
2005-09-07,-0.0014177562750406383
2005-09-08,-0.005805227953545434
2005-09-09,0.005438240418752649
2005-09-12,-0.006143577364724351
2005-09-13,0.0004314441024469316
2005-09-14,0.0013435098359849463
2005-09-15,0.0030100554658147875
2005-09-16,-0.0016869227114947095
2005-09-19,0.013574525576750318
2005-09-20,-0.0059369186811022
2005-09-21,0.006221172497018302
2005-09-22,-0.0008015602374802813
2005-09-23,-0.008550792035411802
2005-09-26,0.0006116212978165337
2005-09-27,0.0010596358993113955
2005-09-28,0.0045477571587603915
2005-09-29,-0.0004047811825632409
2005-09-30,-0.002666187210781246
2005-10-03,-0.0018023702136886754
2005-10-04,-0.009769589337508223
2005-10-05,-0.0027881991336711214
2005-10-06,-0.005231826821390051
2005-10-07,0.001018367491785277
2005-10-10,-0.0015518396845818573
2005-10-11,0.003946288913128449
2005-10-12,0.00193604412742836
2005-10-13,-0.001199367110152494
2005-10-14,-0.0026909198727388174
2005-10-17,0.00694499379754987
2005-10-18,-0.004814264605916207
2005-10-19,-0.002791265918580876
2005-10-20,-0.008459462450222688
2005-10-21,0.003231886189653999
2005-10-24,0.005298094636356155
2005-10-25,0.00458120841148073
2005-10-26,-0.0041860138492543445
2005-10-27,-0.0028891157993594877
2005-10-28,0.007826272435408477
2005-10-31,-0.004071507125503793
2005-11-01,-0.009121216542928502
2005-11-02,0.009579176416990442
2005-11-03,0.002288875199247542
2005-11-04,0.00244251620354472
2005-11-07,-0.00463503409925412
2005-11-08,0.001433913470649273
2005-11-09,0.00014558617440005891
2005-11-10,-0.003598471596367326
2005-11-11,-0.003564613899911518
2005-11-14,-0.001792252510554171
2005-11-15,0.00200637980268521
2005-11-16,0.0034322040430875052
2005-11-17,0.004438022236882766
2005-11-18,-0.002686053112217923
2005-11-21,0.005027000050399444
2005-11-22,0.006707632927342911
2005-11-23,-0.004096571147394013
2005-11-24,-0.0008082636911460385
2005-11-25,0.0016381551467082643
2005-11-28,-0.0008086149929978248
2005-11-29,-8.271588688613099e-05
2005-11-30,-0.0037742199347807317
2005-12-01,0.007707695752425626
2005-12-02,0.00506145664569031
2005-12-05,0.004361620919176623
2005-12-06,0.000752300422955088
2005-12-07,-0.0008452953667363874
2005-12-08,0.00622713867878879
2005-12-09,0.004293208354364886
2005-12-12,-0.00030933766707494923
2005-12-13,0.004260501894805379
2005-12-14,-0.0030895888387975743
2005-12-15,-0.0014308228370891742
2005-12-16,-0.0051789106198951275
2005-12-19,-0.007491278111207756
2005-12-20,-0.0042789623896128505
2005-12-21,0.0018803851325984058
2005-12-22,0.009880745599964236
2005-12-23,-0.0034094511061015355
2005-12-26,0.001502497401832237
2005-12-27,0.0002476961367488429
2005-12-28,0.0039050110227412563
2005-12-29,0.0029878217486690064
2005-12-30,0.001321272278877217
2006-01-02,-7.994661057022513e-05
2006-01-03,0.01971762679945517
2006-01-04,-0.001976176981503208
2006-01-05,-0.0024468359834285635
2006-01-06,0.010319418685771353
2006-01-09,0.003635287567516521
2006-01-10,-0.0036578658739149007
2006-01-11,-0.00018552423983066993
2006-01-12,0.002866323525498516
2006-01-13,0.0011026165213772641
2006-01-16,0.003927176084123296
2006-01-17,1.8017829544625212e-05
2006-01-18,-0.0036069407195221
2006-01-19,0.006721186442293714
2006-01-20,-0.0015579002377378972
2006-01-23,-0.0011097386964493692
2006-01-24,-0.0024510393613581985
2006-01-25,-0.004051788321624273
2006-01-26,0.0013262028489673839
2006-01-27,0.00864272729887592
2006-01-30,0.0044718353858241855
2006-01-31,-0.007224241139458343
2006-02-01,0.007472818658720115
2006-02-02,-0.006545084656004363
2006-02-03,-0.005054208957914063
2006-02-06,0.003787611768983546
2006-02-07,-0.014740300862632517
2006-02-08,0.00016525113294871838
2006-02-09,0.0039214021321988925
2006-02-10,-0.008731092171668387
2006-02-13,-0.0055159339777528515
2006-02-14,0.0014080014932101653
2006-02-15,-0.004173616919665157
2006-02-16,0.0016626733450072705
2006-02-17,0.008192837131955955
2006-02-20,0.006181914067114569
2006-02-21,-0.0037620015150483964
2006-02-22,0.0003147757037327279
2006-02-23,-0.004400985131371549
2006-02-24,0.009142792970057378
2006-02-27,-0.003358775105623302
2006-02-28,0.0016503214578335703
2006-03-01,0.005345056856786101
2006-03-02,0.004659031118928425
2006-03-03,-0.0015569106980242611
2006-03-06,-0.009112441079553692
2006-03-07,-0.005396560034407827
2006-03-08,-0.007016625498986961
2006-03-09,0.0012881380433389822
2006-03-10,0.00029906999871833775
2006-03-13,0.008902881592365474
2006-03-14,0.009491432625138607
2006-03-15,0.0022572018918779694
2006-03-16,-0.0011263356465278209
2006-03-17,0.0026517579042556255
2006-03-20,-0.0032172727629339094
2006-03-21,-0.01031284340290739
2006-03-22,0.006127353253720003
2006-03-23,0.0004007822115420724
2006-03-24,0.009481467818570798
2006-03-27,0.00022881497074696017
2006-03-28,0.0015071079635502471
2006-03-29,0.007157915178884267
2006-03-30,0.0063252050364603464
2006-03-31,-0.002175050835304049
2006-04-03,0.006529805765946861
2006-04-04,-0.005239090960223614
2006-04-05,0.003965164292599255
2006-04-06,0.0027289365525522413
2006-04-07,-0.0062140676514546925
2006-04-10,0.008026814134172434
